Issue ID,Issue Key,Issue Name,Issue Volume,Category,Severity,Status,Reporters,Assignees,Date Reported,Date Resolved,Issue Response Time Days,Impact Score,Risk Level,Department Affected,Remediation Steps,Cost,KPI/KRI,User ID,Timestamps,Activity Type,User Location,IP Location,Session Duration in Second,Num Files Accessed,Login Attempts,Data Transfer MB,CPU Usage %,Memory Usage MB,Threat Score,Threat Level,Defense Action,Is Anomaly,Color
ISSUE-0015,KEY-0015,Delayed Patching of Known Vulnerabilities,1,Vulnerability Remediation,Critical,In Progress,Reporter 9,Assignee 12,2023-01-15 05:42:00,2025-11-18 04:52:05.816519,29,10,Critical,External Contractors,Steps to resolve Delayed Patching of Known Vulnerabilities,16400.997696251557,KPI,User_42,2023-01-15 19:55:00,data_modification,CN,DE,140,12,2.9649573879753683,12.282195172261423,19.12521353570289,6496.994281375431,7.1499999999999995,High,Escalate to SOC & Restrict Critical System Access,0,Red
ISSUE-0016,KEY-0016,Non-Compliance with Data Protection Regulations,1,Legal Compliance,Medium,Resolved,Reporter 9,Assignee 7,2023-01-16 00:16:00,2023-01-23 00:16:00.000000,7,8,High,Sales,Steps to resolve Non-Compliance with Data Protection Regulations,9131.12022599611,KRI,User_28,2023-01-16 12:11:00,data_modification,JP,USA,2225,12,6.577470195676244,0.9345380955929292,52.418339530842786,15146.75209258015,5.35,Medium,Routine Monitoring,0,Yellow
ISSUE-0017,KEY-0017,Sensitive Data Leak via Misconfigured Cloud Storage,1,Data Leak,High,In Progress,Reporter 2,Assignee 16,2023-01-17 03:26:00,2025-11-16 04:52:05.816519,27,10,Critical,IT,Steps to resolve Sensitive Data Leak via Misconfigured Cloud Storage,11881.37565952561,KRI,User_78,2023-01-17 06:24:00,data_modification,CANADA,CN,1649,9,3.0769158251232254,20.852537562484624,47.3459083471285,13029.007779966352,6.800000000000001,Medium,Schedule Investigation,0,Yellow-Orange
ISSUE-0018,KEY-0018,Insufficient Coverage in Annual Risk Assessment,1,Risk Assessment Coverage,Medium,Closed,Reporter 6,Assignee 8,2023-01-18 18:33:00,2023-01-21 18:33:00.000000,3,6,High,IT,Steps to resolve Insufficient Coverage in Annual Risk Assessment,8159.336889674243,KPI,User_87,2023-01-19 05:13:00,file_access,EU,USA,1704,16,4.851637420783274,3.346491736007057,44.955478490788906,14892.878317474748,4.65,Medium,Routine Monitoring,0,Yellow
ISSUE-0019,KEY-0019,Unresolved Vulnerabilities from Latest Penetration Test,1,Penetration Testing Effectiveness,Medium,In Progress,Reporter 10,Assignee 8,2023-01-19 15:02:00,2026-03-21 04:52:05.816519,9,7,High,HR,Steps to resolve Unresolved Vulnerabilities from Latest Penetration Test,8045.244940741935,KPI,User_41,2023-01-20 14:29:00,file_access,AU,EU,517,8,2.610038550111568,25.060935901087973,31.435242589144988,7806.819748862795,4.9,Medium,Routine Monitoring,0,Yellow
ISSUE-0020,KEY-0020,Weak Cloud Storage Access Controls,1,Cloud Security Posture,Critical,Open,Reporter 8,Assignee 14,2023-01-20 15:30:00,2026-02-17 04:52:05.816519,20,10,Critical,HR,Steps to resolve Weak Cloud Storage Access Controls,16788.774211779855,KRI,User_68,2023-01-21 12:04:00,file_access,EU,AU,642,13,4.763007109960636,8.641983291577764,38.980110704987446,7370.3501684098455,7.25,High,Escalate to SOC & Restrict Critical System Access,0,Red
ISSUE-0021,KEY-0021,High-Volume Distributed Denial-of-Service Attack,1,DDOS,High,Closed,Reporter 7,Assignee 4,2023-01-22 02:18:00,2023-01-27 02:18:00.000000,5,10,Critical,C-Suite Executives,Steps to resolve High-Volume Distributed Denial-of-Service Attack,16679.13402708612,KRI,User_10,2023-01-22 07:41:00,data_modification,DE,JP,1772,11,6.972155116718626,17.35533627168942,25.460383938997516,11559.135051332089,6.8,Medium,Schedule Investigation,0,Yellow-Orange
ISSUE-0022,KEY-0022,Access by Unauthorized Personnel Detected,1,Unauthorized Access,Low,Resolved,Reporter 10,Assignee 3,2023-01-22 00:33:00,2023-01-25 00:33:00.000000,3,10,Critical,HR,Steps to resolve Access by Unauthorized Personnel Detected,10528.742973102298,KRI,User_65,2023-01-22 02:02:00,login,EU,JP,12,1,3.369975104057278,0.2784725721563661,28.424378817870085,4085.3194534820727,4.5,Medium,Log Activity for Reference,0,Light Yellow
ISSUE-0023,KEY-0023,Access by Unauthorized Personnel Detected,1,Unauthorized Access,Low,In Progress,Reporter 4,Assignee 5,2023-01-23 13:53:00,2026-01-06 04:52:05.816519,15,10,Critical,IT,Steps to resolve Access by Unauthorized Personnel Detected,15975.459568523143,KRI,User_80,2023-01-24 12:05:00,login,EU,UK,97,1,7.329061930942177,0.21152965146052835,42.42453300752685,4171.914609118805,5.0,Medium,Log Activity for Reference,0,Light Yellow
ISSUE-0024,KEY-0024,Inconsistent Review of Security Policies,1,Management Oversight,Medium,Closed,Reporter 6,Assignee 16,2023-01-24 20:31:00,2023-01-31 20:31:00.000000,7,6,High,External Contractors,Steps to resolve Inconsistent Review of Security Policies,3263.533849565585,KPI,User_35,2023-01-25 08:22:00,data_modification,IN,FR,1138,5,2.9008414709976424,8.682473368826242,42.95545021477068,9180.41888790619,4.3999999999999995,Medium,Routine Monitoring,0,Yellow
ISSUE-0025,KEY-0025,Weak Cloud Storage Access Controls,1,Cloud Security Posture,Low,In Progress,Reporter 7,Assignee 20,2023-01-25 07:01:00,2026-03-26 04:52:05.816519,6,4,Medium,External Contractors,Steps to resolve Weak Cloud Storage Access Controls,100.0,KRI,User_99,2023-01-25 20:20:00,data_modification,Unknown,USA,113,5,4.644153938168391,2.1376543078048815,32.21807457050522,5381.937432117213,2.7499999999999996,Low,No Action Needed,0,Green
ISSUE-0026,KEY-0026,Incomplete Risk Management Framework,1,Risk Management Maturity,Low,Closed,Reporter 2,Assignee 14,2023-01-26 18:10:00,2023-01-29 18:10:00.000000,3,6,High,Sales,Steps to resolve Incomplete Risk Management Framework,4499.420378212331,KPI,User_48,2023-01-27 15:19:00,file_access,EU,CN,302,2,4.148926267398157,0.5857805430521499,36.98998186790986,6595.241688184072,3.5500000000000003,Low,No Action Needed,0,Green
ISSUE-0027,KEY-0027,Successful Phishing Attempt Targeting Executives,1,Phishing Attack,High,Open,Reporter 8,Assignee 8,2023-01-27 20:55:00,2025-12-03 04:52:05.816519,31,7,High,Legal,Steps to resolve Successful Phishing Attempt Targeting Executives,6091.474035810141,KRI,User_39,2023-01-28 10:05:00,file_access,USA,EU,1192,3,6.4338082608789176,0.33167115805556757,38.085482226554454,10095.95143488523,5.9,Medium,Schedule Investigation,0,Yellow-Orange
ISSUE-0028,KEY-0028,Missing or Inaccurate Asset Records,1,Asset Inventory Accuracy,Critical,Closed,Reporter 8,Assignee 14,2023-01-28 07:43:00,2023-01-31 07:43:00.000000,3,10,Critical,Legal,Steps to resolve Missing or Inaccurate Asset Records,10768.042347078142,KPI,User_44,2023-01-28 10:56:00,data_modification,USA,AU,10,8,4.225079823657821,0.4691737085834568,32.78719187586972,4872.832878344776,6.6000000000000005,Medium,Increase Monitoring & Investigate,0,Orange
ISSUE-0029,KEY-0029,Incomplete Risk Management Framework,1,Risk Management Maturity,Medium,In Progress,Reporter 4,Assignee 9,2023-01-29 05:12:00,2026-01-02 04:52:05.816519,8,10,Critical,Operations,Steps to resolve Incomplete Risk Management Framework,11206.136374570162,KPI,User_12,2023-01-29 06:04:00,login,EU,IN,90,1,4.1402562177687905,0.1,26.186911823714,4458.660663912258,5.65,Medium,Routine Monitoring,0,Yellow
ISSUE-0030,KEY-0030,Outdated Operating System Components,1,System Vulnerability,Low,Closed,Reporter 2,Assignee 11,2023-01-30 10:05:00,2023-02-04 10:05:00.000000,5,2,Low,IT,Steps to resolve Outdated Operating System Components,8159.9310055407095,KPI,User_8,2023-01-30 16:57:00,file_access,JP,JP,31,9,3.3449193055652575,30.09772354681275,26.84287262131395,4603.670351050277,1.9999999999999998,Low,No Action Needed,0,Green
ISSUE-0031,KEY-0031,Increased Exposure due to Insufficient Data Encryption,1,Risk Exposure,Critical,Closed,Reporter 8,Assignee 5,2023-01-31 11:00:00,2023-02-17 11:00:00.000000,17,10,Critical,External Contractors,Steps to resolve Increased Exposure due to Insufficient Data Encryption,10498.523048628644,KRI,User_62,2023-01-31 20:07:00,file_access,CANADA,USA,216,10,7.590050194735877,0.19598098535768146,40.32225459735028,4081.06021307261,7.1000000000000005,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,0,Red
ISSUE-0032,KEY-0032,Sensitive Data Leak via Misconfigured Cloud Storage,1,Data Leak,High,In Progress,Reporter 8,Assignee 3,2023-02-01 10:42:00,2026-01-31 04:52:05.816519,16,10,Critical,Legal,Steps to resolve Sensitive Data Leak via Misconfigured Cloud Storage,6242.362780461714,KRI,User_96,2023-02-01 18:55:00,file_access,USA,Unknown,2483,14,4.200323243199838,10.55557810494531,38.412349992178406,14973.258430541353,6.9,Medium,Schedule Investigation,0,Yellow-Orange
ISSUE-0033,KEY-0033,Supplier Security Compliance Gaps,1,Procurement Security,Low,Closed,Reporter 2,Assignee 11,2023-02-02 09:47:00,2023-02-04 09:47:00.000000,2,1,Low,C-Suite Executives,Steps to resolve Supplier Security Compliance Gaps,6562.3878302504045,KPI,User_86,2023-02-02 11:34:00,login,EU,DE,250,1,2.5854962638392722,0.1805207441564153,44.18976674872992,4386.087428735115,1.4000000000000001,Low,No Action Needed,0,Green
ISSUE-0034,KEY-0034,Supplier Security Compliance Gaps,1,Procurement Security,Medium,Closed,Reporter 5,Assignee 11,2023-02-04 00:25:00,2023-02-07 00:25:00.000000,3,2,Low,C-Suite Executives,Steps to resolve Supplier Security Compliance Gaps,7126.703791704193,KPI,User_30,2023-02-04 03:13:00,file_access,CN,CN,284,6,2.4695937509943624,1.8567486673239637,28.28719480206546,6773.189520479701,2.5999999999999996,Low,Log for Reference,0,Green-Yellow
ISSUE-0035,KEY-0035,Missing or Inaccurate Asset Records,1,Asset Inventory Accuracy,High,Open,Reporter 10,Assignee 7,2023-02-04 13:13:00,2026-01-15 04:52:05.816519,30,10,Critical,C-Suite Executives,Steps to resolve Missing or Inaccurate Asset Records,17309.145529159927,KPI,User_68,2023-02-04 22:16:00,data_modification,Unknown,AU,1416,11,5.586480075450648,22.029542787180073,31.282746271262514,8780.519637533615,6.85,Medium,Schedule Investigation,0,Yellow-Orange
ISSUE-0036,KEY-0036,Incomplete Risk Management Framework,1,Risk Management Maturity,Critical,Resolved,Reporter 8,Assignee 6,2023-02-05 05:34:00,2023-02-24 05:34:00.000000,19,10,Critical,Operations,Steps to resolve Incomplete Risk Management Framework,25662.592529298672,KPI,User_98,2023-02-06 03:33:00,login,USA,USA,196,1,8.526204623014154,3.2208363931232866,17.95824111034011,4964.657661646247,7.0,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,0,Red
ISSUE-0037,KEY-0037,Inadequate Firewall Configurations,1,Network Security,Low,Resolved,Reporter 3,Assignee 1,2023-02-06 21:56:00,2023-02-10 21:56:00.000000,4,10,Critical,IT,Steps to resolve Inadequate Firewall Configurations,10057.57654708712,KPI,User_64,2023-02-07 15:12:00,data_modification,JP,EU,1037,7,7.572915071916435,1.5792268865101573,18.074152086368557,9944.75188458751,5.05,Medium,Log Activity for Reference,0,Light Yellow
ISSUE-0038,KEY-0038,Insufficient Access Control Measures,1,Control Effectiveness,Critical,In Progress,Reporter 10,Assignee 15,2023-02-07 08:46:00,2025-12-20 04:52:05.816519,45,10,Critical,Operations,Steps to resolve Insufficient Access Control Measures,26802.505460019376,KPI,User_94,2023-02-08 01:22:00,login,Unknown,Unknown,507,3,5.520183055889643,1.8289951021570097,35.51875176201481,6754.492106102093,7.1499999999999995,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,0,Red
ISSUE-0039,KEY-0039,Weak Authentication Protocols,1,Access Control,Critical,Resolved,Reporter 4,Assignee 13,2023-02-08 17:46:00,2023-03-04 17:46:00.000000,24,10,Critical,Operations,Steps to resolve Weak Authentication Protocols,30205.137094703092,KPI,User_34,2023-02-08 23:02:00,file_access,FR,IN,2598,23,7.439462152627657,3.6891824662255472,42.75950097747541,15649.721803033335,7.5,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,0,Red
ISSUE-0040,KEY-0040,Missing or Inaccurate Asset Records,1,Asset Inventory Accuracy,Critical,Open,Reporter 3,Assignee 11,2023-02-09 11:02:00,2026-02-17 04:52:05.816519,46,10,Critical,Operations,Steps to resolve Missing or Inaccurate Asset Records,30970.127467818507,KPI,User_11,2023-02-10 01:58:00,file_access,USA,DE,1131,9,12.890100448398758,172.36586521227127,36.23887976652277,8834.56922025649,7.45,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,0,Red
ISSUE-0041,KEY-0041,Detected Malware Infiltration in Internal Systems,1,Malware,Critical,Open,Reporter 5,Assignee 1,2023-02-10 05:15:00,2025-12-21 04:52:05.816519,12,10,Critical,Finance,Steps to resolve Detected Malware Infiltration in Internal Systems,53227.77617524477,KRI,User_27,2023-02-11 00:37:00,login,IN,IN,10,1,5.62385476280188,0.1,16.713287907040353,4342.8693706895865,7.0,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,0,Red
ISSUE-0042,KEY-0042,Inadequate Firewall Configurations,1,Network Security,Critical,In Progress,Reporter 3,Assignee 19,2023-02-12 02:57:00,2025-11-25 04:52:05.816519,13,10,Critical,Legal,Steps to resolve Inadequate Firewall Configurations,10868.923637176938,KPI,User_79,2023-02-12 10:28:00,file_access,CN,CN,477,12,3.3452530384162458,8.800495248569492,25.624475998091555,6285.301741643538,7.25,High,Escalate to SOC & Restrict Critical System Access,0,Red
ISSUE-0043,KEY-0043,Unauthorized Access Leading to Data Exposure,1,Data Breach,Medium,In Progress,Reporter 5,Assignee 6,2023-02-12 14:02:00,2025-11-09 04:52:05.816519,6,10,Critical,Operations,Steps to resolve Unauthorized Access Leading to Data Exposure,27935.283347311375,KRI,User_56,2023-02-12 23:28:00,file_access,DE,Unknown,280,5,3.8285062909219003,11.970882569822015,41.79785307973032,4928.44624388337,5.45,Medium,Routine Monitoring,0,Yellow
ISSUE-0044,KEY-0044,High-Volume Distributed Denial-of-Service Attack,1,DDOS,Low,Open,Reporter 8,Assignee 15,2023-02-13 12:57:00,2025-10-31 04:52:05.816519,28,6,High,Finance,Steps to resolve High-Volume Distributed Denial-of-Service Attack,6312.463656728166,KRI,User_56,2023-02-13 19:30:00,data_modification,JP,DE,129,6,16.751934740878173,22.073914394594702,28.701091875756713,5964.4467132004365,4.0,Medium,Log Activity for Reference,0,Light Yellow
ISSUE-0045,KEY-0045,Weak Authentication Protocols,1,Access Control,High,Closed,Reporter 10,Assignee 7,2023-02-14 18:57:00,2023-02-26 18:57:00.000000,12,9,Critical,Finance,Steps to resolve Weak Authentication Protocols,16039.710975529986,KPI,User_75,2023-02-15 05:54:00,file_access,USA,IN,373,12,10.880992166702546,19.755469753047034,16.00697352482353,5312.147681696794,6.5,Medium,Schedule Investigation,0,Yellow-Orange
ISSUE-0046,KEY-0046,Insufficient Coverage in Annual Risk Assessment,1,Risk Assessment Coverage,Critical,In Progress,Reporter 2,Assignee 10,2023-02-15 11:12:00,2025-11-06 04:52:05.816519,31,10,Critical,Operations,Steps to resolve Insufficient Coverage in Annual Risk Assessment,29173.205772900004,KPI,User_26,2023-02-15 23:25:00,data_modification,FR,FR,1897,13,6.705151491697318,15.621261283816498,36.45967947914677,12839.093790408624,7.5,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,0,Red
ISSUE-0047,KEY-0047,Missing or Inaccurate Asset Records,1,Asset Inventory Accuracy,Medium,Resolved,Reporter 10,Assignee 5,2023-02-16 18:29:00,2023-02-21 18:29:00.000000,5,3,Low,IT,Steps to resolve Missing or Inaccurate Asset Records,7998.618574828822,KPI,User_36,2023-02-16 19:26:00,file_access,DE,UK,1159,7,3.985675949511007,35.117504332790396,36.45268115323633,11901.324621606866,3.25,Low,Log for Reference,0,Green-Yellow
ISSUE-0048,KEY-0048,High-Volume Distributed Denial-of-Service Attack,1,DDOS,Critical,Open,Reporter 2,Assignee 7,2023-02-18 00:31:00,2025-11-25 04:52:05.816519,35,10,Critical,IT,Steps to resolve High-Volume Distributed Denial-of-Service Attack,22302.398244415173,KRI,User_6,2023-02-18 00:31:00,data_modification,EU,JP,628,11,6.78216843851226,4.34296538476265,37.73099750895673,7575.729269300469,7.35,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,0,Red
ISSUE-0049,KEY-0049,Weak Cloud Storage Access Controls,1,Cloud Security Posture,Medium,Resolved,Reporter 2,Assignee 4,2023-02-18 22:38:00,2023-02-26 22:38:00.000000,8,9,Critical,Operations,Steps to resolve Weak Cloud Storage Access Controls,10860.931660078915,KRI,User_66,2023-02-19 07:06:00,file_access,USA,JP,1119,14,8.03420103524744,9.150580831932329,41.93440967497327,8780.897976866941,5.8999999999999995,Medium,Routine Monitoring,0,Yellow
ISSUE-0050,KEY-0050,Unresolved Vulnerabilities from Latest Penetration Test,1,Penetration Testing Effectiveness,Critical,Closed,Reporter 6,Assignee 11,2023-02-19 19:56:00,2023-03-05 19:56:00.000000,14,10,Critical,External Contractors,Steps to resolve Unresolved Vulnerabilities from Latest Penetration Test,13369.771909975387,KPI,User_21,2023-02-19 22:31:00,login,CN,EU,121,1,4.070699324370763,0.5318602163942397,40.382096271427976,3636.379908112316,6.9,Medium,Increase Monitoring & Investigate,0,Orange
ISSUE-0051,KEY-0051,Non-Compliance with Data Protection Regulations,1,Legal Compliance,Critical,Closed,Reporter 2,Assignee 13,2023-02-20 13:34:00,2023-03-10 13:34:00.000000,18,10,Critical,Legal,Steps to resolve Non-Compliance with Data Protection Regulations,10646.001397273652,KRI,User_76,2023-02-21 13:17:00,login,DE,EU,273,2,5.3169327801846595,0.17519057763523876,46.39030720987866,4809.972553844355,7.0,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,0,Red
ISSUE-0052,KEY-0052,Delayed Patching of Known Vulnerabilities,1,Vulnerability Remediation,Medium,In Progress,Reporter 10,Assignee 11,2023-02-21 03:07:00,2025-12-01 04:52:05.816519,13,5,Medium,Finance,Steps to resolve Delayed Patching of Known Vulnerabilities,9675.956276526626,KPI,User_94,2023-02-21 03:22:00,file_access,FR,IN,995,7,8.397815492422762,4.4081342335233105,38.928233066418336,8504.227936979078,4.249999999999999,Medium,Routine Monitoring,0,Yellow
ISSUE-0053,KEY-0053,Delayed Patching of Known Vulnerabilities,1,Vulnerability Remediation,Critical,In Progress,Reporter 10,Assignee 20,2023-02-22 20:20:00,2026-03-15 04:52:05.816519,18,10,Critical,HR,Steps to resolve Delayed Patching of Known Vulnerabilities,16714.74160198539,KPI,User_72,2023-02-23 05:07:00,data_modification,CANADA,IN,752,7,3.6916894431867697,16.98467640877787,30.414832525567476,7049.401802192558,7.15,High,Escalate to SOC & Restrict Critical System Access,0,Red
ISSUE-0054,KEY-0054,Access by Unauthorized Personnel Detected,1,Unauthorized Access,High,Resolved,Reporter 8,Assignee 14,2023-02-23 05:10:00,2023-03-13 05:10:00.000000,18,10,Critical,IT,Steps to resolve Access by Unauthorized Personnel Detected,36930.292320385524,KRI,User_35,2023-02-23 19:18:00,file_access,CN,CANADA,841,8,7.222483223338346,2.939188820541039,50.048503795280006,9058.799469643945,6.75,Medium,Schedule Investigation,0,Yellow-Orange
ISSUE-0055,KEY-0055,Sensitive Data Leak via Misconfigured Cloud Storage,1,Data Leak,Critical,Closed,Reporter 9,Assignee 7,2023-02-24 14:52:00,2023-03-05 14:52:00.000000,9,10,Critical,C-Suite Executives,Steps to resolve Sensitive Data Leak via Misconfigured Cloud Storage,26006.578620552864,KRI,User_70,2023-02-25 00:35:00,login,FR,USA,94,1,5.731773972078532,0.5276524503234958,33.123873015693036,2583.6286356016844,7.0,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,0,Red
ISSUE-0056,KEY-0056,Outdated Operating System Components,1,System Vulnerability,Critical,In Progress,Reporter 6,Assignee 13,2023-02-25 11:31:00,2026-03-14 04:52:05.816519,21,10,Critical,HR,Steps to resolve Outdated Operating System Components,17831.50788394536,KPI,User_82,2023-02-26 00:34:00,login,CANADA,CN,34,1,13.650016135163161,0.1,46.701009739747846,4213.734495497866,7.0,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,0,Red
ISSUE-0057,KEY-0057,Weak Authentication Protocols,1,Access Control,High,In Progress,Reporter 8,Assignee 10,2023-02-26 10:22:00,2026-03-26 04:52:05.816519,23,9,Critical,Legal,Steps to resolve Weak Authentication Protocols,10043.276545924691,KPI,User_94,2023-02-26 11:49:00,login,CANADA,DE,903,1,2.9601869269891123,0.1,30.587501778352078,9049.207977017764,6.249999999999999,Medium,Schedule Investigation,0,Yellow-Orange
