Issue ID,Issue Key,Issue Name,Issue Volume,Category,Severity,Status,Reporters,Assignees,Date Reported,Date Resolved,Issue Response Time Days,Impact Score,Risk Level,Department Affected,Remediation Steps,Cost,KPI/KRI,User ID,Timestamps,Activity Type,User Location,IP Location,Session Duration in Second,Num Files Accessed,Login Attempts,Data Transfer MB,CPU Usage %,Memory Usage MB,Threat Score,Threat Level,Defense Action,Is Anomaly
ISSUE-0825,KEY-0825,Significant Number of Untracked Devices,1,Asset Inventory Accuracy,Critical,Closed,Reporter 5,Assignee 11,2025-07-30 06:02:00,2026-01-05 06:02:00.000000,159,10,Critical,Operations,Steps to resolve Significant Number of Untracked Devices,153495.89015217495,KPI,User_24,2025-07-30 21:30:00,data_modification,EU,AU,2949,145,70.3520400622477,14436.59659526838,49.75447268202471,41058.27168852082,7.7,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0826,KEY-0826,Sudden Increase in Unfiltered Traffic,1,Network Security,High,Open,Reporter 4,Assignee 11,2025-02-22 04:45:00,2026-05-22 04:52:05.816519,274,10,Critical,Finance,Steps to resolve Sudden Increase in Unfiltered Traffic,92928.21699781998,KPI,User_25,2025-02-22 05:49:00,file_access,JP,Unknown,5287,111,57.44277152800463,208.75469179617863,81.75670702135321,60672.59458590624,7.35,High,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0827,KEY-0827,Supplier Network Breach Exposure,1,Procurement Security,Critical,In Progress,Reporter 3,Assignee 6,2024-06-08 12:09:00,2026-02-19 04:52:05.816519,141,10,Critical,C-Suite Executives,Steps to resolve Supplier Network Breach Exposure,144013.55159584997,KPI,User_20,2024-06-09 06:04:00,file_access,UK,Unknown,3651,138,79.42294761042845,796.2338106028872,49.73601399387045,46348.36276720866,7.7,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0828,KEY-0828,Unusual Data Transfer Volumes Detected,1,Data Breach,Critical,Open,Reporter 6,Assignee 18,2023-01-26 20:38:00,2026-01-03 04:52:05.816519,53,10,Critical,Finance,Steps to resolve Unusual Data Transfer Volumes Detected,393247.0899623583,KRI,User_29,2023-01-27 17:08:00,data_modification,JP,CN,3166,113,79.58698283947696,836.5708376938983,72.26000025419864,37988.70041483827,7.85,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0829,KEY-0829,Potential Non-Compliance Detected in Sensitive Data Handling,1,Legal Compliance,Critical,Resolved,Reporter 3,Assignee 13,2023-07-07 14:31:00,2023-10-26 14:31:00.000000,111,10,Critical,C-Suite Executives,Steps to resolve Potential Non-Compliance Detected in Sensitive Data Handling,138771.55034500215,KRI,User_97,2023-07-08 01:37:00,file_access,Unknown,UK,1274,96,64.30920143525907,3186.3966304749547,82.41532579288395,22740.788211462434,7.85,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0830,KEY-0830,Targeted Phishing Campaign Against Executives,1,Phishing Attack,Critical,Resolved,Reporter 3,Assignee 11,2025-09-09 23:39:00,2025-11-09 23:39:00.000000,61,10,Critical,Finance,Steps to resolve Targeted Phishing Campaign Against Executives,149684.81782293864,KRI,User_11,2025-09-10 08:52:00,data_modification,Unknown,AU,94,91,65.8479008648947,8706.90890315731,60.11044945992593,9116.781693976609,7.699999999999999,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0831,KEY-0831,Critical Issues Not Detected in Last Penetration Test,1,Penetration Testing Effectiveness,Critical,Open,Reporter 8,Assignee 4,2024-09-17 11:52:00,2026-03-12 04:52:05.816519,12,10,Critical,External Contractors,Steps to resolve Critical Issues Not Detected in Last Penetration Test,80736.74489172515,KPI,User_74,2024-09-17 15:18:00,file_access,CN,USA,619,97,20.69284029862635,447.7405025461046,66.3628725083897,15500.705997277284,7.85,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0832,KEY-0832,Spike in Unauthorized Access Attempts,1,Unauthorized Access,Medium,Closed,Reporter 1,Assignee 16,2024-05-15 11:24:00,2024-09-25 11:24:00.000000,133,10,Critical,HR,Steps to resolve Spike in Unauthorized Access Attempts,97213.45905895687,KRI,User_44,2024-05-16 09:12:00,data_modification,JP,Unknown,2620,152,62.860612486720356,931.7481176094307,60.20531535617525,37227.342485883295,6.6,Medium,Routine Monitoring | Limit Data Transfer,1
ISSUE-0833,KEY-0833,Sudden Increase in Unfiltered Traffic,1,Network Security,High,In Progress,Reporter 1,Assignee 1,2025-09-19 18:36:00,2026-05-08 04:52:05.816519,104,10,Critical,Finance,Steps to resolve Sudden Increase in Unfiltered Traffic,95833.09643985446,KPI,User_59,2025-09-20 09:30:00,file_access,AU,IN,309,162,85.80615366045487,33.839997284824065,60.30295210897966,10738.97128892856,7.1499999999999995,High,Restrict User Activity & Monitor Logs | Lock Account & Alert,1
ISSUE-0834,KEY-0834,Unusual Data Access from External Locations,1,Data Leak,High,Open,Reporter 7,Assignee 8,2024-01-03 23:47:00,2026-02-21 04:52:05.816519,173,10,Critical,IT,Steps to resolve Unusual Data Access from External Locations,77183.94648210058,KRI,User_53,2024-01-04 00:39:00,login,USA,EU,168,41,75.13991737333984,12.67280089337708,61.59024623357087,9053.674641225492,6.999999999999999,Medium,Schedule Investigation,1
ISSUE-0835,KEY-0835,Spike in Unauthorized Access Attempts,1,Unauthorized Access,Low,Open,Reporter 10,Assignee 3,2024-12-09 14:43:00,2026-01-16 04:52:05.816519,156,10,Critical,HR,Steps to resolve Spike in Unauthorized Access Attempts,63777.960804254275,KRI,User_78,2024-12-09 23:52:00,file_access,JP,CN,617,88,43.53083177401281,27.406706879978696,61.52359185877339,13762.178046355757,5.6499999999999995,Medium,Log Activity for Reference,1
ISSUE-0836,KEY-0836,High Frequency of Policy Violations,1,Management Oversight,Low,Resolved,Reporter 10,Assignee 14,2023-02-16 06:39:00,2023-03-14 06:39:00.000000,26,10,Critical,HR,Steps to resolve High Frequency of Policy Violations,26201.543201888067,KPI,User_25,2023-02-16 20:18:00,data_modification,DE,JP,810,116,44.96318487333002,988.0486600462373,100.0,16843.284729536557,6.0,Medium,Log Activity for Reference | Limit Data Transfer,1
ISSUE-0837,KEY-0837,Significant Number of Untracked Devices,1,Asset Inventory Accuracy,Low,Resolved,Reporter 10,Assignee 10,2024-07-15 00:31:00,2024-10-04 00:31:00.000000,81,10,Critical,Operations,Steps to resolve Significant Number of Untracked Devices,49059.14126430749,KPI,User_93,2024-07-15 07:29:00,file_access,USA,DE,3237,138,55.93310717290596,100.04903387696446,58.857701741165656,45238.644398461525,5.7,Medium,Log Activity for Reference | Limit Data Transfer,1
ISSUE-0838,KEY-0838,Critical Issues Not Detected in Last Penetration Test,1,Penetration Testing Effectiveness,Critical,Open,Reporter 1,Assignee 15,2024-08-14 08:52:00,2026-04-22 04:52:05.816519,38,10,Critical,Operations,Steps to resolve Critical Issues Not Detected in Last Penetration Test,158912.9512615298,KPI,User_5,2024-08-14 12:43:00,file_access,Unknown,CANADA,326,147,68.2016167988431,386.5949260429464,53.62362845949168,9208.909218345561,7.55,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0839,KEY-0839,Targeted Phishing Campaign Against Executives,1,Phishing Attack,High,Resolved,Reporter 4,Assignee 18,2025-08-22 04:45:00,2026-01-21 04:45:00.000000,152,10,Critical,External Contractors,Steps to resolve Targeted Phishing Campaign Against Executives,55676.77766110998,KRI,User_73,2025-08-22 17:58:00,file_access,USA,FR,1065,100,27.722617638040024,759.6319229593337,52.67089334431657,19323.708463567476,7.2,High,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0840,KEY-0840,Significant Number of Untracked Devices,1,Asset Inventory Accuracy,Critical,Closed,Reporter 4,Assignee 13,2025-08-12 06:53:00,2025-08-13 06:53:00.000000,1,10,Critical,Sales,Steps to resolve Significant Number of Untracked Devices,154845.599589125,KPI,User_40,2025-08-13 03:09:00,login,AU,FR,3320,34,80.14645947153579,1433.4709979989539,53.553590417849975,40267.60512060655,7.3,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0841,KEY-0841,Ineffective Access Controls in High-Sensitivity Areas,1,Control Effectiveness,Critical,Closed,Reporter 6,Assignee 17,2025-04-10 04:54:00,2025-11-13 04:54:00.000000,217,10,Critical,C-Suite Executives,Steps to resolve Ineffective Access Controls in High-Sensitivity Areas,149383.83266621165,KPI,User_95,2025-04-11 00:14:00,data_modification,CN,CANADA,16146,124,79.04483401577109,1576.2275665015645,100.0,170566.00481892825,8.0,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0842,KEY-0842,Newly Discovered Vulnerabilities in Core Systems,1,System Vulnerability,Critical,In Progress,Reporter 9,Assignee 18,2025-09-03 01:45:00,2026-05-11 04:52:05.816519,142,10,Critical,Finance,Steps to resolve Newly Discovered Vulnerabilities in Core Systems,144383.75784566248,KPI,User_44,2025-09-03 08:07:00,data_modification,UK,USA,4134,127,75.92121101118856,179.59720275680172,79.14487947688893,45530.39885449679,7.85,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0843,KEY-0843,Unusual Data Transfer Volumes Detected,1,Data Breach,High,Closed,Reporter 9,Assignee 10,2024-01-18 23:43:00,2024-04-16 23:43:00.000000,89,10,Critical,HR,Steps to resolve Unusual Data Transfer Volumes Detected,144848.92440177657,KRI,User_11,2024-01-19 07:07:00,file_access,FR,IN,3116,126,43.91336204721412,490.02688493749446,60.91384091554494,36829.3352257262,7.35,High,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0844,KEY-0844,Unanticipated Increase in Risk Exposure,1,Risk Exposure,Critical,Closed,Reporter 8,Assignee 13,2023-06-01 10:08:00,2023-07-21 10:08:00.000000,50,10,Critical,Legal,Steps to resolve Unanticipated Increase in Risk Exposure,67612.1306387437,KRI,User_15,2023-06-02 04:31:00,file_access,AU,DE,3052,118,44.802156032114546,323.4976689707313,65.2578264724319,39656.60934796495,7.85,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0845,KEY-0845,Targeted Phishing Campaign Against Executives,1,Phishing Attack,High,In Progress,Reporter 9,Assignee 11,2025-02-17 11:04:00,2025-12-03 04:52:05.816519,142,10,Critical,External Contractors,Steps to resolve Targeted Phishing Campaign Against Executives,52677.295830337156,KRI,User_60,2025-02-18 00:40:00,file_access,DE,IN,504,184,53.76843619547587,658.2771249751413,68.12250400563704,13017.580942895856,7.35,High,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0846,KEY-0846,Unanticipated Increase in Risk Exposure,1,Risk Exposure,High,Closed,Reporter 4,Assignee 9,2024-03-03 06:34:00,2024-03-04 06:34:00.000000,1,10,Critical,Operations,Steps to resolve Unanticipated Increase in Risk Exposure,90920.55147734453,KRI,User_93,2024-03-04 00:49:00,file_access,IN,EU,1497,153,68.93310717290596,3295.0401351004757,83.04138150341316,23499.441687174476,6.949999999999999,Medium,Schedule Investigation | Limit Data Transfer,1
ISSUE-0847,KEY-0847,Ineffective Access Controls in High-Sensitivity Areas,1,Control Effectiveness,Medium,Closed,Reporter 6,Assignee 8,2023-05-02 08:57:00,2023-07-13 08:57:00.000000,72,10,Critical,Legal,Steps to resolve Ineffective Access Controls in High-Sensitivity Areas,20167.519274693856,KPI,User_90,2023-05-03 03:24:00,data_modification,EU,AU,15991,163,55.415892460171456,427.6799475388498,100.0,167629.05299530586,6.75,Medium,Routine Monitoring | Limit Data Transfer,1
ISSUE-0848,KEY-0848,Potential Non-Compliance Detected in Sensitive Data Handling,1,Legal Compliance,Critical,In Progress,Reporter 10,Assignee 1,2025-09-04 05:24:00,2026-02-16 04:52:05.816519,219,10,Critical,Finance,Steps to resolve Potential Non-Compliance Detected in Sensitive Data Handling,150165.0661958178,KRI,User_44,2025-09-04 11:49:00,file_access,DE,UK,2025,140,69.92121101118856,4468.6993854179855,100.0,27831.69901545901,8.0,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0849,KEY-0849,Significant Number of Untracked Devices,1,Asset Inventory Accuracy,High,Closed,Reporter 5,Assignee 6,2024-12-16 04:51:00,2025-01-26 04:51:00.000000,41,10,Critical,Operations,Steps to resolve Significant Number of Untracked Devices,98340.14455170733,KPI,User_50,2024-12-16 09:23:00,file_access,EU,UK,1094,190,76.2136744343892,135.6587639731638,83.17276822203435,16972.99313679718,7.35,High,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0850,KEY-0850,Unanticipated Increase in Risk Exposure,1,Risk Exposure,Critical,Resolved,Reporter 2,Assignee 6,2023-08-02 15:55:00,2023-12-18 15:55:00.000000,138,10,Critical,Legal,Steps to resolve Unanticipated Increase in Risk Exposure,59541.05291600322,KRI,User_60,2023-08-03 01:02:00,login,CANADA,AU,85,38,39.30168670225808,74.31792191566164,56.62306281616362,8167.72215727709,7.45,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,1
ISSUE-0851,KEY-0851,Sudden Increase in Unfiltered Traffic,1,Network Security,Critical,Open,Reporter 3,Assignee 10,2023-05-15 02:04:00,2026-02-01 04:52:05.816519,324,10,Critical,Legal,Steps to resolve Sudden Increase in Unfiltered Traffic,70521.5840375209,KPI,User_80,2023-05-15 19:31:00,file_access,USA,Unknown,3274,175,46.508567194607096,1220.4590491516835,77.00717562203863,39872.50960769791,7.85,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0852,KEY-0852,Unanticipated Increase in Risk Exposure,1,Risk Exposure,Critical,Resolved,Reporter 3,Assignee 17,2023-04-16 19:19:00,2023-06-14 19:19:00.000000,59,10,Critical,HR,Steps to resolve Unanticipated Increase in Risk Exposure,105321.79491475661,KRI,User_36,2023-04-17 15:15:00,data_modification,AU,DE,9142,66,42.892485593794206,77905.62118896397,100.0,98913.83233797812,8.0,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,1
ISSUE-0853,KEY-0853,Critical Issues Not Detected in Last Penetration Test,1,Penetration Testing Effectiveness,Low,Resolved,Reporter 5,Assignee 16,2023-06-03 04:32:00,2023-08-12 04:32:00.000000,70,10,Critical,Legal,Steps to resolve Critical Issues Not Detected in Last Penetration Test,9444.413160109722,KPI,User_56,2023-06-03 21:59:00,data_modification,USA,UK,1297,82,41.26587725722172,130.61956910293873,77.26749813610856,19164.504000480272,5.85,Medium,Log Activity for Reference | Limit Data Transfer,1
ISSUE-0854,KEY-0854,Critical Issues Not Detected in Last Penetration Test,1,Penetration Testing Effectiveness,Critical,In Progress,Reporter 2,Assignee 18,2024-05-14 05:49:00,2026-04-10 04:52:05.816519,307,10,Critical,Finance,Steps to resolve Critical Issues Not Detected in Last Penetration Test,143508.7515546383,KPI,User_51,2024-05-14 23:05:00,data_modification,EU,FR,186,61,38.162392697241486,1472.7096502536624,43.054166318696055,7057.185389111074,7.55,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,1
