Issue ID,Issue Key,Issue Name,Issue Volume,Category,Severity,Status,Reporters,Assignees,Date Reported,Date Resolved,Issue Response Time Days,Impact Score,Risk Level,Department Affected,Remediation Steps,Cost,KPI/KRI,User ID,Timestamps,Activity Type,User Location,IP Location,Session Duration in Second,Num Files Accessed,Login Attempts,Data Transfer MB,CPU Usage %,Memory Usage MB,Threat Score,Threat Level,Defense Action,Color,Source
ISSUE-0022,KEY-0022,High-Volume Distributed Denial-of-Service Attack,1,DDOS,High,In Progress,Reporter 1,Assignee 16,2025-03-16,2025-04-21 01:51:53.295556,36.0,90.48,Critical,External Contractors,Steps to resolve High-Volume Distributed Denial-of-Service Attack,2838581.0,KRI,User_54,2025-03-16 05:13:00,data_modification,FR,FR,900.0,26.0,10.0,10295.0,31.77438388783934,5351.0,22.996,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,Real
ISSUE-0023,KEY-0023,Inadequate Firewall Configurations,1,Network Security,Medium,Closed,Reporter 3,Assignee 20,2023-10-21,2023-10-28 00:00:00.000000,7.0,48.49,Critical,IT,Steps to resolve Inadequate Firewall Configurations,2063200.0,KPI,User_50,2023-10-21 13:41:00,login,AU,AU,900.0,26.0,18.0,2227.5,30.88543502170313,5355.0,13.648,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,Real
ISSUE-0024,KEY-0024,Incomplete Risk Management Framework,1,Risk Management Maturity,High,Resolved,Reporter 1,Assignee 11,2024-10-18,2024-10-21 00:00:00.000000,3.0,41.63,Critical,External Contractors,Steps to resolve Incomplete Risk Management Framework,2842667.0,KPI,User_40,2024-10-18 11:45:00,login,CANADA,CANADA,1522.0,26.0,13.0,5012.0,38.598237648274505,3588.0,12.826,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,Real
ISSUE-0025,KEY-0025,Missing or Inaccurate Asset Records,1,Asset Inventory Accuracy,Critical,Open,Reporter 9,Assignee 14,2024-11-07,2025-04-21 01:51:53.295556,165.0,91.72,Critical,IT,Steps to resolve Missing or Inaccurate Asset Records,1769258.0,KPI,User_30,2024-11-07 06:53:00,login,CANADA,CANADA,2156.0,28.0,6.0,572.0,39.21956950554711,6017.0,23.894,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,Real
ISSUE-0026,KEY-0026,Increased Exposure due to Insufficient Data Encryption,1,Risk Exposure,Medium,In Progress,Reporter 3,Assignee 4,2023-09-13,2025-04-21 01:51:53.295556,586.0,8.38,High,External Contractors,Steps to resolve Increased Exposure due to Insufficient Data Encryption,516742.5,KRI,User_44,2023-09-13 22:38:00,login,USA,USA,922.0,26.0,21.0,2020.0,57.08333767914274,5199.0,5.526000000000001,Medium,Routine Monitoring | Limit Data Transfer,Yellow,Real
ISSUE-0027,KEY-0027,Weak Cloud Storage Access Controls,1,Cloud Security Posture,High,Open,Reporter 8,Assignee 9,2023-08-14,2025-04-21 01:51:53.295556,616.0,68.24,Critical,Finance,Steps to resolve Weak Cloud Storage Access Controls,151682.0,KRI,User_53,2023-08-14 15:13:00,file_access,IN,Unknown,949.0,26.0,13.0,3191.0,49.84952073765615,5640.0,18.548,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,Real
ISSUE-0028,KEY-0028,Increased Exposure due to Insufficient Data Encryption,1,Risk Exposure,Medium,Resolved,Reporter 8,Assignee 4,2023-11-03,2023-11-08 00:00:00.000000,5.0,27.33,Critical,External Contractors,Steps to resolve Increased Exposure due to Insufficient Data Encryption,776402.5,KRI,User_78,2023-11-03 15:06:00,login,FR,FR,1847.0,26.0,9.0,682.5,73.92262994272167,3208.0,9.566,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,Real
ISSUE-0029,KEY-0029,Sensitive Data Leak via Misconfigured Cloud Storage,1,Data Leak,Low,Closed,Reporter 1,Assignee 6,2025-03-11,2025-03-19 00:00:00.000000,8.0,72.3,Critical,IT,Steps to resolve Sensitive Data Leak via Misconfigured Cloud Storage,1215382.5,KRI,User_24,2025-03-11 19:39:00,data_modification,FR,FR,900.0,30.0,3.0,2360.0,57.62689104065443,5908.0,17.66,Critical,Increase Monitoring & Schedule Review | Limit Data Transfer,Orange,Real
ISSUE-0030,KEY-0030,Non-Compliance with Data Protection Regulations,1,Legal Compliance,Low,Closed,Reporter 3,Assignee 3,2025-02-24,2025-03-06 00:00:00.000000,10.0,40.04,Critical,External Contractors,Steps to resolve Non-Compliance with Data Protection Regulations,1509187.5,KRI,User_32,2025-02-24 16:41:00,file_access,JP,JP,900.0,27.0,15.0,630.0,30.917907113626043,5044.0,11.408,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,Real
ISSUE-0031,KEY-0031,Delayed Patching of Known Vulnerabilities,1,Vulnerability Remediation,Low,In Progress,Reporter 2,Assignee 9,2023-01-09,2025-04-21 01:51:53.295556,833.0,51.71,Critical,HR,Steps to resolve Delayed Patching of Known Vulnerabilities,2318072.5,KPI,User_94,2023-01-09 22:31:00,data_modification,EU,FR,1506.0,26.0,15.0,1890.0,55.37993667492948,4363.0,13.742,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,Real
ISSUE-0032,KEY-0032,Sensitive Data Leak via Misconfigured Cloud Storage,1,Data Leak,Critical,Closed,Reporter 3,Assignee 14,2023-09-29,2023-10-05 00:00:00.000000,6.0,63.37,Critical,HR,Steps to resolve Sensitive Data Leak via Misconfigured Cloud Storage,1466114.0,KRI,User_39,2023-09-29 22:36:00,data_modification,DE,Unknown,2320.0,26.0,6.0,1328.0,25.90890464088905,4081.0,17.874,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,Real
ISSUE-0033,KEY-0033,Inconsistent Review of Security Policies,1,Management Oversight,Low,Open,Reporter 10,Assignee 8,2025-01-19,2025-04-21 01:51:53.295556,92.0,59.26,Critical,HR,Steps to resolve Inconsistent Review of Security Policies,493187.5,KPI,User_83,2025-01-19 21:08:00,login,DE,DE,900.0,26.0,6.0,3140.0,31.975381571278582,7966.0,15.402,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,Real
ISSUE-0034,KEY-0034,Non-Compliance with Data Protection Regulations,1,Legal Compliance,High,In Progress,Reporter 1,Assignee 17,2024-11-07,2025-04-21 01:51:53.295556,165.0,42.65,Critical,Legal,Steps to resolve Non-Compliance with Data Protection Regulations,1339433.0,KRI,User_62,2024-11-07 23:05:00,file_access,EU,EU,900.0,39.0,6.0,10652.0,20.30862165204666,7978.0,13.579999999999998,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,Real
ISSUE-0035,KEY-0035,Inadequate Firewall Configurations,1,Network Security,High,In Progress,Reporter 8,Assignee 11,2024-08-05,2025-04-21 01:51:53.295556,259.0,2.0,Low,HR,Steps to resolve Inadequate Firewall Configurations,2551610.0,KPI,User_55,2024-08-05 10:31:00,data_modification,USA,USA,900.0,35.0,28.0,8030.0,61.662870980215445,4954.0,4.25,Medium,Schedule Investigation | Limit Data Transfer,Yellow-Orange,Real
ISSUE-0036,KEY-0036,Detected Malware Infiltration in Internal Systems,1,Malware,Critical,Open,Reporter 2,Assignee 13,2024-10-31,2025-04-21 01:51:53.295556,172.0,75.42,Critical,Operations,Steps to resolve Detected Malware Infiltration in Internal Systems,1448708.0,KRI,User_20,2024-10-31 09:10:00,data_modification,JP,JP,900.0,28.0,28.0,2834.0,41.19842614747523,6405.0,20.634000000000004,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,Real
ISSUE-0037,KEY-0037,Outdated Operating System Components,1,System Vulnerability,Low,In Progress,Reporter 3,Assignee 1,2024-04-04,2025-04-21 01:51:53.295556,382.0,42.36,Critical,External Contractors,Steps to resolve Outdated Operating System Components,1323132.5,KPI,User_17,2024-04-04 22:07:00,login,FR,FR,900.0,30.0,6.0,2410.0,71.52733995204434,4948.0,12.021999999999998,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,Real
ISSUE-0038,KEY-0038,Missing or Inaccurate Asset Records,1,Asset Inventory Accuracy,Critical,Closed,Reporter 1,Assignee 6,2023-10-06,2023-10-16 00:00:00.000000,10.0,122.12,Critical,C-Suite Executives,Steps to resolve Missing or Inaccurate Asset Records,1154645.0,KPI,User_39,2023-10-06 13:59:00,data_modification,IN,JP,1243.0,28.0,10.0,9275.0,63.04322636934906,3840.0,29.974000000000004,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,Real
ISSUE-0039,KEY-0039,Delayed Patching of Known Vulnerabilities,1,Vulnerability Remediation,Medium,Open,Reporter 4,Assignee 15,2023-03-30,2025-04-21 01:51:53.295556,753.0,83.3,Critical,C-Suite Executives,Steps to resolve Delayed Patching of Known Vulnerabilities,662932.5,KPI,User_47,2023-03-30 19:36:00,login,UK,UK,1403.0,26.0,9.0,9905.0,56.38970753369795,3254.0,20.81,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,Real
ISSUE-0040,KEY-0040,Non-Compliance with Data Protection Regulations,1,Legal Compliance,Critical,In Progress,Reporter 6,Assignee 20,2023-12-04,2025-04-21 01:51:53.295556,504.0,15.42,Critical,External Contractors,Steps to resolve Non-Compliance with Data Protection Regulations,1853627.0,KRI,User_40,2023-12-04 00:28:00,login,UK,UK,1991.0,26.0,17.0,1925.0,79.26238569922506,6442.0,8.783999999999999,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,Red,Real
ISSUE-0041,KEY-0041,Weak Cloud Storage Access Controls,1,Cloud Security Posture,High,Closed,Reporter 3,Assignee 4,2025-01-22,2025-01-23 00:00:00.000000,1.0,36.33,Critical,Sales,Steps to resolve Weak Cloud Storage Access Controls,1778240.0,KRI,User_47,2025-01-22 23:06:00,data_modification,UK,UK,1741.0,26.0,17.0,3944.0,35.57296378865691,7262.0,11.916,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,Real
ISSUE-0042,KEY-0042,Access by Unauthorized Personnel Detected,1,Unauthorized Access,High,Resolved,Reporter 3,Assignee 1,2023-04-16,2023-04-21 00:00:00.000000,5.0,77.44,Critical,External Contractors,Steps to resolve Access by Unauthorized Personnel Detected,2449673.0,KRI,User_54,2023-04-16 05:22:00,file_access,UK,UK,900.0,26.0,21.0,4694.0,46.56266427731008,3953.0,20.188,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,Real
ISSUE-0043,KEY-0043,Unresolved Vulnerabilities from Latest Penetration Test,1,Penetration Testing Effectiveness,Low,Resolved,Reporter 4,Assignee 5,2024-02-07,2024-02-15 00:00:00.000000,8.0,37.13,Critical,C-Suite Executives,Steps to resolve Unresolved Vulnerabilities from Latest Penetration Test,2308872.5,KPI,User_75,2024-02-07 14:45:00,data_modification,CANADA,CN,3233.0,26.0,9.0,850.0,23.28937532066201,3030.0,10.826,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,Real
ISSUE-0044,KEY-0044,Unauthorized Access Leading to Data Exposure,1,Data Breach,Low,Resolved,Reporter 5,Assignee 1,2024-03-24,2024-03-29 00:00:00.000000,5.0,19.82,Critical,Operations,Steps to resolve Unauthorized Access Leading to Data Exposure,2146125.0,KRI,User_9,2024-03-24 21:18:00,data_modification,AU,AU,900.0,26.0,18.0,1602.5,66.73270037720287,6581.0,7.463999999999999,High,Flag for Review | Lock Account & Alert | Limit Data Transfer,Yellow-Orange,Real
ISSUE-0045,KEY-0045,Detected Malware Infiltration in Internal Systems,1,Malware,Low,In Progress,Reporter 8,Assignee 12,2025-03-16,2025-04-21 01:51:53.295556,36.0,49.91,Critical,Finance,Steps to resolve Detected Malware Infiltration in Internal Systems,908322.5,KRI,User_72,2025-03-16 22:54:00,login,EU,EU,989.0,26.0,18.0,640.0,61.99309948165701,3264.0,13.531999999999998,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,Real
ISSUE-0046,KEY-0046,Sensitive Data Leak via Misconfigured Cloud Storage,1,Data Leak,Low,Open,Reporter 9,Assignee 14,2023-05-10,2025-04-21 01:51:53.295556,712.0,79.36,Critical,IT,Steps to resolve Sensitive Data Leak via Misconfigured Cloud Storage,685025.0,KRI,User_27,2023-05-10 10:39:00,file_access,UK,UK,1045.0,26.0,3.0,687.5,28.375252635885097,3030.0,19.072,Critical,Increase Monitoring & Schedule Review | Limit Data Transfer,Orange,Real
ISSUE-0047,KEY-0047,Weak Cloud Storage Access Controls,1,Cloud Security Posture,Low,In Progress,Reporter 10,Assignee 13,2024-05-04,2025-04-21 01:51:53.295556,352.0,46.68,Critical,IT,Steps to resolve Weak Cloud Storage Access Controls,1284245.0,KRI,User_51,2024-05-04 18:12:00,file_access,FR,FR,1652.0,26.0,9.0,1995.0,66.9152938838636,5066.0,12.886,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,Real
ISSUE-0048,KEY-0048,Outdated Operating System Components,1,System Vulnerability,High,In Progress,Reporter 4,Assignee 1,2024-01-15,2025-04-21 01:51:53.295556,462.0,126.56,Critical,C-Suite Executives,Steps to resolve Outdated Operating System Components,1896302.0,KPI,User_90,2024-01-15 13:58:00,data_modification,IN,CN,2004.0,26.0,10.0,1499.0,75.00383643872676,3180.0,30.362,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,Real
ISSUE-0049,KEY-0049,Weak Authentication Protocols,1,Access Control,Critical,In Progress,Reporter 6,Assignee 6,2025-01-11,2025-04-21 01:51:53.295556,100.0,62.46,Critical,Finance,Steps to resolve Weak Authentication Protocols,734810.0,KPI,User_23,2025-01-11 03:57:00,data_modification,USA,USA,900.0,26.0,6.0,3452.0,73.72801493062508,3214.0,18.042,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,Real
ISSUE-0050,KEY-0050,Increased Exposure due to Insufficient Data Encryption,1,Risk Exposure,Low,In Progress,Reporter 8,Assignee 3,2023-08-25,2025-04-21 01:51:53.295556,605.0,40.95,Critical,Sales,Steps to resolve Increased Exposure due to Insufficient Data Encryption,815097.5,KRI,User_61,2023-08-25 03:06:00,data_modification,USA,USA,1050.0,26.0,6.0,6510.0,45.44905814082155,6748.0,11.74,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,Real
ISSUE-0051,KEY-0051,Weak Authentication Protocols,1,Access Control,High,Resolved,Reporter 1,Assignee 9,2024-02-06,2024-02-12 00:00:00.000000,6.0,84.51,Critical,HR,Steps to resolve Weak Authentication Protocols,2312360.0,KPI,User_72,2024-02-06 23:41:00,login,EU,EU,1976.0,26.0,10.0,1547.0,59.12815683681049,7265.0,21.752,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,Real
ISSUE-0052,KEY-0052,Outdated Operating System Components,1,System Vulnerability,Critical,Closed,Reporter 6,Assignee 7,2023-05-08,2023-05-16 00:00:00.000000,8.0,68.39,Critical,External Contractors,Steps to resolve Outdated Operating System Components,1101677.0,KPI,User_12,2023-05-08 09:42:00,data_modification,CANADA,CANADA,900.0,26.0,24.0,5231.0,57.847119001265256,4839.0,19.078,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,Real
ISSUE-0053,KEY-0053,Outdated Operating System Components,1,System Vulnerability,Critical,Resolved,Reporter 3,Assignee 11,2024-12-03,2024-12-13 00:00:00.000000,10.0,59.93,Critical,C-Suite Executives,Steps to resolve Outdated Operating System Components,459206.0,KPI,User_37,2024-12-03 20:02:00,file_access,AU,AU,2283.0,26.0,13.0,6140.0,49.27978385805255,7136.0,17.536,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red,Real
ISSUE-0054,KEY-0054,Incomplete Risk Management Framework,1,Risk Management Maturity,High,In Progress,Reporter 7,Assignee 17,2024-08-10,2025-04-21 01:51:53.295556,254.0,37.6,Critical,Finance,Steps to resolve Incomplete Risk Management Framework,2600777.0,KPI,User_99,2024-08-10 23:00:00,file_access,IN,CANADA,1318.0,26.0,6.0,7820.0,63.82691140549731,6146.0,12.72,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,Real
