Issue Name,CPU Usage %,Defense Action,Threat Level,Issue Key,Threat Score,Remediation Steps,Issue Volume,Risk Level,Status,Session Duration in Second,Impact Score,Date Resolved,Memory Usage MB,Assignees,Data Transfer MB,User ID,Timestamps,Issue Response Time Days,KPI/KRI,Issue ID,Category,IP Location,Reporters,Num Files Accessed,Department Affected,Is Anomaly,Cost,Severity,User Location,Date Reported,Login Attempts,Activity Type,Color
Sensitive Data Leak via Misconfigured Cloud Storage,22.77652160158937,Log Activity for Reference,Medium,KEY-0011,4.05,Steps to resolve Sensitive Data Leak via Misconfigured Cloud Storage,1,High,In Progress,516,6,2026-03-05 22:27:57.042371,7451.230349342451,Assignee 5,65.94307379455375,User_83,2023-01-12 12:21:00,7,KRI,ISSUE-0011,Data Leak,IN,Reporter 9,15,C-Suite Executives,0,6656.1838781979795,Low,DE,2023-01-11 13:27:00,4.721377221409888,data_modification,Light Yellow
Increased Exposure due to Insufficient Data Encryption,44.302637192583596,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,High,KEY-0012,7.1499999999999995,Steps to resolve Increased Exposure due to Insufficient Data Encryption,1,Critical,Open,384,10,2026-01-03 22:27:57.042371,6780.364679411008,Assignee 19,0.21248711493275868,User_80,2023-01-13 10:38:00,33,KRI,ISSUE-0012,Risk Exposure,CANADA,Reporter 8,1,HR,0,26907.804919761,Critical,Unknown,2023-01-12 16:56:00,9.961932155365862,login,Red
Inconsistent Review of Security Policies,37.909995464983616,Log Activity for Reference,Medium,KEY-0013,5.1499999999999995,Steps to resolve Inconsistent Review of Security Policies,1,Critical,Open,760,10,2025-11-12 22:27:57.042371,6232.5123405175145,Assignee 11,0.6760807230878225,User_39,2023-01-14 05:38:00,8,KPI,ISSUE-0013,Management Oversight,Unknown,Reporter 5,2,Operations,0,2275.475262790152,Low,CANADA,2023-01-13 06:24:00,5.728938321794077,login,Light Yellow
Outdated Operating System Components,40.49638459639242,Increase Monitoring & Investigate,Medium,KEY-0014,6.949999999999999,Steps to resolve Outdated Operating System Components,1,Critical,Resolved,819,10,2023-01-16 16:12:00.000000,9117.621788142449,Assignee 7,3.042666188914533,User_97,2023-01-14 19:20:00,2,KPI,ISSUE-0014,System Vulnerability,USA,Reporter 8,11,Legal,0,12277.46679938335,Critical,USA,2023-01-14 16:12:00,6.8490396901153945,data_modification,Orange
High-Volume Distributed Denial-of-Service Attack,32.14502607903474,Escalate to SOC & Restrict Critical System Access,High,KEY-0015,7.15,Steps to resolve High-Volume Distributed Denial-of-Service Attack,1,Critical,In Progress,874,10,2026-02-21 22:27:57.042371,8082.084036366766,Assignee 12,11.978342597786897,User_31,2023-01-16 07:00:00,17,KRI,ISSUE-0015,DDOS,FR,Reporter 7,8,Legal,0,12871.899874998851,Critical,JP,2023-01-15 10:44:00,4.139297699867315,data_modification,Red
Supplier Security Compliance Gaps,29.352988382831988,Routine Monitoring,Medium,KEY-0016,5.65,Steps to resolve Supplier Security Compliance Gaps,1,Critical,Open,119,10,2026-02-09 22:27:57.042371,3847.7514985230996,Assignee 7,11.027757449758452,User_91,2023-01-17 07:06:00,7,KPI,ISSUE-0016,Procurement Security,USA,Reporter 6,10,External Contractors,0,2033.6477491583464,Medium,EU,2023-01-16 23:18:00,9.445989958106859,data_modification,Yellow
Sensitive Data Leak via Misconfigured Cloud Storage,16.991025363466633,Increase Monitoring & Investigate,Medium,KEY-0017,6.9,Steps to resolve Sensitive Data Leak via Misconfigured Cloud Storage,1,Critical,Open,269,10,2025-10-26 22:27:57.042371,4666.430364437898,Assignee 15,7.144586806213433,User_62,2023-01-18 17:48:00,15,KRI,ISSUE-0017,Data Leak,IN,Reporter 10,1,Legal,0,17111.2838624232,Critical,CN,2023-01-17 23:13:00,4.128029742272478,data_modification,Orange
Access by Unauthorized Personnel Detected,30.230915736209962,Increase Monitoring & Investigate,Medium,KEY-0018,6.6,Steps to resolve Access by Unauthorized Personnel Detected,1,Critical,Closed,467,10,2023-01-25 01:52:00.000000,5844.022089964507,Assignee 12,0.7201602287808736,User_45,2023-01-18 11:06:00,7,KRI,ISSUE-0018,Unauthorized Access,FR,Reporter 3,5,IT,0,33066.92792355217,Critical,JP,2023-01-18 01:52:00,1.3024585082404383,data_modification,Orange
Increased Exposure due to Insufficient Data Encryption,44.89906386618719,No Action Needed,Low,KEY-0019,2.4,Steps to resolve Increased Exposure due to Insufficient Data Encryption,1,Low,Open,2317,2,2026-03-19 22:27:57.042371,15956.012096240855,Assignee 9,33.455599909729095,User_34,2023-01-19 19:58:00,4,KRI,ISSUE-0019,Risk Exposure,DE,Reporter 2,7,IT,0,4283.779597837947,Low,USA,2023-01-19 01:07:00,8.160846019287073,data_modification,Green
Inadequate Firewall Configurations,37.61552282579732,Log Activity for Reference,Medium,KEY-0020,4.0,Steps to resolve Inadequate Firewall Configurations,1,High,In Progress,120,7,2026-01-06 22:27:57.042371,2624.5767782994953,Assignee 2,2.5878217894406323,User_27,2023-01-21 06:18:00,9,KPI,ISSUE-0020,Network Security,USA,Reporter 10,10,IT,0,2414.978559218459,Low,Unknown,2023-01-20 13:17:00,1.7629714610614873,file_access,Light Yellow
High-Volume Distributed Denial-of-Service Attack,42.03115864073969,Schedule Investigation,Medium,KEY-0021,6.65,Steps to resolve High-Volume Distributed Denial-of-Service Attack,1,Critical,Open,657,10,2025-10-27 22:27:57.042371,7544.598739980122,Assignee 1,10.995117487923341,User_25,2023-01-22 07:46:00,20,KRI,ISSUE-0021,DDOS,CANADA,Reporter 10,6,IT,0,7982.181896419694,High,Unknown,2023-01-21 08:30:00,4.090085647759333,data_modification,Yellow-Orange
Unauthorized Access Leading to Data Exposure,28.506113888926667,Log Activity for Reference,Medium,KEY-0022,4.85,Steps to resolve Unauthorized Access Leading to Data Exposure,1,Critical,Resolved,445,10,2023-01-26 19:09:00.000000,6989.144012106191,Assignee 13,7.794743163792446,User_55,2023-01-22 22:27:00,4,KRI,ISSUE-0022,Data Breach,DE,Reporter 5,2,Legal,0,11016.903674665107,Low,DE,2023-01-22 19:09:00,4.498078029500306,data_modification,Light Yellow
Access by Unauthorized Personnel Detected,32.47865817032638,Schedule Investigation,Medium,KEY-0023,6.249999999999999,Steps to resolve Access by Unauthorized Personnel Detected,1,Critical,Closed,733,10,2023-01-28 10:39:00.000000,6761.534675938363,Assignee 14,0.4446800268726247,User_94,2023-01-24 09:00:00,5,KRI,ISSUE-0023,Unauthorized Access,AU,Reporter 5,1,IT,0,19398.756685093995,High,IN,2023-01-23 10:39:00,1.4614184586404606,login,Yellow-Orange
Increased Exposure due to Insufficient Data Encryption,35.61127847067034,No Action Needed,Low,KEY-0024,2.3000000000000003,Steps to resolve Increased Exposure due to Insufficient Data Encryption,1,Low,In Progress,299,2,2026-03-24 22:27:57.042371,5705.708433579446,Assignee 14,4.6717956234512386,User_2,2023-01-25 10:51:00,13,KRI,ISSUE-0024,Risk Exposure,Unknown,Reporter 7,6,IT,0,1965.2276462214877,Low,DE,2023-01-24 13:21:00,13.364464851274079,data_modification,Green
Insufficient Access Control Measures,40.359840049780665,Schedule Investigation,Medium,KEY-0025,6.6499999999999995,Steps to resolve Insufficient Access Control Measures,1,Critical,Open,439,10,2026-02-05 22:27:57.042371,7184.519204082368,Assignee 14,26.91083609451813,User_97,2023-01-26 07:47:00,26,KPI,ISSUE-0025,Control Effectiveness,FR,Reporter 1,16,Operations,0,5235.220469639607,High,JP,2023-01-25 20:35:00,2.4134926674369845,file_access,Yellow-Orange
Unresolved Vulnerabilities from Latest Penetration Test,42.87429752172979,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,High,KEY-0026,7.2,Steps to resolve Unresolved Vulnerabilities from Latest Penetration Test,1,Critical,Open,32,10,2026-02-23 22:27:57.042371,2949.225823342076,Assignee 7,11.885691073750566,User_8,2023-01-27 01:43:00,11,KPI,ISSUE-0026,Penetration Testing Effectiveness,IN,Reporter 3,22,External Contractors,0,17885.561284473202,Critical,JP,2023-01-26 18:48:00,11.347292042430462,file_access,Red
Unauthorized Access Leading to Data Exposure,18.47874830924254,Log Activity for Reference,Medium,KEY-0027,5.1499999999999995,Steps to resolve Unauthorized Access Leading to Data Exposure,1,Critical,Open,941,10,2026-02-06 22:27:57.042371,7984.211952001876,Assignee 4,0.1037137961278803,User_1,2023-01-28 14:41:00,11,KRI,ISSUE-0027,Data Breach,IN,Reporter 9,1,Sales,0,22750.370606305965,Low,FR,2023-01-27 16:36:00,7.206194104354689,login,Light Yellow
Outdated Operating System Components,27.06942396536543,Log Activity for Reference,Medium,KEY-0028,4.249999999999999,Steps to resolve Outdated Operating System Components,1,High,Open,575,8,2025-11-30 22:27:57.042371,6478.207018540714,Assignee 14,18.673581134768728,User_85,2023-01-30 00:08:00,7,KPI,ISSUE-0028,System Vulnerability,JP,Reporter 9,5,Sales,0,9893.72703862021,Low,AU,2023-01-29 01:51:00,5.36504205101968,data_modification,Light Yellow
Increased Exposure due to Insufficient Data Encryption,33.04783009135801,Increase Monitoring & Investigate,Medium,KEY-0029,6.9,Steps to resolve Increased Exposure due to Insufficient Data Encryption,1,Critical,Open,335,10,2025-11-19 22:27:57.042371,3945.3914345870116,Assignee 16,1.543019850590879,User_23,2023-01-30 17:47:00,13,KRI,ISSUE-0029,Risk Exposure,DE,Reporter 3,1,Operations,0,11629.938238367526,Critical,EU,2023-01-29 23:46:00,3.5843012835472887,login,Orange
Weak Cloud Storage Access Controls,32.57917853850051,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,High,KEY-0030,7.0,Steps to resolve Weak Cloud Storage Access Controls,1,Critical,Open,320,10,2026-01-24 22:27:57.042371,5948.364461309768,Assignee 19,0.6395130015758494,User_52,2023-01-31 10:46:00,38,KRI,ISSUE-0030,Cloud Security Posture,FR,Reporter 5,1,Finance,0,26886.121902030034,Critical,FR,2023-01-30 19:03:00,7.089335045433866,login,Red
Inconsistent Review of Security Policies,50.611487342397666,Escalate to SOC & Restrict Critical System Access,High,KEY-0031,7.000000000000001,Steps to resolve Inconsistent Review of Security Policies,1,Critical,Resolved,254,10,2023-02-17 02:56:00.000000,3643.6873277611453,Assignee 12,7.009123469385928,User_25,2023-01-31 22:51:00,17,KPI,ISSUE-0031,Management Oversight,DE,Reporter 5,7,IT,0,14862.685878559376,Critical,DE,2023-01-31 02:56:00,4.090085647759333,file_access,Red
Supplier Security Compliance Gaps,14.431151434127113,Routine Monitoring,Medium,KEY-0032,5.45,Steps to resolve Supplier Security Compliance Gaps,1,High,In Progress,2034,8,2026-02-25 22:27:57.042371,14525.476727655005,Assignee 14,37.691855373855255,User_94,2023-02-01 17:58:00,20,KPI,ISSUE-0032,Procurement Security,DE,Reporter 1,8,External Contractors,0,5710.544028916395,Medium,Unknown,2023-02-01 14:35:00,8.911865068836851,data_modification,Yellow
Missing or Inaccurate Asset Records,20.69813725053157,Log Activity for Reference,Medium,KEY-0033,4.9,Steps to resolve Missing or Inaccurate Asset Records,1,Critical,Closed,75,10,2023-02-09 00:00:00.000000,3045.254395260248,Assignee 17,15.313025918024689,User_63,2023-02-02 02:32:00,7,KPI,ISSUE-0033,Asset Inventory Accuracy,USA,Reporter 7,8,Sales,0,10104.199347145512,Low,AU,2023-02-02 00:00:00,8.143860997653633,data_modification,Light Yellow
Weak Authentication Protocols,34.3018248446318,No Action Needed,Low,KEY-0034,2.3000000000000003,Steps to resolve Weak Authentication Protocols,1,Low,Resolved,427,3,2023-02-10 02:14:00.000000,5444.263740833256,Assignee 19,10.108412567249177,User_38,2023-02-04 15:12:00,6,KPI,ISSUE-0034,Access Control,FR,Reporter 2,8,Finance,0,10058.023863533084,Low,FR,2023-02-04 02:14:00,5.974885749366855,data_modification,Green
Outdated Operating System Components,26.34208270122657,Schedule Investigation,Medium,KEY-0035,6.4,Steps to resolve Outdated Operating System Components,1,Critical,In Progress,206,9,2026-03-03 22:27:57.042371,5567.873741163745,Assignee 11,23.59912470673709,User_90,2023-02-05 12:45:00,19,KPI,ISSUE-0035,System Vulnerability,UK,Reporter 2,9,Sales,0,20645.011359313583,High,IN,2023-02-04 12:49:00,8.761807040184692,data_modification,Yellow-Orange
Delayed Patching of Known Vulnerabilities,20.199645042880626,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,High,KEY-0036,7.2,Steps to resolve Delayed Patching of Known Vulnerabilities,1,Critical,Closed,2963,10,2023-02-10 19:39:00.000000,18484.189633564365,Assignee 17,9.75149949881294,User_74,2023-02-06 05:13:00,5,KPI,ISSUE-0036,Vulnerability Remediation,IN,Reporter 9,8,C-Suite Executives,0,22563.8284146388,Critical,UK,2023-02-05 19:39:00,14.521099603344823,file_access,Red
Weak Authentication Protocols,36.81039416716425,Schedule Investigation,Medium,KEY-0037,6.5,Steps to resolve Weak Authentication Protocols,1,Critical,Resolved,106,10,2023-02-19 21:48:00.000000,4309.827645862421,Assignee 3,0.8620230830165048,User_77,2023-02-07 19:12:00,13,KPI,ISSUE-0037,Access Control,Unknown,Reporter 10,1,External Contractors,0,8776.176488441486,High,AU,2023-02-06 21:48:00,9.3313382175027,login,Yellow-Orange
Non-Compliance with Data Protection Regulations,24.830363891541015,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,High,KEY-0038,7.0,Steps to resolve Non-Compliance with Data Protection Regulations,1,Critical,In Progress,64,10,2025-11-23 22:27:57.042371,4588.924757884632,Assignee 18,1.6057225015746575,User_26,2023-02-07 13:35:00,43,KRI,ISSUE-0038,Legal Compliance,CN,Reporter 7,1,Legal,0,13097.755802555408,Critical,CN,2023-02-07 12:06:00,8.152120396627746,login,Red
Unauthorized Access Leading to Data Exposure,51.95805481348139,Log Activity for Reference,Medium,KEY-0039,5.1499999999999995,Steps to resolve Unauthorized Access Leading to Data Exposure,1,Critical,In Progress,99,10,2025-11-20 22:27:57.042371,6783.535995226128,Assignee 3,0.8334082392277656,User_86,2023-02-09 14:29:00,12,KRI,ISSUE-0039,Data Breach,CN,Reporter 3,1,Legal,0,9695.848819097691,Low,AU,2023-02-08 18:00:00,6.910410343421585,login,Light Yellow
Outdated Operating System Components,12.863836452746956,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,High,KEY-0040,7.0,Steps to resolve Outdated Operating System Components,1,Critical,Closed,237,10,2023-02-16 01:41:00.000000,5652.5746424499175,Assignee 7,9.853747397930691,User_28,2023-02-09 03:03:00,7,KPI,ISSUE-0040,System Vulnerability,CANADA,Reporter 2,15,HR,0,26936.458013646927,Critical,CANADA,2023-02-09 01:41:00,19.95517245433693,file_access,Red
Successful Phishing Attempt Targeting Executives,40.36505424466633,Schedule Investigation,Medium,KEY-0041,6.1,Steps to resolve Successful Phishing Attempt Targeting Executives,1,Critical,Closed,287,10,2023-02-12 22:28:00.000000,5750.568264008304,Assignee 14,0.4473479319573805,User_62,2023-02-10 23:06:00,2,KRI,ISSUE-0041,Phishing Attack,Unknown,Reporter 2,1,Finance,0,18955.238545083088,High,JP,2023-02-10 22:28:00,6.540932410702132,login,Yellow-Orange
Missing or Inaccurate Asset Records,26.958830230058556,Schedule Investigation,Medium,KEY-0042,6.35,Steps to resolve Missing or Inaccurate Asset Records,1,Critical,Resolved,513,10,2023-02-18 05:46:00.000000,6397.908347678451,Assignee 14,0.1,User_31,2023-02-11 07:46:00,7,KPI,ISSUE-0042,Asset Inventory Accuracy,JP,Reporter 5,1,Legal,0,9607.106924290845,High,FR,2023-02-11 05:46:00,4.139297699867315,login,Yellow-Orange
Access by Unauthorized Personnel Detected,54.18750272410732,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0043,7.1000000000000005,Steps to resolve Access by Unauthorized Personnel Detected,1,Critical,In Progress,6857,10,2026-02-16 22:27:57.042371,39046.83776911378,Assignee 11,174.8456223097377,User_40,2023-02-12 07:14:00,11,KRI,ISSUE-0043,Unauthorized Access,DE,Reporter 9,10,External Contractors,0,27280.803103757473,High,JP,2023-02-12 02:17:00,7.055461592683917,data_modification,Orange-Red
Insufficient Coverage in Annual Risk Assessment,50.900756318619344,No Action Needed,Low,KEY-0044,1.8,Steps to resolve Insufficient Coverage in Annual Risk Assessment,1,Low,Closed,25,1,2023-02-23 01:41:00.000000,5304.633638023212,Assignee 18,16.098850595424434,User_44,2023-02-13 14:34:00,10,KPI,ISSUE-0044,Risk Assessment Coverage,EU,Reporter 8,4,Operations,0,4588.4395987469015,Low,IN,2023-02-13 01:41:00,1.8934095290900732,data_modification,Green
Delayed Patching of Known Vulnerabilities,34.65929609209301,Schedule Investigation,Medium,KEY-0045,6.45,Steps to resolve Delayed Patching of Known Vulnerabilities,1,Critical,In Progress,399,9,2026-03-13 22:27:57.042371,7285.40113512981,Assignee 4,22.920721952074167,User_72,2023-02-14 20:34:00,22,KPI,ISSUE-0045,Vulnerability Remediation,CANADA,Reporter 3,8,HR,0,17631.26516666538,High,UK,2023-02-14 11:25:00,3.201642963217884,file_access,Yellow-Orange
Sensitive Data Leak via Misconfigured Cloud Storage,35.07076550009677,Routine Monitoring,Medium,KEY-0046,4.65,Steps to resolve Sensitive Data Leak via Misconfigured Cloud Storage,1,High,Open,332,6,2026-03-03 22:27:57.042371,4527.461592155226,Assignee 15,0.1,User_30,2023-02-16 04:03:00,9,KRI,ISSUE-0046,Data Leak,DE,Reporter 3,1,C-Suite Executives,0,8675.565936664065,Medium,DE,2023-02-15 12:31:00,7.081719805662546,login,Yellow
Supplier Security Compliance Gaps,42.98563131120117,No Action Needed,Low,KEY-0047,2.45,Steps to resolve Supplier Security Compliance Gaps,1,Low,Closed,485,3,2023-02-21 22:29:00.000000,6975.97154514556,Assignee 20,7.008988505596966,User_69,2023-02-17 12:51:00,5,KPI,ISSUE-0047,Procurement Security,CANADA,Reporter 8,11,IT,0,3587.187640242815,Low,CANADA,2023-02-16 22:29:00,3.3728403320398215,file_access,Green
Weak Cloud Storage Access Controls,26.086026468986127,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,High,KEY-0048,7.2,Steps to resolve Weak Cloud Storage Access Controls,1,Critical,Open,115,10,2025-11-06 22:27:57.042371,5612.057177340715,Assignee 8,22.056900838247547,User_70,2023-02-17 10:07:00,11,KRI,ISSUE-0048,Cloud Security Posture,DE,Reporter 1,14,C-Suite Executives,0,23606.89620950941,Critical,UK,2023-02-17 08:05:00,11.999996760141187,file_access,Red
Increased Exposure due to Insufficient Data Encryption,39.81894058949055,No Action Needed,Low,KEY-0049,2.4000000000000004,Steps to resolve Increased Exposure due to Insufficient Data Encryption,1,Low,Resolved,3212,3,2023-02-21 21:01:00.000000,18484.246203387658,Assignee 9,19.29749411017677,User_57,2023-02-18 22:56:00,3,KRI,ISSUE-0049,Risk Exposure,EU,Reporter 9,6,Sales,0,7088.105459006077,Low,EU,2023-02-18 21:01:00,7.415674824361832,data_modification,Green
Incomplete Risk Management Framework,46.211137852169685,Log Activity for Reference,Medium,KEY-0050,4.699999999999999,Steps to resolve Incomplete Risk Management Framework,1,High,Open,1358,8,2026-01-10 22:27:57.042371,13605.629641806056,Assignee 18,7.195123230091039,User_56,2023-02-19 21:30:00,11,KPI,ISSUE-0050,Risk Management Maturity,JP,Reporter 6,12,External Contractors,0,5261.524851638581,Low,DE,2023-02-19 19:05:00,3.4201273882523244,file_access,Light Yellow
High-Volume Distributed Denial-of-Service Attack,14.386793228608756,No Action Needed,Low,KEY-0051,3.8000000000000003,Steps to resolve High-Volume Distributed Denial-of-Service Attack,1,High,In Progress,35,6,2026-01-18 22:27:57.042371,4295.852713171438,Assignee 10,3.4815896398255193,User_97,2023-02-21 05:16:00,4,KRI,ISSUE-0051,DDOS,IN,Reporter 7,8,Sales,0,5948.114664824451,Low,CN,2023-02-20 11:16:00,9.471658012238363,file_access,Green
High-Volume Distributed Denial-of-Service Attack,24.595157665664807,No Action Needed,Low,KEY-0052,2.4000000000000004,Steps to resolve High-Volume Distributed Denial-of-Service Attack,1,Low,Closed,208,3,2023-02-28 09:45:00.000000,3655.045656455217,Assignee 14,2.250810595950156,User_10,2023-02-21 10:26:00,7,KRI,ISSUE-0052,DDOS,FR,Reporter 4,12,Finance,0,6921.217114126337,Low,UK,2023-02-21 09:45:00,6.5537172149327825,file_access,Green
Inconsistent Review of Security Policies,46.08096277213408,Log Activity for Reference,Medium,KEY-0053,5.0,Steps to resolve Inconsistent Review of Security Policies,1,Critical,Open,3275,9,2026-03-17 22:27:57.042371,21489.092292889156,Assignee 13,14.578387742113911,User_48,2023-02-22 10:55:00,14,KPI,ISSUE-0053,Management Oversight,CN,Reporter 10,9,External Contractors,0,4609.0506132318615,Low,CN,2023-02-22 06:43:00,2.2909673285388665,file_access,Light Yellow
Weak Authentication Protocols,24.507985572930505,Schedule Investigation,Medium,KEY-0054,6.2,Steps to resolve Weak Authentication Protocols,1,High,In Progress,2189,8,2025-12-20 22:27:57.042371,14683.412661753433,Assignee 1,67.34697427209493,User_11,2023-02-24 14:43:00,29,KPI,ISSUE-0054,Access Control,Unknown,Reporter 3,2,Sales,0,17777.301759210866,High,FR,2023-02-23 22:04:00,5.8459539369994165,data_modification,Yellow-Orange
Delayed Patching of Known Vulnerabilities,35.74393481382437,No Action Needed,Low,KEY-0055,3.85,Steps to resolve Delayed Patching of Known Vulnerabilities,1,High,In Progress,1116,7,2025-12-27 22:27:57.042371,8402.40449475535,Assignee 19,0.20089958237994102,User_77,2023-02-25 07:23:00,2,KPI,ISSUE-0055,Vulnerability Remediation,USA,Reporter 4,1,Sales,0,7582.624572334721,Low,AU,2023-02-24 12:42:00,5.332429635258556,login,Green
Delayed Patching of Known Vulnerabilities,32.11760940783242,Routine Monitoring,Medium,KEY-0056,5.6,Steps to resolve Delayed Patching of Known Vulnerabilities,1,Critical,Closed,1236,9,2023-03-02 19:43:00.000000,9278.788399260562,Assignee 4,13.176337507002208,User_55,2023-02-25 20:04:00,5,KPI,ISSUE-0056,Vulnerability Remediation,Unknown,Reporter 3,11,Legal,0,8297.515064123969,Medium,Unknown,2023-02-25 19:43:00,4.498078029500306,data_modification,Yellow
Supplier Security Compliance Gaps,29.63985051261531,Schedule Investigation,Medium,KEY-0057,6.85,Steps to resolve Supplier Security Compliance Gaps,1,Critical,Open,1093,10,2025-12-25 22:27:57.042371,9279.995776121055,Assignee 20,4.067090993997215,User_43,2023-02-26 19:40:00,27,KPI,ISSUE-0057,Procurement Security,FR,Reporter 1,13,Finance,0,18889.472440595095,High,FR,2023-02-26 10:48:00,8.891023785126876,data_modification,Yellow-Orange
