Issue ID,Issue Key,Issue Name,Issue Volume,Category,Severity,Status,Reporters,Assignees,Date Reported,Date Resolved,Issue Response Time Days,Impact Score,Risk Level,Department Affected,Remediation Steps,Cost,KPI/KRI,User ID,Timestamps,Activity Type,User Location,IP Location,Session Duration in Second,Num Files Accessed,Login Attempts,Data Transfer MB,CPU Usage %,Memory Usage MB,Threat Score,Threat Level,Defense Action
ISSUE-0212,KEY-0212,High-Volume Distributed Denial-of-Service Attack,1,DDOS,Critical,Closed,Reporter 2,Assignee 10,2023-12-25,2024-01-02 00:00:00.000000,8,45.93,Critical,Sales,Steps to resolve High-Volume Distributed Denial-of-Service Attack,1914185.0,KRI,User_63,2023-12-25 02:42:00,file_access,FR,FR,900,26,17,1817.0,51.367208477662885,6782,14.735999999999999,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer
ISSUE-0213,KEY-0213,Outdated Operating System Components,1,System Vulnerability,Medium,In Progress,Reporter 5,Assignee 12,2023-03-18,2025-09-19 22:15:24.985808,916,68.15,Critical,C-Suite Executives,Steps to resolve Outdated Operating System Components,1898727.5,KPI,User_11,2023-03-18 03:02:00,login,CANADA,CANADA,1428,26,24,2967.5,44.38049550737212,4876,17.78,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer
ISSUE-0214,KEY-0214,Non-Compliance with Data Protection Regulations,1,Legal Compliance,Low,In Progress,Reporter 2,Assignee 17,2023-10-18,2025-09-19 22:15:24.985808,702,43.66,Critical,External Contractors,Steps to resolve Non-Compliance with Data Protection Regulations,575217.5,KRI,User_82,2023-10-18 06:35:00,login,FR,FR,900,26,9,2622.5,51.46919462079293,7968,12.281999999999998,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer
ISSUE-0215,KEY-0215,Access by Unauthorized Personnel Detected,1,Unauthorized Access,Critical,Open,Reporter 8,Assignee 10,2023-06-05,2025-09-19 22:15:24.985808,837,59.78,Critical,IT,Steps to resolve Access by Unauthorized Personnel Detected,963641.0,KRI,User_5,2023-06-05 16:56:00,file_access,UK,UK,900,28,10,10142.0,43.951353799772285,4408,17.356,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer
ISSUE-0216,KEY-0216,Inadequate Firewall Configurations,1,Network Security,Low,Resolved,Reporter 6,Assignee 7,2024-02-18,2024-02-27 00:00:00.000000,9,33.0,Critical,C-Suite Executives,Steps to resolve Inadequate Firewall Configurations,374745.0,KPI,User_47,2024-02-18 04:18:00,login,Unknown,Unknown,2203,30,12,4412.5,40.06105463264997,5121,10.0,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer
ISSUE-0217,KEY-0217,Inconsistent Review of Security Policies,1,Management Oversight,Medium,Open,Reporter 1,Assignee 16,2025-01-25,2025-09-19 22:15:24.985808,237,75.89,Critical,C-Suite Executives,Steps to resolve Inconsistent Review of Security Policies,2017037.5,KPI,User_55,2025-01-25 11:34:00,data_modification,FR,FR,902,26,12,612.5,76.6622774349544,4350,19.478,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer
ISSUE-0218,KEY-0218,Weak Cloud Storage Access Controls,1,Cloud Security Posture,Medium,In Progress,Reporter 9,Assignee 17,2023-11-29,2025-09-19 22:15:24.985808,660,2.0,Low,C-Suite Executives,Steps to resolve Weak Cloud Storage Access Controls,656880.0,KRI,User_11,2023-11-29 10:39:00,login,Unknown,DE,900,26,12,4815.0,77.68605553805642,3157,3.5000000000000004,Low,Log for Reference | Limit Data Transfer
ISSUE-0219,KEY-0219,Outdated Operating System Components,1,System Vulnerability,Low,In Progress,Reporter 10,Assignee 4,2025-07-16,2025-09-19 22:15:24.985808,65,40.79,Critical,HR,Steps to resolve Outdated Operating System Components,1256867.5,KPI,User_71,2025-07-16 22:10:00,file_access,UK,UK,900,26,18,3965.0,42.185719186306656,5930,11.557999999999998,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer
ISSUE-0220,KEY-0220,Insufficient Access Control Measures,1,Control Effectiveness,Low,Resolved,Reporter 8,Assignee 9,2025-09-04,2025-09-14 00:00:00.000000,10,58.81,Critical,External Contractors,Steps to resolve Insufficient Access Control Measures,1999747.5,KPI,User_94,2025-09-04 18:40:00,login,UK,IN,900,26,9,735.0,36.49094463306682,4676,15.161999999999999,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer
ISSUE-0221,KEY-0221,High-Volume Distributed Denial-of-Service Attack,1,DDOS,High,Closed,Reporter 2,Assignee 4,2023-05-18,2023-05-25 00:00:00.000000,7,51.4,Critical,C-Suite Executives,Steps to resolve High-Volume Distributed Denial-of-Service Attack,2874497.0,KRI,User_57,2023-05-18 15:11:00,file_access,AU,AU,900,26,6,4529.0,65.86825900102716,3617,15.13,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer
ISSUE-0222,KEY-0222,Delayed Patching of Known Vulnerabilities,1,Vulnerability Remediation,Critical,Open,Reporter 5,Assignee 16,2023-11-12,2025-09-19 22:15:24.985808,677,54.86,Critical,Legal,Steps to resolve Delayed Patching of Known Vulnerabilities,1756124.0,KPI,User_97,2023-11-12 01:53:00,data_modification,USA,USA,3115,26,6,1094.0,75.38612486417648,5854,16.522000000000002,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer
ISSUE-0223,KEY-0223,Inadequate Firewall Configurations,1,Network Security,Medium,Resolved,Reporter 8,Assignee 17,2025-06-04,2025-06-12 00:00:00.000000,8,61.69,Critical,Finance,Steps to resolve Inadequate Firewall Configurations,790475.0,KPI,User_80,2025-06-04 14:00:00,file_access,DE,USA,900,26,6,817.5,29.73197965926518,4344,16.488,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer
ISSUE-0224,KEY-0224,Detected Malware Infiltration in Internal Systems,1,Malware,Medium,Closed,Reporter 9,Assignee 9,2025-01-02,2025-01-09 00:00:00.000000,7,51.29,Critical,C-Suite Executives,Steps to resolve Detected Malware Infiltration in Internal Systems,847832.5,KRI,User_14,2025-01-02 12:19:00,file_access,CANADA,CANADA,1000,26,6,1222.5,79.2195375500005,6132,14.508000000000001,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer
ISSUE-0225,KEY-0225,Sensitive Data Leak via Misconfigured Cloud Storage,1,Data Leak,High,Open,Reporter 10,Assignee 12,2025-09-15,2025-09-19 22:15:24.985808,4,45.4,Critical,External Contractors,Steps to resolve Sensitive Data Leak via Misconfigured Cloud Storage,2596937.0,KRI,User_2,2025-09-15 17:56:00,login,AU,AU,900,26,17,7952.0,22.985948581938835,4445,13.78,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer
ISSUE-0226,KEY-0226,Outdated Operating System Components,1,System Vulnerability,Low,In Progress,Reporter 8,Assignee 18,2024-11-09,2025-09-19 22:15:24.985808,314,71.7,Critical,Sales,Steps to resolve Outdated Operating System Components,1582007.5,KPI,User_79,2024-11-09 18:34:00,data_modification,Unknown,JP,1596,26,12,1187.5,45.740047241892256,6794,17.890000000000004,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer
ISSUE-0227,KEY-0227,Unauthorized Access Leading to Data Exposure,1,Data Breach,Critical,Closed,Reporter 5,Assignee 2,2025-05-22,2025-05-24 00:00:00.000000,2,108.0,Critical,HR,Steps to resolve Unauthorized Access Leading to Data Exposure,2408516.0,KRI,User_42,2025-05-22 12:59:00,file_access,AU,AU,1074,26,6,3392.0,75.89724475176219,5122,26.750000000000004,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer
ISSUE-0228,KEY-0228,Missing or Inaccurate Asset Records,1,Asset Inventory Accuracy,Low,Closed,Reporter 6,Assignee 15,2024-11-26,2024-11-29 00:00:00.000000,3,35.14,Critical,Finance,Steps to resolve Missing or Inaccurate Asset Records,1639932.5,KPI,User_24,2024-11-26 07:40:00,file_access,AU,AU,900,26,12,977.5,67.92630864799321,7496,10.328,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer
ISSUE-0229,KEY-0229,Supplier Security Compliance Gaps,1,Procurement Security,Critical,Closed,Reporter 4,Assignee 2,2024-11-04,2024-11-07 00:00:00.000000,3,60.33,Critical,Sales,Steps to resolve Supplier Security Compliance Gaps,1495823.0,KPI,User_24,2024-11-04 16:55:00,login,JP,JP,2236,28,10,3566.0,34.73789965432707,5170,17.066000000000003,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer
ISSUE-0230,KEY-0230,Insufficient Coverage in Annual Risk Assessment,1,Risk Assessment Coverage,Critical,Closed,Reporter 8,Assignee 3,2024-11-13,2024-11-15 00:00:00.000000,2,55.68,Critical,C-Suite Executives,Steps to resolve Insufficient Coverage in Annual Risk Assessment,2343122.0,KPI,User_13,2024-11-13 17:20:00,file_access,IN,AU,2759,26,21,1922.0,31.11899845732256,4100,16.136,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer
ISSUE-0231,KEY-0231,Non-Compliance with Data Protection Regulations,1,Legal Compliance,Medium,Resolved,Reporter 3,Assignee 14,2024-03-23,2024-03-30 00:00:00.000000,7,66.03,Critical,Finance,Steps to resolve Non-Compliance with Data Protection Regulations,749845.0,KRI,User_92,2024-03-23 07:22:00,login,UK,UK,900,26,9,2967.5,36.39831152991994,6566,17.306,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer
ISSUE-0232,KEY-0232,Unresolved Vulnerabilities from Latest Penetration Test,1,Penetration Testing Effectiveness,Low,Closed,Reporter 4,Assignee 11,2025-09-04,2025-09-12 00:00:00.000000,8,42.01,Critical,External Contractors,Steps to resolve Unresolved Vulnerabilities from Latest Penetration Test,2311770.0,KPI,User_41,2025-09-04 01:50:00,file_access,JP,JP,1086,26,15,977.5,40.531698032120985,5742,11.801999999999998,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer
ISSUE-0233,KEY-0233,Non-Compliance with Data Protection Regulations,1,Legal Compliance,Low,Resolved,Reporter 6,Assignee 2,2025-06-24,2025-06-30 00:00:00.000000,6,41.1,Critical,Operations,Steps to resolve Non-Compliance with Data Protection Regulations,795577.5,KRI,User_95,2025-06-24 12:47:00,login,USA,USA,2372,26,12,2122.5,52.54853535097054,5462,11.42,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer
ISSUE-0234,KEY-0234,Successful Phishing Attempt Targeting Executives,1,Phishing Attack,High,Resolved,Reporter 1,Assignee 19,2024-10-07,2024-10-09 00:00:00.000000,2,14.43,Critical,IT,Steps to resolve Successful Phishing Attempt Targeting Executives,2117651.0,KRI,User_22,2024-10-07 10:36:00,file_access,IN,IN,900,26,10,1373.0,47.983981168365496,7691,7.536,High,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer
ISSUE-0235,KEY-0235,Access by Unauthorized Personnel Detected,1,Unauthorized Access,High,Closed,Reporter 6,Assignee 17,2023-06-16,2023-06-22 00:00:00.000000,6,16.93,Critical,Legal,Steps to resolve Access by Unauthorized Personnel Detected,355079.0,KRI,User_14,2023-06-16 00:43:00,login,IN,IN,1458,26,6,4679.0,71.59000265619443,6065,8.386,High,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer
ISSUE-0236,KEY-0236,High-Volume Distributed Denial-of-Service Attack,1,DDOS,Low,Resolved,Reporter 8,Assignee 11,2024-05-01,2024-05-05 00:00:00.000000,4,80.73,Critical,External Contractors,Steps to resolve High-Volume Distributed Denial-of-Service Attack,1698862.5,KRI,User_99,2024-05-01 13:30:00,data_modification,FR,FR,1588,27,9,2280.0,51.77687448296872,3237,19.346,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer
ISSUE-0237,KEY-0237,Insufficient Access Control Measures,1,Control Effectiveness,High,Closed,Reporter 3,Assignee 10,2023-07-22,2023-07-30 00:00:00.000000,8,40.59,Critical,Legal,Steps to resolve Insufficient Access Control Measures,2912981.0,KPI,User_84,2023-07-22 22:00:00,data_modification,USA,USA,900,26,6,1451.0,71.07163873900915,5152,13.168,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer
ISSUE-0238,KEY-0238,Delayed Patching of Known Vulnerabilities,1,Vulnerability Remediation,Critical,Closed,Reporter 3,Assignee 1,2025-07-25,2025-07-28 00:00:00.000000,3,2.0,Low,HR,Steps to resolve Delayed Patching of Known Vulnerabilities,1047083.0,KPI,User_20,2025-07-25 01:48:00,file_access,Unknown,Unknown,2601,26,13,1616.0,45.043833386954326,6713,4.35,Medium,Increase Monitoring & Investigate | Limit Data Transfer
ISSUE-0239,KEY-0239,Insufficient Access Control Measures,1,Control Effectiveness,High,Closed,Reporter 3,Assignee 7,2025-07-12,2025-07-17 00:00:00.000000,5,51.32,Critical,Legal,Steps to resolve Insufficient Access Control Measures,2839952.0,KPI,User_72,2025-07-12 19:20:00,file_access,UK,UK,1833,28,10,8951.0,69.39430322895582,4225,15.114,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer
ISSUE-0240,KEY-0240,Delayed Patching of Known Vulnerabilities,1,Vulnerability Remediation,Medium,Resolved,Reporter 7,Assignee 12,2025-08-24,2025-09-03 00:00:00.000000,10,74.82,Critical,C-Suite Executives,Steps to resolve Delayed Patching of Known Vulnerabilities,721615.0,KPI,User_45,2025-08-24 08:10:00,file_access,FR,FR,1182,26,9,1892.5,48.741812908308646,3444,19.113999999999997,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer
ISSUE-0241,KEY-0241,Detected Malware Infiltration in Internal Systems,1,Malware,Critical,Resolved,Reporter 6,Assignee 20,2024-11-01,2024-11-03 00:00:00.000000,2,67.45,Critical,IT,Steps to resolve Detected Malware Infiltration in Internal Systems,1562921.0,KRI,User_56,2024-11-01 12:16:00,data_modification,IN,Unknown,900,35,24,3161.0,78.63722888347128,3074,18.640000000000004,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer
ISSUE-0242,KEY-0242,Non-Compliance with Data Protection Regulations,1,Legal Compliance,High,Resolved,Reporter 1,Assignee 4,2025-05-22,2025-05-23 00:00:00.000000,1,64.6,Critical,C-Suite Executives,Steps to resolve Non-Compliance with Data Protection Regulations,2133128.0,KRI,User_91,2025-05-22 19:23:00,file_access,AU,JP,1670,35,10,3518.0,27.67770199617487,4118,17.42,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer
ISSUE-0243,KEY-0243,Detected Malware Infiltration in Internal Systems,1,Malware,Medium,Closed,Reporter 4,Assignee 12,2024-08-13,2024-08-18 00:00:00.000000,5,18.71,Critical,HR,Steps to resolve Detected Malware Infiltration in Internal Systems,2072597.5,KRI,User_23,2024-08-13 12:50:00,login,EU,EU,3026,26,15,2122.5,76.13345947276079,6546,7.992,High,Alert Security Team & Review Logs | Lock Account & Alert | Limit Data Transfer
ISSUE-0244,KEY-0244,Successful Phishing Attempt Targeting Executives,1,Phishing Attack,Medium,Closed,Reporter 10,Assignee 2,2025-05-06,2025-05-09 00:00:00.000000,3,66.05,Critical,C-Suite Executives,Steps to resolve Successful Phishing Attempt Targeting Executives,1978965.0,KRI,User_2,2025-05-06 07:08:00,login,CANADA,CANADA,1277,26,18,2587.5,76.03937632488538,3285,17.110000000000003,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer
ISSUE-0245,KEY-0245,Non-Compliance with Data Protection Regulations,1,Legal Compliance,Medium,Resolved,Reporter 8,Assignee 2,2025-02-20,2025-02-27 00:00:00.000000,7,2.0,Low,IT,Steps to resolve Non-Compliance with Data Protection Regulations,1500257.5,KRI,User_79,2025-02-20 14:56:00,login,AU,AU,900,26,6,4375.0,20.536177944780704,3736,3.1500000000000004,Low,Log for Reference | Limit Data Transfer
ISSUE-0246,KEY-0246,Increased Exposure due to Insufficient Data Encryption,1,Risk Exposure,Medium,Closed,Reporter 6,Assignee 1,2023-01-16,2023-01-18 00:00:00.000000,2,65.98,Critical,C-Suite Executives,Steps to resolve Increased Exposure due to Insufficient Data Encryption,1675002.5,KRI,User_99,2023-01-16 19:34:00,login,JP,JP,2343,26,12,3477.5,33.54187533704859,4327,16.946,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer
ISSUE-0247,KEY-0247,Detected Malware Infiltration in Internal Systems,1,Malware,Low,In Progress,Reporter 4,Assignee 17,2024-03-20,2025-09-19 22:15:24.985808,548,11.54,Critical,Operations,Steps to resolve Detected Malware Infiltration in Internal Systems,1862650.0,KRI,User_46,2024-03-20 14:04:00,data_modification,AU,AU,1653,26,9,1192.5,67.16034432612047,6068,6.007999999999999,Medium,Log Activity for Reference | Limit Data Transfer
ISSUE-0248,KEY-0248,Non-Compliance with Data Protection Regulations,1,Legal Compliance,Low,Resolved,Reporter 9,Assignee 8,2025-05-14,2025-05-17 00:00:00.000000,3,81.2,Critical,Legal,Steps to resolve Non-Compliance with Data Protection Regulations,774860.0,KRI,User_38,2025-05-14 00:22:00,file_access,CN,CN,900,26,9,3165.0,42.32673135384554,7345,19.390000000000004,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer
ISSUE-0249,KEY-0249,Non-Compliance with Data Protection Regulations,1,Legal Compliance,Medium,Open,Reporter 2,Assignee 5,2024-09-12,2025-09-19 22:15:24.985808,372,67.86,Critical,Legal,Steps to resolve Non-Compliance with Data Protection Regulations,933857.5,KRI,User_81,2024-09-12 15:48:00,file_access,AU,AU,1044,26,12,1275.0,39.37774488529794,4897,17.722,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer
ISSUE-0250,KEY-0250,High-Volume Distributed Denial-of-Service Attack,1,DDOS,Low,Open,Reporter 4,Assignee 15,2023-10-01,2025-09-19 22:15:24.985808,719,34.58,Critical,Legal,Steps to resolve High-Volume Distributed Denial-of-Service Attack,840237.5,KRI,User_99,2023-10-01 09:05:00,login,USA,USA,2514,27,6,1297.5,45.03105623112974,3817,10.315999999999999,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer
ISSUE-0251,KEY-0251,Non-Compliance with Data Protection Regulations,1,Legal Compliance,Low,In Progress,Reporter 10,Assignee 2,2024-09-18,2025-09-19 22:15:24.985808,366,73.85,Critical,Legal,Steps to resolve Non-Compliance with Data Protection Regulations,1621817.5,KRI,User_46,2024-09-18 23:26:00,data_modification,IN,UK,1505,26,15,1440.0,60.443082327839306,5586,18.32,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer
ISSUE-0252,KEY-0252,Inconsistent Review of Security Policies,1,Management Oversight,High,Closed,Reporter 6,Assignee 9,2023-07-15,2023-07-21 00:00:00.000000,6,2.0,Low,HR,Steps to resolve Inconsistent Review of Security Policies,1556951.0,KPI,User_52,2023-07-15 05:02:00,login,AU,AU,900,26,3,941.0,33.207435145445345,7247,3.85,Low,Routine Monitoring | Limit Data Transfer
ISSUE-0253,KEY-0253,Insufficient Coverage in Annual Risk Assessment,1,Risk Assessment Coverage,Low,Closed,Reporter 10,Assignee 18,2025-03-21,2025-03-28 00:00:00.000000,7,50.83,Critical,IT,Steps to resolve Insufficient Coverage in Annual Risk Assessment,2248205.0,KPI,User_79,2025-03-21 11:10:00,login,Unknown,Unknown,1637,26,12,922.5,41.05161600215759,7499,13.516,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer
ISSUE-0254,KEY-0254,Non-Compliance with Data Protection Regulations,1,Legal Compliance,High,In Progress,Reporter 6,Assignee 20,2023-12-05,2025-09-19 22:15:24.985808,654,33.83,Critical,Legal,Steps to resolve Non-Compliance with Data Protection Regulations,1587236.0,KRI,User_22,2023-12-05 22:25:00,login,CN,CN,1619,31,21,1424.0,38.48718326624314,7261,11.815999999999999,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer
ISSUE-0255,KEY-0255,Delayed Patching of Known Vulnerabilities,1,Vulnerability Remediation,Medium,Resolved,Reporter 4,Assignee 18,2025-03-10,2025-03-11 00:00:00.000000,1,3.51,Low,External Contractors,Steps to resolve Delayed Patching of Known Vulnerabilities,895422.5,KPI,User_85,2025-03-10 21:04:00,login,EU,EU,900,26,12,4937.5,59.1603910188419,6977,3.402,Low,Log for Reference | Limit Data Transfer
ISSUE-0256,KEY-0256,Insufficient Access Control Measures,1,Control Effectiveness,Low,Open,Reporter 1,Assignee 18,2024-11-16,2025-09-19 22:15:24.985808,307,87.68,Critical,Finance,Steps to resolve Insufficient Access Control Measures,231380.0,KPI,User_7,2024-11-16 03:27:00,file_access,Unknown,Unknown,2390,26,9,6215.0,42.82876012505831,5395,20.936,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer
ISSUE-0257,KEY-0257,Inconsistent Review of Security Policies,1,Management Oversight,High,Closed,Reporter 10,Assignee 19,2024-06-14,2024-06-20 00:00:00.000000,6,24.24,Critical,HR,Steps to resolve Inconsistent Review of Security Policies,2295338.0,KPI,User_17,2024-06-14 18:47:00,data_modification,AU,AU,900,28,10,743.0,64.85599359968441,4171,9.697999999999999,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer
ISSUE-0258,KEY-0258,Weak Authentication Protocols,1,Access Control,High,In Progress,Reporter 8,Assignee 14,2024-07-25,2025-09-19 22:15:24.985808,421,51.1,Critical,Legal,Steps to resolve Weak Authentication Protocols,2774153.0,KPI,User_35,2024-07-25 05:48:00,data_modification,CN,CN,940,26,10,1454.0,59.22561555404438,6016,15.27,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer
