Issue ID,Issue Key,Issue Name,Issue Volume,Category,Severity,Status,Reporters,Assignees,Date Reported,Date Resolved,Issue Response Time Days,Impact Score,Risk Level,Department Affected,Remediation Steps,Cost,KPI/KRI,User ID,Timestamps,Activity Type,User Location,IP Location,Session Duration in Second,Num Files Accessed,Login Attempts,Data Transfer MB,Threat Score,Threat Level,Defense Action,Color
ISSUE-0011,KEY-0011,Inconsistent Review of Security Policies,1,Management Oversight,High,In Progress,Reporter 8,Assignee 3,2024-04-21,2024-12-31 22:33:01.735013,254,34.1,Critical,Legal,Steps to resolve Inconsistent Review of Security Policies,2985014.0,KPI,User_5,2024-04-21 00:22:00,file_access,JP,JP,1342,26,17,9113.0,12.72,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red
ISSUE-0012,KEY-0012,Supplier Security Compliance Gaps,1,Procurement Security,Medium,Closed,Reporter 9,Assignee 10,2023-07-05,2023-07-06 00:00:00.000000,1,45.47,Critical,HR,Steps to resolve Supplier Security Compliance Gaps,2185000.0,KPI,User_27,2023-07-05 18:14:00,data_modification,UK,UK,1690,30,6,3337.5,13.693999999999999,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red
ISSUE-0013,KEY-0013,Supplier Security Compliance Gaps,1,Procurement Security,Medium,Closed,Reporter 7,Assignee 9,2024-12-19,2024-12-26 00:00:00.000000,7,79.54,Critical,Finance,Steps to resolve Supplier Security Compliance Gaps,451517.5,KPI,User_40,2024-12-19 11:04:00,login,UK,UK,900,26,15,735.0,20.708000000000002,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red
ISSUE-0014,KEY-0014,Unresolved Vulnerabilities from Latest Penetration Test,1,Penetration Testing Effectiveness,Critical,Resolved,Reporter 7,Assignee 5,2024-07-15,2024-07-19 00:00:00.000000,4,20.78,Critical,HR,Steps to resolve Unresolved Vulnerabilities from Latest Penetration Test,1331906.0,KPI,User_73,2024-07-15 15:06:00,file_access,EU,UK,1021,26,21,2264.0,10.456000000000001,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red
ISSUE-0015,KEY-0015,Non-Compliance with Data Protection Regulations,1,Legal Compliance,Low,In Progress,Reporter 5,Assignee 15,2024-01-16,2024-12-31 22:33:01.735013,350,47.54,Critical,Legal,Steps to resolve Non-Compliance with Data Protection Regulations,2166395.0,KRI,User_51,2024-01-16 00:31:00,file_access,Unknown,Unknown,900,26,12,2685.0,13.608,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange
ISSUE-0016,KEY-0016,Unauthorized Access Leading to Data Exposure,1,Data Breach,Low,Resolved,Reporter 10,Assignee 9,2023-10-27,2023-11-04 00:00:00.000000,8,52.08,Critical,Operations,Steps to resolve Unauthorized Access Leading to Data Exposure,2464907.5,KRI,User_69,2023-10-27 22:02:00,file_access,UK,CN,1333,26,9,1722.5,14.516,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange
ISSUE-0017,KEY-0017,Unauthorized Access Leading to Data Exposure,1,Data Breach,Critical,In Progress,Reporter 2,Assignee 4,2024-05-19,2024-12-31 22:33:01.735013,226,13.47,Critical,C-Suite Executives,Steps to resolve Unauthorized Access Leading to Data Exposure,620057.0,KRI,User_54,2024-05-19 04:06:00,file_access,IN,IN,900,26,3,1967.0,8.794,High,Escalate to SOC & Restrict Critical System Access | Limit Data Transfer,Red
ISSUE-0018,KEY-0018,Outdated Operating System Components,1,System Vulnerability,Medium,Closed,Reporter 7,Assignee 16,2023-11-11,2023-11-18 00:00:00.000000,7,41.96,Critical,Sales,Steps to resolve Outdated Operating System Components,1821152.5,KPI,User_10,2023-11-11 08:25:00,file_access,EU,Unknown,1067,26,9,1027.5,13.192000000000002,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red
ISSUE-0019,KEY-0019,High-Volume Distributed Denial-of-Service Attack,1,DDOS,Low,Closed,Reporter 4,Assignee 12,2023-07-14,2023-07-24 00:00:00.000000,10,54.29,Critical,Finance,Steps to resolve High-Volume Distributed Denial-of-Service Attack,1961840.0,KRI,User_35,2023-07-14 02:40:00,login,USA,USA,1434,26,9,2265.0,14.958,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange
ISSUE-0020,KEY-0020,Missing or Inaccurate Asset Records,1,Asset Inventory Accuracy,High,In Progress,Reporter 10,Assignee 4,2023-10-07,2024-12-31 22:33:01.735013,451,72.27,Critical,Finance,Steps to resolve Missing or Inaccurate Asset Records,1244993.0,KPI,User_10,2023-10-07 05:22:00,data_modification,FR,FR,900,26,3,1856.0,19.954,Critical,Escalate to Security Operations Center (SOC) & Block User | Limit Data Transfer,Red
ISSUE-0021,KEY-0021,Insufficient Coverage in Annual Risk Assessment,1,Risk Assessment Coverage,Critical,Resolved,Reporter 2,Assignee 20,2023-09-19,2023-09-29 00:00:00.000000,10,2.0,Low,Finance,Steps to resolve Insufficient Coverage in Annual Risk Assessment,672701.0,KPI,User_81,2023-09-19 01:10:00,file_access,AU,AU,1955,28,6,920.0,5.3,Medium,Increase Monitoring & Investigate | Limit Data Transfer,Orange
ISSUE-0022,KEY-0022,Weak Cloud Storage Access Controls,1,Cloud Security Posture,Critical,Closed,Reporter 5,Assignee 2,2023-07-17,2023-07-20 00:00:00.000000,3,52.16,Critical,Finance,Steps to resolve Weak Cloud Storage Access Controls,1636997.0,KRI,User_52,2023-07-17 19:04:00,file_access,IN,UK,900,26,10,2786.0,16.532,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red
ISSUE-0023,KEY-0023,Detected Malware Infiltration in Internal Systems,1,Malware,High,Closed,Reporter 8,Assignee 20,2023-06-09,2023-06-17 00:00:00.000000,8,72.52,Critical,Finance,Steps to resolve Detected Malware Infiltration in Internal Systems,407225.0,KRI,User_4,2023-06-09 08:36:00,data_modification,EU,EU,900,39,17,815.0,20.404,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red
ISSUE-0024,KEY-0024,Weak Authentication Protocols,1,Access Control,Low,Open,Reporter 1,Assignee 20,2024-11-06,2024-12-31 22:33:01.735013,55,88.05,Critical,Sales,Steps to resolve Weak Authentication Protocols,1163445.0,KPI,User_54,2024-11-06 06:11:00,login,IN,IN,900,26,15,6352.5,21.71,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange
ISSUE-0025,KEY-0025,Successful Phishing Attempt Targeting Executives,1,Phishing Attack,High,In Progress,Reporter 9,Assignee 16,2024-06-20,2024-12-31 22:33:01.735013,194,85.29,Critical,External Contractors,Steps to resolve Successful Phishing Attempt Targeting Executives,2980859.0,KRI,User_98,2024-06-20 10:56:00,data_modification,USA,USA,1320,26,17,4226.0,22.958000000000002,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red
ISSUE-0026,KEY-0026,Detected Malware Infiltration in Internal Systems,1,Malware,High,In Progress,Reporter 5,Assignee 6,2023-08-21,2024-12-31 22:33:01.735013,498,43.28,Critical,Operations,Steps to resolve Detected Malware Infiltration in Internal Systems,417794.0,KRI,User_62,2023-08-21 18:34:00,file_access,EU,EU,1903,26,13,1037.0,14.556000000000001,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red
ISSUE-0027,KEY-0027,Increased Exposure due to Insufficient Data Encryption,1,Risk Exposure,Low,In Progress,Reporter 7,Assignee 20,2024-11-11,2024-12-31 22:33:01.735013,50,32.91,Critical,External Contractors,Steps to resolve Increased Exposure due to Insufficient Data Encryption,1092057.5,KRI,User_17,2024-11-11 20:09:00,data_modification,USA,DE,900,26,15,10450.0,10.681999999999999,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange
ISSUE-0028,KEY-0028,Sensitive Data Leak via Misconfigured Cloud Storage,1,Data Leak,High,Closed,Reporter 10,Assignee 19,2023-09-26,2023-10-05 00:00:00.000000,9,85.47,Critical,C-Suite Executives,Steps to resolve Sensitive Data Leak via Misconfigured Cloud Storage,293132.0,KRI,User_6,2023-09-26 17:46:00,login,UK,UK,1715,28,10,2795.0,22.994,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red
ISSUE-0029,KEY-0029,Incomplete Risk Management Framework,1,Risk Management Maturity,Low,Resolved,Reporter 2,Assignee 19,2023-12-10,2023-12-14 00:00:00.000000,4,58.62,Critical,C-Suite Executives,Steps to resolve Incomplete Risk Management Framework,201852.5,KPI,User_33,2023-12-10 01:51:00,file_access,AU,AU,1159,26,6,967.5,15.624,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange
ISSUE-0030,KEY-0030,Access by Unauthorized Personnel Detected,1,Unauthorized Access,Medium,In Progress,Reporter 1,Assignee 13,2023-02-04,2024-12-31 22:33:01.735013,696,46.14,Critical,Operations,Steps to resolve Access by Unauthorized Personnel Detected,1944505.0,KRI,User_95,2023-02-04 05:55:00,login,AU,EU,900,30,3,4420.0,13.828,Critical,Isolate Affected System & Restrict User Access | Limit Data Transfer,Orange-Red
ISSUE-0031,KEY-0031,Missing or Inaccurate Asset Records,1,Asset Inventory Accuracy,Critical,Resolved,Reporter 9,Assignee 9,2024-06-18,2024-06-19 00:00:00.000000,1,35.08,Critical,Legal,Steps to resolve Missing or Inaccurate Asset Records,2605907.0,KPI,User_33,2024-06-18 03:37:00,file_access,UK,JP,1030,26,13,1574.0,13.116,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red
ISSUE-0032,KEY-0032,Outdated Operating System Components,1,System Vulnerability,Medium,Resolved,Reporter 6,Assignee 6,2024-05-09,2024-05-15 00:00:00.000000,6,81.61,Critical,Operations,Steps to resolve Outdated Operating System Components,877417.5,KPI,User_81,2024-05-09 15:25:00,data_modification,DE,DE,976,26,9,1225.0,21.122,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red
ISSUE-0033,KEY-0033,Unauthorized Access Leading to Data Exposure,1,Data Breach,High,Open,Reporter 2,Assignee 20,2024-05-14,2024-12-31 22:33:01.735013,231,80.92,Critical,Operations,Steps to resolve Unauthorized Access Leading to Data Exposure,1016561.0,KRI,User_64,2024-05-14 18:40:00,login,FR,FR,900,26,24,4190.0,22.084,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red
ISSUE-0034,KEY-0034,Sensitive Data Leak via Misconfigured Cloud Storage,1,Data Leak,Low,In Progress,Reporter 1,Assignee 19,2024-10-03,2024-12-31 22:33:01.735013,89,71.04,Critical,IT,Steps to resolve Sensitive Data Leak via Misconfigured Cloud Storage,1122997.5,KRI,User_54,2024-10-03 17:19:00,data_modification,EU,EU,1318,26,9,790.0,18.308,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange
ISSUE-0035,KEY-0035,Incomplete Risk Management Framework,1,Risk Management Maturity,Low,In Progress,Reporter 8,Assignee 10,2023-09-04,2024-12-31 22:33:01.735013,484,45.05,Critical,IT,Steps to resolve Incomplete Risk Management Framework,540907.5,KPI,User_63,2023-09-04 17:41:00,file_access,UK,UK,1096,26,18,4752.5,13.11,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange
ISSUE-0036,KEY-0036,Weak Authentication Protocols,1,Access Control,Critical,Resolved,Reporter 10,Assignee 17,2023-08-09,2023-08-13 00:00:00.000000,4,72.17,Critical,IT,Steps to resolve Weak Authentication Protocols,2141150.0,KPI,User_83,2023-08-09 07:57:00,data_modification,JP,CANADA,900,26,13,3125.0,20.734,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red
ISSUE-0037,KEY-0037,Non-Compliance with Data Protection Regulations,1,Legal Compliance,Critical,Closed,Reporter 5,Assignee 13,2023-05-10,2023-05-19 00:00:00.000000,9,16.36,Critical,Legal,Steps to resolve Non-Compliance with Data Protection Regulations,1730348.0,KRI,User_91,2023-05-10 11:54:00,file_access,EU,DE,1398,26,13,4892.0,9.772,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red
ISSUE-0038,KEY-0038,Delayed Patching of Known Vulnerabilities,1,Vulnerability Remediation,Critical,Resolved,Reporter 4,Assignee 4,2023-02-10,2023-02-11 00:00:00.000000,1,78.0,Critical,C-Suite Executives,Steps to resolve Delayed Patching of Known Vulnerabilities,2815454.0,KPI,User_54,2023-02-10 14:57:00,data_modification,CANADA,CANADA,900,26,24,6191.0,21.700000000000003,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red
ISSUE-0039,KEY-0039,Insufficient Access Control Measures,1,Control Effectiveness,High,In Progress,Reporter 4,Assignee 6,2023-09-08,2024-12-31 22:33:01.735013,480,50.28,Critical,IT,Steps to resolve Insufficient Access Control Measures,1678373.0,KPI,User_18,2023-09-08 15:12:00,file_access,Unknown,Unknown,1460,39,21,7394.0,15.956000000000001,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red
ISSUE-0040,KEY-0040,Weak Cloud Storage Access Controls,1,Cloud Security Posture,Low,Open,Reporter 2,Assignee 3,2023-11-03,2024-12-31 22:33:01.735013,424,67.72,Critical,IT,Steps to resolve Weak Cloud Storage Access Controls,675815.0,KRI,User_17,2023-11-03 00:47:00,login,CANADA,USA,1382,26,9,897.5,17.644,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange
ISSUE-0041,KEY-0041,Sensitive Data Leak via Misconfigured Cloud Storage,1,Data Leak,High,Closed,Reporter 2,Assignee 8,2024-05-18,2024-05-23 00:00:00.000000,5,75.1,Critical,Sales,Steps to resolve Sensitive Data Leak via Misconfigured Cloud Storage,184427.0,KRI,User_11,2024-05-18 10:29:00,file_access,USA,USA,1200,26,17,731.0,20.72,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red
ISSUE-0042,KEY-0042,Unresolved Vulnerabilities from Latest Penetration Test,1,Penetration Testing Effectiveness,Low,Closed,Reporter 10,Assignee 1,2023-11-13,2023-11-15 00:00:00.000000,2,40.82,Critical,Operations,Steps to resolve Unresolved Vulnerabilities from Latest Penetration Test,565350.0,KPI,User_88,2023-11-13 10:08:00,login,CANADA,CANADA,1232,26,15,2637.5,11.863999999999999,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange
ISSUE-0043,KEY-0043,Detected Malware Infiltration in Internal Systems,1,Malware,Medium,Closed,Reporter 2,Assignee 9,2024-12-07,2024-12-10 00:00:00.000000,3,44.01,Critical,HR,Steps to resolve Detected Malware Infiltration in Internal Systems,728265.0,KRI,User_46,2024-12-07 14:01:00,data_modification,CN,CN,900,26,12,777.5,13.402,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red
ISSUE-0044,KEY-0044,Insufficient Access Control Measures,1,Control Effectiveness,High,In Progress,Reporter 4,Assignee 4,2023-09-16,2024-12-31 22:33:01.735013,472,18.42,Critical,C-Suite Executives,Steps to resolve Insufficient Access Control Measures,465800.0,KPI,User_77,2023-09-16 14:22:00,data_modification,Unknown,Unknown,900,31,10,2033.0,9.584,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red
ISSUE-0045,KEY-0045,High-Volume Distributed Denial-of-Service Attack,1,DDOS,Critical,Closed,Reporter 10,Assignee 1,2024-10-26,2024-11-04 00:00:00.000000,9,39.1,Critical,Finance,Steps to resolve High-Volume Distributed Denial-of-Service Attack,479444.0,KRI,User_17,2024-10-26 15:08:00,login,AU,AU,900,26,6,602.0,14.32,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red
ISSUE-0046,KEY-0046,Incomplete Risk Management Framework,1,Risk Management Maturity,Critical,Open,Reporter 2,Assignee 19,2023-11-16,2024-12-31 22:33:01.735013,411,8.16,High,Finance,Steps to resolve Incomplete Risk Management Framework,1550402.0,KPI,User_50,2023-11-16 11:29:00,login,FR,FR,1663,28,13,3794.0,7.731999999999999,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,Red
ISSUE-0047,KEY-0047,Weak Cloud Storage Access Controls,1,Cloud Security Posture,High,Resolved,Reporter 1,Assignee 10,2023-11-17,2023-11-19 00:00:00.000000,2,49.81,Critical,Finance,Steps to resolve Weak Cloud Storage Access Controls,2812589.0,KRI,User_87,2023-11-17 23:01:00,login,DE,DE,900,26,3,5297.0,15.062000000000001,Critical,Escalate to Security Operations Center (SOC) & Block User | Limit Data Transfer,Red
ISSUE-0048,KEY-0048,Sensitive Data Leak via Misconfigured Cloud Storage,1,Data Leak,High,In Progress,Reporter 2,Assignee 6,2024-09-14,2024-12-31 22:33:01.735013,108,52.84,Critical,IT,Steps to resolve Sensitive Data Leak via Misconfigured Cloud Storage,1478393.0,KRI,User_42,2024-09-14 19:14:00,file_access,CN,Unknown,977,26,21,3554.0,16.468000000000004,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red
ISSUE-0049,KEY-0049,Incomplete Risk Management Framework,1,Risk Management Maturity,High,Open,Reporter 10,Assignee 17,2024-03-09,2024-12-31 22:33:01.735013,297,49.68,Critical,Operations,Steps to resolve Incomplete Risk Management Framework,1776905.0,KPI,User_44,2024-03-09 03:39:00,login,CN,CN,1115,26,10,3065.0,15.836,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red
ISSUE-0050,KEY-0050,Delayed Patching of Known Vulnerabilities,1,Vulnerability Remediation,High,Resolved,Reporter 7,Assignee 2,2023-03-15,2023-03-18 00:00:00.000000,3,73.25,Critical,Operations,Steps to resolve Delayed Patching of Known Vulnerabilities,973727.0,KPI,User_12,2023-03-15 04:44:00,login,FR,FR,1298,26,28,3011.0,20.150000000000002,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red
ISSUE-0051,KEY-0051,Inconsistent Review of Security Policies,1,Management Oversight,High,Resolved,Reporter 10,Assignee 4,2023-04-23,2023-04-29 00:00:00.000000,6,55.23,Critical,IT,Steps to resolve Inconsistent Review of Security Policies,2963864.0,KPI,User_46,2023-04-23 12:12:00,data_modification,Unknown,Unknown,900,26,17,1364.0,16.746000000000002,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red
ISSUE-0052,KEY-0052,Sensitive Data Leak via Misconfigured Cloud Storage,1,Data Leak,Low,In Progress,Reporter 6,Assignee 10,2024-05-30,2024-12-31 22:33:01.735013,215,14.84,Critical,Legal,Steps to resolve Sensitive Data Leak via Misconfigured Cloud Storage,1093300.0,KRI,User_30,2024-05-30 02:43:00,file_access,CN,AU,900,26,15,1220.0,7.068,High,Flag for Review | Lock Account & Alert | Limit Data Transfer,Yellow-Orange
ISSUE-0053,KEY-0053,Increased Exposure due to Insufficient Data Encryption,1,Risk Exposure,High,Resolved,Reporter 4,Assignee 14,2024-08-03,2024-08-08 00:00:00.000000,5,29.56,Critical,Legal,Steps to resolve Increased Exposure due to Insufficient Data Encryption,2042276.0,KRI,User_12,2024-08-03 14:59:00,data_modification,JP,EU,1228,26,6,3899.0,11.612,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red
ISSUE-0054,KEY-0054,Outdated Operating System Components,1,System Vulnerability,Low,Open,Reporter 9,Assignee 20,2023-05-11,2024-12-31 22:33:01.735013,600,69.26,Critical,IT,Steps to resolve Outdated Operating System Components,269980.0,KPI,User_31,2023-05-11 06:19:00,file_access,FR,FR,900,27,3,7702.5,17.552000000000003,Critical,Increase Monitoring & Schedule Review | Limit Data Transfer,Orange
ISSUE-0055,KEY-0055,Incomplete Risk Management Framework,1,Risk Management Maturity,Medium,Closed,Reporter 5,Assignee 4,2024-03-13,2024-03-17 00:00:00.000000,4,19.19,Critical,Operations,Steps to resolve Incomplete Risk Management Framework,2384407.5,KPI,User_6,2024-03-13 06:45:00,file_access,DE,DE,2101,27,24,2017.5,8.638000000000002,High,Alert Security Team & Review Logs | Lock Account & Alert | Limit Data Transfer,Orange
ISSUE-0056,KEY-0056,Supplier Security Compliance Gaps,1,Procurement Security,Low,Resolved,Reporter 8,Assignee 6,2024-06-11,2024-06-18 00:00:00.000000,7,69.27,Critical,External Contractors,Steps to resolve Supplier Security Compliance Gaps,2498915.0,KPI,User_77,2024-06-11 10:58:00,login,CN,CN,990,26,21,2112.5,17.754,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange
ISSUE-0057,KEY-0057,Detected Malware Infiltration in Internal Systems,1,Malware,Critical,Open,Reporter 8,Assignee 16,2023-08-06,2024-12-31 22:33:01.735013,513,56.48,Critical,Sales,Steps to resolve Detected Malware Infiltration in Internal Systems,1152782.0,KRI,User_100,2023-08-06 18:19:00,login,EU,EU,1698,26,10,3113.0,17.796,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red
ISSUE-0058,KEY-0058,Missing or Inaccurate Asset Records,1,Asset Inventory Accuracy,Low,In Progress,Reporter 4,Assignee 6,2024-11-22,2024-12-31 22:33:01.735013,39,44.46,Critical,Sales,Steps to resolve Missing or Inaccurate Asset Records,1414077.5,KPI,User_15,2024-11-22 20:03:00,data_modification,CN,CN,900,26,15,2177.5,12.992,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange
ISSUE-0059,KEY-0059,Unauthorized Access Leading to Data Exposure,1,Data Breach,Medium,Resolved,Reporter 10,Assignee 9,2024-06-28,2024-07-07 00:00:00.000000,9,61.16,Critical,C-Suite Executives,Steps to resolve Unauthorized Access Leading to Data Exposure,411555.0,KRI,User_36,2024-06-28 13:38:00,data_modification,FR,FR,900,26,9,1260.0,17.232,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red
ISSUE-0060,KEY-0060,Inconsistent Review of Security Policies,1,Management Oversight,Low,Closed,Reporter 8,Assignee 1,2024-01-08,2024-01-13 00:00:00.000000,5,80.8,Critical,Legal,Steps to resolve Inconsistent Review of Security Policies,2278860.0,KPI,User_88,2024-01-08 08:32:00,data_modification,USA,USA,1853,26,6,1147.5,20.060000000000002,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange
