Issue ID,Issue Key,Issue Name,Issue Volume,Category,Severity,Status,Reporters,Assignees,Date Reported,Date Resolved,Issue Response Time Days,Impact Score,Risk Level,Department Affected,Remediation Steps,Cost,KPI/KRI,User ID,Timestamps,Activity Type,User Location,IP Location,Session Duration in Second,Num Files Accessed,Login Attempts,Data Transfer MB,CPU Usage %,Memory Usage MB,Threat Score,Threat Level,Defense Action,Color
ISSUE-0013,KEY-0013,High-Volume Distributed Denial-of-Service Attack,1,DDOS,Medium,Open,Reporter 4,Assignee 20,2023-09-09,2025-09-19 22:15:24.985808,741,41.24,Critical,Legal,Steps to resolve High-Volume Distributed Denial-of-Service Attack,1419465.0,KRI,User_48,2023-09-09 05:58:00,file_access,CN,CANADA,1347,26,12,3385.0,38.277159576670414,6647,12.548,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red
ISSUE-0014,KEY-0014,Weak Cloud Storage Access Controls,1,Cloud Security Posture,High,Resolved,Reporter 1,Assignee 1,2023-02-15,2023-02-22 00:00:00.000000,7,86.41,Critical,Operations,Steps to resolve Weak Cloud Storage Access Controls,2278775.0,KRI,User_92,2023-02-15 19:31:00,login,EU,EU,900,26,10,3656.0,55.3507265846387,7516,22.132,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red
ISSUE-0015,KEY-0015,Unresolved Vulnerabilities from Latest Penetration Test,1,Penetration Testing Effectiveness,Medium,Closed,Reporter 5,Assignee 18,2023-12-31,2024-01-02 00:00:00.000000,2,54.02,Critical,Operations,Steps to resolve Unresolved Vulnerabilities from Latest Penetration Test,2286170.0,KPI,User_13,2023-12-31 17:58:00,data_modification,AU,AU,900,26,15,6562.5,26.859058139471255,6421,14.704,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red
ISSUE-0016,KEY-0016,Insufficient Access Control Measures,1,Control Effectiveness,Medium,Resolved,Reporter 8,Assignee 9,2023-06-28,2023-07-03 00:00:00.000000,5,30.64,Critical,Sales,Steps to resolve Insufficient Access Control Measures,1313717.5,KPI,User_40,2023-06-28 21:28:00,file_access,UK,DE,1928,26,15,3480.0,24.388486778519542,4921,10.078,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red
ISSUE-0017,KEY-0017,High-Volume Distributed Denial-of-Service Attack,1,DDOS,High,Open,Reporter 8,Assignee 2,2023-04-25,2025-09-19 22:15:24.985808,878,108.87,Critical,Finance,Steps to resolve High-Volume Distributed Denial-of-Service Attack,2197283.0,KRI,User_45,2023-04-25 18:57:00,file_access,CN,Unknown,970,31,24,1598.0,48.455965818819905,3434,26.674,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red
ISSUE-0018,KEY-0018,Increased Exposure due to Insufficient Data Encryption,1,Risk Exposure,Critical,Closed,Reporter 5,Assignee 16,2024-01-05,2024-01-06 00:00:00.000000,1,2.0,Low,IT,Steps to resolve Increased Exposure due to Insufficient Data Encryption,1478822.0,KRI,User_38,2024-01-05 06:59:00,file_access,UK,UK,1564,26,6,998.0,24.046731766324356,5116,4.2,Medium,Increase Monitoring & Investigate | Limit Data Transfer,Orange
ISSUE-0019,KEY-0019,Missing or Inaccurate Asset Records,1,Asset Inventory Accuracy,Critical,Open,Reporter 9,Assignee 18,2023-08-08,2025-09-19 22:15:24.985808,773,78.27,Critical,IT,Steps to resolve Missing or Inaccurate Asset Records,2184356.0,KPI,User_95,2023-08-08 14:38:00,file_access,JP,JP,1050,26,17,3131.0,79.93378534419229,3360,21.204,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red
ISSUE-0020,KEY-0020,Sensitive Data Leak via Misconfigured Cloud Storage,1,Data Leak,Critical,Open,Reporter 3,Assignee 1,2024-04-30,2025-09-19 22:15:24.985808,507,53.29,Critical,Finance,Steps to resolve Sensitive Data Leak via Misconfigured Cloud Storage,1788848.0,KRI,User_25,2024-04-30 10:03:00,data_modification,EU,EU,900,26,10,836.0,57.995196795410614,7447,16.208000000000002,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red
ISSUE-0021,KEY-0021,Missing or Inaccurate Asset Records,1,Asset Inventory Accuracy,Critical,In Progress,Reporter 3,Assignee 12,2024-07-18,2025-09-19 22:15:24.985808,428,61.31,Critical,External Contractors,Steps to resolve Missing or Inaccurate Asset Records,2318963.0,KPI,User_71,2024-07-18 10:13:00,data_modification,Unknown,UK,1270,26,21,815.0,42.50607228212907,4464,17.662,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red
ISSUE-0022,KEY-0022,Successful Phishing Attempt Targeting Executives,1,Phishing Attack,High,Resolved,Reporter 8,Assignee 11,2023-06-18,2023-06-24 00:00:00.000000,6,10.39,Critical,Finance,Steps to resolve Successful Phishing Attempt Targeting Executives,462068.0,KRI,User_67,2023-06-18 07:13:00,data_modification,CANADA,CN,985,26,21,11123.0,72.67133848144218,4235,6.928,Medium,Schedule Investigation | Limit Data Transfer,Yellow-Orange
ISSUE-0023,KEY-0023,Non-Compliance with Data Protection Regulations,1,Legal Compliance,High,Resolved,Reporter 6,Assignee 14,2025-04-18,2025-04-27 00:00:00.000000,9,79.45,Critical,Finance,Steps to resolve Non-Compliance with Data Protection Regulations,2798861.0,KRI,User_14,2025-04-18 03:56:00,file_access,EU,EU,1201,26,21,8786.0,27.631633272738235,6187,20.94,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red
ISSUE-0024,KEY-0024,Weak Authentication Protocols,1,Access Control,Medium,Closed,Reporter 8,Assignee 4,2023-10-14,2023-10-21 00:00:00.000000,7,2.0,Low,Legal,Steps to resolve Weak Authentication Protocols,2282070.0,KPI,User_6,2023-10-14 14:55:00,data_modification,UK,UK,943,30,18,1320.0,47.74165723015515,3322,3.1500000000000004,Low,Log for Reference | Limit Data Transfer,Green-Yellow
ISSUE-0025,KEY-0025,Detected Malware Infiltration in Internal Systems,1,Malware,Critical,Closed,Reporter 2,Assignee 9,2023-09-28,2023-10-08 00:00:00.000000,10,52.01,Critical,Sales,Steps to resolve Detected Malware Infiltration in Internal Systems,410114.0,KRI,User_90,2023-09-28 11:41:00,login,USA,AU,1228,26,10,2519.0,67.59813225636923,7100,16.102,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red
ISSUE-0026,KEY-0026,Successful Phishing Attempt Targeting Executives,1,Phishing Attack,Low,Resolved,Reporter 2,Assignee 10,2024-10-01,2024-10-03 00:00:00.000000,2,19.03,Critical,Finance,Steps to resolve Successful Phishing Attempt Targeting Executives,291275.0,KRI,User_58,2024-10-01 16:21:00,data_modification,AU,CN,1305,26,9,3100.0,21.76136409141495,6358,6.956,Medium,Log Activity for Reference | Limit Data Transfer,Light Yellow
ISSUE-0027,KEY-0027,Insufficient Coverage in Annual Risk Assessment,1,Risk Assessment Coverage,High,Closed,Reporter 4,Assignee 14,2023-04-11,2023-04-14 00:00:00.000000,3,43.66,Critical,Operations,Steps to resolve Insufficient Coverage in Annual Risk Assessment,974876.0,KPI,User_98,2023-04-11 23:29:00,data_modification,DE,Unknown,1743,31,21,4118.0,20.013973650553773,7432,13.381999999999998,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red
ISSUE-0028,KEY-0028,Unresolved Vulnerabilities from Latest Penetration Test,1,Penetration Testing Effectiveness,Low,Closed,Reporter 10,Assignee 2,2023-07-12,2023-07-20 00:00:00.000000,8,42.61,Critical,HR,Steps to resolve Unresolved Vulnerabilities from Latest Penetration Test,2330645.0,KPI,User_80,2023-07-12 21:56:00,file_access,EU,EU,900,26,9,1305.0,39.383328491062144,5976,11.921999999999999,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange
ISSUE-0029,KEY-0029,Non-Compliance with Data Protection Regulations,1,Legal Compliance,Critical,Open,Reporter 9,Assignee 1,2024-11-20,2025-09-19 22:15:24.985808,303,9.49,High,Legal,Steps to resolve Non-Compliance with Data Protection Regulations,792650.0,KRI,User_7,2024-11-20 21:20:00,login,CANADA,CANADA,900,26,3,1673.0,36.81034049228417,7247,6.9479999999999995,Medium,Increase Monitoring & Investigate | Limit Data Transfer,Orange
ISSUE-0030,KEY-0030,High-Volume Distributed Denial-of-Service Attack,1,DDOS,Low,In Progress,Reporter 5,Assignee 15,2024-05-14,2025-09-19 22:15:24.985808,493,39.93,Critical,IT,Steps to resolve High-Volume Distributed Denial-of-Service Attack,832980.0,KRI,User_14,2024-05-14 09:37:00,login,CN,CN,900,26,6,14987.5,31.774013602799535,6766,11.536,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange
ISSUE-0031,KEY-0031,Unauthorized Access Leading to Data Exposure,1,Data Breach,High,Resolved,Reporter 10,Assignee 3,2025-03-22,2025-04-01 00:00:00.000000,10,21.09,Critical,C-Suite Executives,Steps to resolve Unauthorized Access Leading to Data Exposure,1102154.0,KRI,User_27,2025-03-22 08:40:00,file_access,DE,DE,900,26,10,1097.0,40.07045765052895,4681,9.117999999999999,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red
ISSUE-0032,KEY-0032,Incomplete Risk Management Framework,1,Risk Management Maturity,Low,In Progress,Reporter 4,Assignee 5,2023-12-19,2025-09-19 22:15:24.985808,640,39.76,Critical,IT,Steps to resolve Incomplete Risk Management Framework,408492.5,KPI,User_6,2023-12-19 13:42:00,login,Unknown,Unknown,2338,26,15,2120.0,61.27175624124428,4457,11.501999999999999,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange
ISSUE-0033,KEY-0033,High-Volume Distributed Denial-of-Service Attack,1,DDOS,Critical,Closed,Reporter 9,Assignee 6,2025-01-07,2025-01-14 00:00:00.000000,7,64.04,Critical,Sales,Steps to resolve High-Volume Distributed Denial-of-Service Attack,1139792.0,KRI,User_50,2025-01-07 18:10:00,file_access,FR,FR,900,26,13,827.0,49.68722807139527,4300,18.008,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red
ISSUE-0034,KEY-0034,Supplier Security Compliance Gaps,1,Procurement Security,Low,In Progress,Reporter 1,Assignee 16,2024-09-15,2025-09-19 22:15:24.985808,369,80.34,Critical,Sales,Steps to resolve Supplier Security Compliance Gaps,273910.0,KPI,User_7,2024-09-15 08:33:00,login,UK,UK,1581,27,9,2072.5,61.37763076927225,5087,19.618000000000002,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange
ISSUE-0035,KEY-0035,Unauthorized Access Leading to Data Exposure,1,Data Breach,Critical,In Progress,Reporter 5,Assignee 5,2023-02-27,2025-09-19 22:15:24.985808,935,34.2,Critical,Legal,Steps to resolve Unauthorized Access Leading to Data Exposure,455348.0,KRI,User_28,2023-02-27 04:44:00,file_access,DE,USA,1223,26,17,9614.0,79.8234796698714,7301,12.54,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red
ISSUE-0036,KEY-0036,Insufficient Access Control Measures,1,Control Effectiveness,High,Resolved,Reporter 10,Assignee 9,2025-07-19,2025-07-26 00:00:00.000000,7,56.48,Critical,IT,Steps to resolve Insufficient Access Control Measures,1476749.0,KPI,User_15,2025-07-19 13:32:00,login,CANADA,CANADA,2042,26,10,2939.0,77.06421638090029,7437,16.296000000000003,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red
ISSUE-0037,KEY-0037,Weak Cloud Storage Access Controls,1,Cloud Security Posture,High,Resolved,Reporter 3,Assignee 10,2024-05-29,2024-06-02 00:00:00.000000,4,59.9,Critical,Finance,Steps to resolve Weak Cloud Storage Access Controls,2251559.0,KRI,User_69,2024-05-29 11:24:00,file_access,DE,DE,900,26,17,2327.0,79.68542803756458,6213,16.980000000000004,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red
ISSUE-0038,KEY-0038,Inconsistent Review of Security Policies,1,Management Oversight,Medium,In Progress,Reporter 10,Assignee 15,2023-04-04,2025-09-19 22:15:24.985808,899,37.7,Critical,IT,Steps to resolve Inconsistent Review of Security Policies,1696027.5,KPI,User_6,2023-04-04 04:06:00,file_access,FR,FR,2250,33,6,5325.0,40.99903164095156,5168,11.69,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red
ISSUE-0039,KEY-0039,Increased Exposure due to Insufficient Data Encryption,1,Risk Exposure,High,In Progress,Reporter 9,Assignee 18,2023-08-23,2025-09-19 22:15:24.985808,758,41.81,Critical,Finance,Steps to resolve Increased Exposure due to Insufficient Data Encryption,881132.0,KRI,User_52,2023-08-23 15:15:00,file_access,DE,DE,900,26,13,713.0,40.753420630596096,6373,13.411999999999999,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red
ISSUE-0040,KEY-0040,Sensitive Data Leak via Misconfigured Cloud Storage,1,Data Leak,Medium,Closed,Reporter 9,Assignee 1,2023-08-28,2023-09-05 00:00:00.000000,8,23.75,Critical,Sales,Steps to resolve Sensitive Data Leak via Misconfigured Cloud Storage,276525.0,KRI,User_46,2023-08-28 00:20:00,data_modification,JP,IN,2105,26,12,11125.0,61.18247970900184,7804,9.2,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red
ISSUE-0041,KEY-0041,Increased Exposure due to Insufficient Data Encryption,1,Risk Exposure,Medium,In Progress,Reporter 4,Assignee 13,2025-04-12,2025-09-19 22:15:24.985808,160,20.81,Critical,IT,Steps to resolve Increased Exposure due to Insufficient Data Encryption,1824807.5,KRI,User_2,2025-04-12 23:52:00,file_access,JP,JP,900,26,9,2067.5,41.16544240121774,3822,8.311999999999998,High,Alert Security Team & Review Logs | Lock Account & Alert | Limit Data Transfer,Orange
ISSUE-0042,KEY-0042,Unauthorized Access Leading to Data Exposure,1,Data Breach,High,Closed,Reporter 8,Assignee 4,2025-06-04,2025-06-06 00:00:00.000000,2,43.06,Critical,Legal,Steps to resolve Unauthorized Access Leading to Data Exposure,151811.0,KRI,User_47,2025-06-04 10:47:00,file_access,Unknown,Unknown,1653,39,13,1121.0,52.486143433953025,4394,13.111999999999998,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red
ISSUE-0043,KEY-0043,Weak Cloud Storage Access Controls,1,Cloud Security Posture,High,Resolved,Reporter 4,Assignee 2,2023-06-05,2023-06-10 00:00:00.000000,5,59.84,Critical,IT,Steps to resolve Weak Cloud Storage Access Controls,2154062.0,KRI,User_5,2023-06-05 11:35:00,file_access,CANADA,CANADA,900,28,10,5420.0,51.079879766930745,7387,16.818,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red
ISSUE-0044,KEY-0044,Missing or Inaccurate Asset Records,1,Asset Inventory Accuracy,High,In Progress,Reporter 8,Assignee 8,2024-12-17,2025-09-19 22:15:24.985808,276,32.82,Critical,Sales,Steps to resolve Missing or Inaccurate Asset Records,2723336.0,KPI,User_23,2024-12-17 00:53:00,login,AU,AU,900,26,13,1382.0,34.94296793300104,4673,11.463999999999999,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red
ISSUE-0045,KEY-0045,Unresolved Vulnerabilities from Latest Penetration Test,1,Penetration Testing Effectiveness,Critical,Closed,Reporter 6,Assignee 2,2023-10-05,2023-10-10 00:00:00.000000,5,27.55,Critical,Legal,Steps to resolve Unresolved Vulnerabilities from Latest Penetration Test,2814239.0,KPI,User_35,2023-10-05 03:09:00,file_access,Unknown,Unknown,2386,26,17,1019.0,71.56600838490915,5536,10.860000000000001,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red
ISSUE-0046,KEY-0046,Non-Compliance with Data Protection Regulations,1,Legal Compliance,High,Open,Reporter 10,Assignee 19,2023-01-03,2025-09-19 22:15:24.985808,990,91.72,Critical,Operations,Steps to resolve Non-Compliance with Data Protection Regulations,656963.0,KRI,User_38,2023-01-03 18:52:00,login,UK,UK,900,28,10,4511.0,74.36249632538424,4637,23.394000000000002,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red
ISSUE-0047,KEY-0047,Non-Compliance with Data Protection Regulations,1,Legal Compliance,Medium,Resolved,Reporter 7,Assignee 7,2024-07-03,2024-07-06 00:00:00.000000,3,13.79,Critical,IT,Steps to resolve Non-Compliance with Data Protection Regulations,803085.0,KRI,User_92,2024-07-03 04:35:00,file_access,IN,IN,2206,26,18,535.0,75.49842792634104,7619,6.807999999999999,Medium,Routine Monitoring | Limit Data Transfer,Yellow
ISSUE-0048,KEY-0048,Weak Authentication Protocols,1,Access Control,Low,Resolved,Reporter 7,Assignee 10,2024-02-12,2024-02-21 00:00:00.000000,9,54.01,Critical,IT,Steps to resolve Weak Authentication Protocols,2271142.5,KPI,User_22,2024-02-12 14:13:00,login,EU,EU,3230,26,12,522.5,50.86652656650036,6945,14.351999999999999,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange
ISSUE-0049,KEY-0049,High-Volume Distributed Denial-of-Service Attack,1,DDOS,Critical,In Progress,Reporter 10,Assignee 2,2023-02-12,2025-09-19 22:15:24.985808,950,44.62,Critical,External Contractors,Steps to resolve High-Volume Distributed Denial-of-Service Attack,2956766.0,KRI,User_70,2023-02-12 07:58:00,data_modification,EU,EU,900,26,3,1076.0,56.06626746755328,5821,14.123999999999999,Critical,Immediate System-wide Shutdown & Investigation | Limit Data Transfer,Dark Red
ISSUE-0050,KEY-0050,Successful Phishing Attempt Targeting Executives,1,Phishing Attack,Medium,Resolved,Reporter 4,Assignee 15,2023-09-24,2023-10-03 00:00:00.000000,9,55.82,Critical,IT,Steps to resolve Successful Phishing Attempt Targeting Executives,2346462.5,KRI,User_89,2023-09-24 07:09:00,data_modification,JP,JP,1930,26,9,2322.5,59.47998400956594,4270,15.314,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red
ISSUE-0051,KEY-0051,Weak Cloud Storage Access Controls,1,Cloud Security Posture,Low,Open,Reporter 7,Assignee 4,2024-01-02,2025-09-19 22:15:24.985808,626,76.77,Critical,Sales,Steps to resolve Weak Cloud Storage Access Controls,1181982.5,KRI,User_6,2024-01-02 09:04:00,file_access,IN,IN,2639,26,9,4445.0,57.3586340094716,5054,18.753999999999998,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange
ISSUE-0052,KEY-0052,Detected Malware Infiltration in Internal Systems,1,Malware,Critical,In Progress,Reporter 8,Assignee 13,2024-04-15,2025-09-19 22:15:24.985808,522,70.9,Critical,Finance,Steps to resolve Detected Malware Infiltration in Internal Systems,1013003.0,KRI,User_15,2024-04-15 04:22:00,file_access,UK,AU,2079,35,10,518.0,36.11078823421525,7156,19.73,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red
ISSUE-0053,KEY-0053,Missing or Inaccurate Asset Records,1,Asset Inventory Accuracy,Critical,In Progress,Reporter 10,Assignee 13,2023-08-15,2025-09-19 22:15:24.985808,766,2.0,Low,C-Suite Executives,Steps to resolve Missing or Inaccurate Asset Records,1355543.0,KPI,User_14,2023-08-15 18:15:00,file_access,UK,USA,1207,26,17,5603.0,20.272752432576223,5371,4.6,Medium,Increase Monitoring & Investigate | Limit Data Transfer,Orange
ISSUE-0054,KEY-0054,Weak Cloud Storage Access Controls,1,Cloud Security Posture,Medium,Closed,Reporter 10,Assignee 2,2023-08-16,2023-08-25 00:00:00.000000,9,93.47,Critical,Legal,Steps to resolve Weak Cloud Storage Access Controls,339080.0,KRI,User_13,2023-08-16 11:18:00,data_modification,UK,UK,1154,26,15,2180.0,72.74772712127637,4819,22.994,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red
ISSUE-0055,KEY-0055,Access by Unauthorized Personnel Detected,1,Unauthorized Access,Low,Closed,Reporter 10,Assignee 2,2024-10-23,2024-11-01 00:00:00.000000,9,71.65,Critical,Operations,Steps to resolve Access by Unauthorized Personnel Detected,1396950.0,KRI,User_73,2024-10-23 05:21:00,file_access,JP,JP,1962,27,18,3280.0,73.82415372426792,3570,17.880000000000003,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange
ISSUE-0056,KEY-0056,Increased Exposure due to Insufficient Data Encryption,1,Risk Exposure,Medium,Resolved,Reporter 3,Assignee 5,2023-07-13,2023-07-21 00:00:00.000000,8,52.87,Critical,HR,Steps to resolve Increased Exposure due to Insufficient Data Encryption,933120.0,KRI,User_86,2023-07-13 11:55:00,data_modification,Unknown,Unknown,1521,26,9,500.0,41.15321221800269,5710,14.723999999999998,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red
