Issue Name,CPU Usage %,Defense Action,Threat Level,Issue Key,Threat Score,Remediation Steps,Issue Volume,Risk Level,Status,Session Duration in Second,Impact Score,Date Resolved,Memory Usage MB,Assignees,Data Transfer MB,User ID,Timestamps,Issue Response Time Days,KPI/KRI,Issue ID,Category,IP Location,Reporters,Num Files Accessed,Department Affected,Is Anomaly,Cost,Severity,User Location,Date Reported,Login Attempts,Activity Type
Lack of Updated Risk Management Procedures,77.00196158948557,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0817,7.35,Steps to resolve Lack of Updated Risk Management Procedures,1,Critical,Closed,137,10,2025-03-01 08:17:00.000000,12352.384058971813,Assignee 1,138.67537879228314,User_97,2024-11-20 17:29:00,101,KPI,ISSUE-0817,Risk Management Maturity,FR,Reporter 2,48,Sales,1,101464.19221399505,High,EU,2024-11-20 08:17:00,87.71658012238363,login
Ineffective Access Controls in High-Sensitivity Areas,53.6778090461062,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0818,7.2,Steps to resolve Ineffective Access Controls in High-Sensitivity Areas,1,Critical,Open,1089,10,2025-12-10 22:27:57.042371,18440.88062798185,Assignee 12,4186.300586229888,User_17,2024-09-21 01:52:00,114,KPI,ISSUE-0818,Control Effectiveness,CANADA,Reporter 3,76,C-Suite Executives,1,84020.11572221553,High,EU,2024-09-20 23:58:00,48.6118826650861,data_modification
Lack of Updated Risk Management Procedures,90.97411560564323,Routine Monitoring | Limit Data Transfer,Medium,KEY-0819,6.75,Steps to resolve Lack of Updated Risk Management Procedures,1,Critical,In Progress,805,10,2025-12-14 22:27:57.042371,15143.297992292855,Assignee 11,928.466050722,User_40,2025-02-27 18:58:00,113,KPI,ISSUE-0819,Risk Management Maturity,DE,Reporter 4,142,Operations,1,21798.018069224054,Medium,AU,2025-02-27 07:16:00,38.963073467157365,data_modification
Supplier Network Breach Exposure,74.16757330288516,Restrict User Activity & Monitor Logs | Lock Account & Alert,High,KEY-0820,7.1499999999999995,Steps to resolve Supplier Network Breach Exposure,1,Critical,In Progress,449,10,2026-02-06 22:27:57.042371,12157.629322539324,Assignee 12,15.368744488396011,User_67,2023-10-25 15:31:00,85,KPI,ISSUE-0820,Procurement Security,AU,Reporter 5,25,Finance,1,98279.15074718065,High,EU,2023-10-25 03:27:00,49.03355244726988,login
Newly Discovered Vulnerabilities in Core Systems,100.0,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0821,7.5,Steps to resolve Newly Discovered Vulnerabilities in Core Systems,1,Critical,Resolved,16000,10,2025-04-07 18:52:00.000000,168725.9294929236,Assignee 16,136.99814041158544,User_5,2024-11-05 02:35:00,154,KPI,ISSUE-0821,System Vulnerability,UK,Reporter 9,155,C-Suite Executives,1,87534.74590682781,High,FR,2024-11-04 18:52:00,82.76715262867708,file_access
Significant Number of Untracked Devices,44.499217129673795,Restrict User Activity & Monitor Logs | Lock Account & Alert,High,KEY-0822,7.0,Steps to resolve Significant Number of Untracked Devices,1,Critical,Closed,1113,10,2024-05-26 17:00:00.000000,20086.130499442206,Assignee 17,48.27544811600073,User_71,2024-04-28 02:01:00,29,KPI,ISSUE-0822,Asset Inventory Accuracy,EU,Reporter 3,39,HR,1,95077.19622006419,High,USA,2024-04-27 17:00:00,82.83740127748074,login
Targeted Phishing Campaign Against Executives,85.01971972547875,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0823,7.5,Steps to resolve Targeted Phishing Campaign Against Executives,1,Critical,Open,1602,10,2026-01-28 22:27:57.042371,24841.30925502961,Assignee 4,2634.156528984198,User_31,2024-12-20 16:50:00,265,KRI,ISSUE-0823,Phishing Attack,CN,Reporter 6,41,Operations,1,33778.68057844751,High,Unknown,2024-12-20 02:13:00,53.12252503890336,login
Delayed Patching of Critical Vulnerabilities,53.61281550462503,Routine Monitoring | Limit Data Transfer,Medium,KEY-0824,6.3,Steps to resolve Delayed Patching of Critical Vulnerabilities,1,Critical,Open,245,10,2026-01-03 22:27:57.042371,8064.5497352717975,Assignee 4,748.5490169047963,User_100,2023-11-19 00:14:00,113,KPI,ISSUE-0824,Vulnerability Remediation,USA,Reporter 1,70,Sales,1,66073.24369396518,Medium,Unknown,2023-11-18 01:03:00,58.34159940417817,data_modification
Unanticipated Increase in Risk Exposure,92.34948259643517,Log Activity for Reference | Limit Data Transfer,Medium,KEY-0825,6.0,Steps to resolve Unanticipated Increase in Risk Exposure,1,Critical,Open,4482,10,2026-03-19 22:27:57.042371,50928.75951136286,Assignee 13,541.2674953298352,User_31,2025-04-24 03:37:00,102,KRI,ISSUE-0825,Risk Exposure,CN,Reporter 9,121,HR,1,43885.40486236803,Low,DE,2025-04-23 23:08:00,80.98065746324644,data_modification
Unusual Data Access from External Locations,86.3602798136975,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0826,7.5,Steps to resolve Unusual Data Access from External Locations,1,Critical,Open,6204,10,2025-12-21 22:27:57.042371,72460.53244442782,Assignee 5,1579.7847222163591,User_12,2023-05-12 13:37:00,274,KRI,ISSUE-0826,Data Leak,JP,Reporter 10,87,IT,1,47260.10981097814,High,AU,2023-05-11 19:39:00,28.558633485846894,data_modification
Targeted Phishing Campaign Against Executives,88.15451461491142,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,High,KEY-0827,7.8,Steps to resolve Targeted Phishing Campaign Against Executives,1,Critical,Resolved,2343,10,2024-04-10 19:11:00.000000,29830.379218453025,Assignee 5,27.089559790747092,User_4,2023-11-16 12:16:00,147,KRI,ISSUE-0827,Phishing Attack,USA,Reporter 2,163,Finance,1,160853.45630667216,Critical,AU,2023-11-15 19:11:00,75.03298601719594,file_access
Lack of Updated Risk Management Procedures,75.11614992758771,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0828,7.35,Steps to resolve Lack of Updated Risk Management Procedures,1,Critical,Closed,1945,10,2024-05-13 19:38:00.000000,26317.420351648187,Assignee 3,1741.7698888972989,User_2,2023-11-19 07:08:00,177,KPI,ISSUE-0828,Risk Management Maturity,Unknown,Reporter 8,88,Legal,1,51719.97274699601,High,JP,2023-11-18 19:38:00,45.76727839028851,file_access
Newly Discovered Vulnerabilities in Core Systems,64.56490278043205,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0829,7.35,Steps to resolve Newly Discovered Vulnerabilities in Core Systems,1,Critical,In Progress,2187,10,2026-04-07 22:27:57.042371,28465.47868375458,Assignee 7,8918.23048132913,User_60,2024-07-04 22:26:00,108,KPI,ISSUE-0829,System Vulnerability,FR,Reporter 5,124,Legal,1,43028.7447388442,High,Unknown,2024-07-04 00:39:00,47.40721854945173,file_access
Unanticipated Increase in Risk Exposure,72.70157359768302,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0830,7.35,Steps to resolve Unanticipated Increase in Risk Exposure,1,Critical,Resolved,2913,10,2023-12-12 23:51:00.000000,36703.77523566899,Assignee 13,15754.869026792272,User_81,2023-08-12 12:50:00,123,KRI,ISSUE-0830,Risk Exposure,AU,Reporter 10,111,HR,1,92558.00143818575,High,FR,2023-08-11 23:51:00,55.799941928422584,data_modification
Unusual Data Access from External Locations,61.2979415024045,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,High,KEY-0831,7.35,Steps to resolve Unusual Data Access from External Locations,1,Critical,Resolved,115,10,2026-04-09 11:58:00.000000,5143.7667769982545,Assignee 1,3.238330398863387,User_25,2025-07-27 05:03:00,257,KRI,ISSUE-0831,Data Leak,CANADA,Reporter 1,19,HR,1,155376.28429540826,Critical,CN,2025-07-26 11:58:00,37.61188960656415,login
Weak Access Controls on Critical Cloud Resources,49.72090395303136,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,High,KEY-0832,7.55,Steps to resolve Weak Access Controls on Critical Cloud Resources,1,Critical,Closed,395,10,2023-09-18 00:47:00.000000,9952.47133353376,Assignee 16,6990.870445901048,User_1,2023-07-27 12:41:00,53,KRI,ISSUE-0832,Cloud Security Posture,IN,Reporter 9,130,HR,1,131723.3506150505,Critical,AU,2023-07-27 00:47:00,60.118753094956155,data_modification
Unanticipated Increase in Risk Exposure,66.89462130000378,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,High,KEY-0833,7.85,Steps to resolve Unanticipated Increase in Risk Exposure,1,Critical,Open,1072,10,2026-05-12 22:27:57.042371,19086.045806069098,Assignee 19,141.77866833907638,User_47,2023-12-30 18:03:00,78,KRI,ISSUE-0833,Risk Exposure,IN,Reporter 1,83,Legal,1,71919.2404471387,Critical,Unknown,2023-12-30 01:38:00,22.183106026506408,data_modification
Ineffective Access Controls in High-Sensitivity Areas,63.4510518712365,Routine Monitoring,Medium,KEY-0834,6.3999999999999995,Steps to resolve Ineffective Access Controls in High-Sensitivity Areas,1,Critical,Open,1012,10,2025-12-19 22:27:57.042371,21900.449801504477,Assignee 14,20.41704477707266,User_17,2023-08-30 13:20:00,121,KPI,ISSUE-0834,Control Effectiveness,Unknown,Reporter 9,31,IT,1,27229.202425617794,Medium,EU,2023-08-29 14:37:00,31.94525749298992,login
Ineffective Access Controls in High-Sensitivity Areas,90.75050754657386,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,High,KEY-0835,8.0,Steps to resolve Ineffective Access Controls in High-Sensitivity Areas,1,Critical,Open,1443,10,2025-12-26 22:27:57.042371,21322.075795230823,Assignee 7,639.9347658418006,User_44,2024-11-02 15:09:00,118,KPI,ISSUE-0835,Control Effectiveness,IN,Reporter 1,70,Sales,1,163595.1940516123,Critical,JP,2024-11-01 22:28:00,53.95632278131559,data_modification
High-Volume Distributed Denial-of-Service Attack from Multiple Sources,54.69576878497527,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0836,7.05,Steps to resolve High-Volume Distributed Denial-of-Service Attack from Multiple Sources,1,Critical,Open,6,10,2026-02-24 22:27:57.042371,7530.730709100896,Assignee 16,2108.6138746778015,User_96,2024-12-19 06:50:00,278,KRI,ISSUE-0836,DDOS,JP,Reporter 8,133,External Contractors,1,55685.548050713434,High,CANADA,2024-12-19 06:44:00,49.04197723231479,data_modification
Delayed Patching of Critical Vulnerabilities,73.38573364171572,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,High,KEY-0837,7.85,Steps to resolve Delayed Patching of Critical Vulnerabilities,1,Critical,Open,3273,10,2026-02-26 22:27:57.042371,41748.67135675648,Assignee 15,2935.3782940824485,User_37,2025-04-12 06:20:00,68,KPI,ISSUE-0837,Vulnerability Remediation,DE,Reporter 1,87,Finance,1,169002.4671468972,Critical,EU,2025-04-11 22:18:00,36.949025575369234,data_modification
Newly Discovered Vulnerabilities in Core Systems,100.0,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,High,KEY-0838,8.0,Steps to resolve Newly Discovered Vulnerabilities in Core Systems,1,Critical,Closed,12742,10,2024-01-18 06:33:00.000000,139725.96779674158,Assignee 19,7774.628924427036,User_96,2023-09-25 15:24:00,115,KPI,ISSUE-0838,System Vulnerability,Unknown,Reporter 7,156,Operations,1,69819.08250362822,Critical,EU,2023-09-25 06:33:00,50.24156553246194,data_modification
Newly Discovered Vulnerabilities in Core Systems,88.54570857691536,Restrict User Activity & Monitor Logs | Lock Account & Alert,High,KEY-0839,7.4,Steps to resolve Newly Discovered Vulnerabilities in Core Systems,1,Critical,Resolved,903,10,2025-02-13 10:39:00.000000,19213.303137984058,Assignee 3,78.77320656743622,User_100,2024-10-15 21:24:00,121,KPI,ISSUE-0839,System Vulnerability,DE,Reporter 3,77,C-Suite Executives,1,70887.08714072999,High,EU,2024-10-15 10:39:00,55.09989440632045,file_access
Lack of Updated Risk Management Procedures,86.6848781035575,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0840,7.5,Steps to resolve Lack of Updated Risk Management Procedures,1,Critical,Open,4314,10,2026-05-04 22:27:57.042371,48812.64319445778,Assignee 3,749.9830672543328,User_93,2023-06-06 09:41:00,94,KPI,ISSUE-0840,Risk Management Maturity,FR,Reporter 9,113,C-Suite Executives,1,82939.71971553689,High,DE,2023-06-05 20:45:00,76.26935170175955,data_modification
Unusual Data Access from External Locations,100.0,Routine Monitoring | Limit Data Transfer,Medium,KEY-0841,6.75,Steps to resolve Unusual Data Access from External Locations,1,Critical,Resolved,6893,10,2023-04-29 13:48:00.000000,76467.15314949657,Assignee 18,179.13288120849245,User_55,2023-02-13 00:59:00,76,KRI,ISSUE-0841,Data Leak,USA,Reporter 9,164,Sales,1,70002.84927561076,Medium,JP,2023-02-12 13:48:00,67.74440672378796,file_access
Critical Issues Not Detected in Last Penetration Test,71.855011463536,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,High,KEY-0842,7.85,Steps to resolve Critical Issues Not Detected in Last Penetration Test,1,Critical,Resolved,2843,10,2025-12-31 23:18:00.000000,36816.880841110884,Assignee 17,1781.1066662015467,User_20,2025-07-10 08:17:00,175,KPI,ISSUE-0842,Penetration Testing Effectiveness,CANADA,Reporter 10,174,Finance,1,166056.72897077654,Critical,USA,2025-07-09 23:18:00,87.17294121563764,file_access
Malware Detected in Core System Components,65.14347546868338,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,High,KEY-0843,7.85,Steps to resolve Malware Detected in Core System Components,1,Critical,Open,2560,10,2026-02-01 22:27:57.042371,34218.022411158425,Assignee 8,12272.707098649487,User_91,2025-07-18 15:04:00,210,KRI,ISSUE-0843,Malware,CN,Reporter 6,192,HR,1,301363.2195673485,Critical,JP,2025-07-18 02:19:00,91.639610202667,file_access
Unusual Data Access from External Locations,95.47009441090754,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,High,KEY-0844,7.9,Steps to resolve Unusual Data Access from External Locations,1,Critical,Resolved,5893,10,2025-04-01 06:24:00.000000,66576.27159475592,Assignee 14,75.21653149954452,User_99,2024-12-07 21:12:00,115,KRI,ISSUE-0844,Data Leak,CN,Reporter 3,171,HR,1,151173.20493256423,Critical,JP,2024-12-07 06:24:00,75.40457984679148,file_access
Potential Non-Compliance Detected in Sensitive Data Handling,65.13978178911697,Routine Monitoring,Medium,KEY-0845,6.3999999999999995,Steps to resolve Potential Non-Compliance Detected in Sensitive Data Handling,1,Critical,In Progress,3665,10,2026-04-05 22:27:57.042371,46392.25491529709,Assignee 3,24.802818217447978,User_59,2023-02-22 15:41:00,50,KRI,ISSUE-0845,Legal Compliance,AU,Reporter 8,114,Legal,1,37708.87971214801,Medium,JP,2023-02-22 02:25:00,36.93104900964951,file_access
Unusual Data Transfer Volumes Detected,49.40801117413006,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,High,KEY-0846,7.6000000000000005,Steps to resolve Unusual Data Transfer Volumes Detected,1,Critical,Resolved,52,10,2026-06-20 04:25:00.000000,10736.787353047981,Assignee 11,91.7000257956372,User_6,2025-08-23 21:58:00,301,KRI,ISSUE-0846,Data Breach,CANADA,Reporter 7,126,Legal,1,193441.94926888382,Critical,DE,2025-08-23 04:25:00,38.418922747255294,file_access
Malware Detected in Core System Components,69.16623728412779,Schedule Investigation | Limit Data Transfer,Medium,KEY-0847,6.799999999999999,Steps to resolve Malware Detected in Core System Components,1,Critical,Open,111,10,2026-01-05 22:27:57.042371,6821.698758564349,Assignee 6,4351.866702758779,User_4,2024-03-11 15:29:00,1,KRI,ISSUE-0847,Malware,JP,Reporter 6,132,External Contractors,1,107429.81605850699,High,USA,2024-03-11 13:04:00,61.82845590405159,data_modification
Significant Number of Untracked Devices,74.26711470629166,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0848,7.199999999999999,Steps to resolve Significant Number of Untracked Devices,1,Critical,Resolved,239,10,2024-10-29 09:54:00.000000,8839.61714140126,Assignee 10,964.0994460733376,User_88,2024-08-22 08:53:00,69,KPI,ISSUE-0848,Asset Inventory Accuracy,Unknown,Reporter 5,146,Finance,1,96165.25521725147,High,FR,2024-08-21 09:54:00,74.13839477761229,file_access
Targeted Phishing Campaign Against Executives,72.32577247537762,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0849,7.35,Steps to resolve Targeted Phishing Campaign Against Executives,1,Critical,Closed,960,10,2025-09-23 19:28:00.000000,18153.989105589477,Assignee 19,1370.8805372490046,User_5,2025-04-07 05:01:00,170,KRI,ISSUE-0849,Phishing Attack,JP,Reporter 5,194,Operations,1,31861.941697628736,High,EU,2025-04-06 19:28:00,56.290866844009365,file_access
Critical Issues Not Detected in Last Penetration Test,100.0,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,High,KEY-0850,7.6,Steps to resolve Critical Issues Not Detected in Last Penetration Test,1,Critical,Open,1528,10,2026-03-28 22:27:57.042371,22789.156079010667,Assignee 18,100.2183315631927,User_73,2024-01-10 12:48:00,1,KPI,ISSUE-0850,Penetration Testing Effectiveness,AU,Reporter 2,110,IT,1,70655.41999266091,Critical,IN,2024-01-10 05:30:00,39.13680349190332,data_modification
Unusual Data Transfer Volumes Detected,93.20507640515493,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0851,7.5,Steps to resolve Unusual Data Transfer Volumes Detected,1,Critical,Resolved,1405,10,2024-06-15 05:42:00.000000,21898.615885014984,Assignee 3,216.7400501699888,User_49,2024-03-03 10:08:00,104,KRI,ISSUE-0851,Data Breach,EU,Reporter 6,26,IT,1,113058.86207574562,High,AU,2024-03-03 05:42:00,39.43808353186368,login
Lack of Updated Risk Management Procedures,100.0,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,High,KEY-0852,8.0,Steps to resolve Lack of Updated Risk Management Procedures,1,Critical,Open,11323,10,2026-05-01 22:27:57.042371,121333.45470185284,Assignee 10,233.47242513143186,User_11,2025-03-10 19:37:00,259,KPI,ISSUE-0852,Risk Management Maturity,AU,Reporter 2,89,Finance,1,164084.36362200472,Critical,DE,2025-03-09 23:31:00,71.13814632629327,data_modification
Unanticipated Increase in Risk Exposure,82.46677490795315,Routine Monitoring | Limit Data Transfer,Medium,KEY-0853,6.6,Steps to resolve Unanticipated Increase in Risk Exposure,1,Critical,Closed,3391,10,2025-07-02 22:32:00.000000,41736.637757486205,Assignee 16,407.0696212826176,User_3,2025-05-09 02:01:00,55,KRI,ISSUE-0853,Risk Exposure,EU,Reporter 5,120,Finance,1,62449.18824891159,Medium,IN,2025-05-08 22:32:00,69.62421620777012,file_access
Sudden Increase in Unfiltered Traffic,89.56660977157134,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0854,7.5,Steps to resolve Sudden Increase in Unfiltered Traffic,1,Critical,Open,5060,10,2026-01-19 22:27:57.042371,54925.53927290031,Assignee 14,114.54113520468314,User_33,2025-04-22 14:20:00,246,KPI,ISSUE-0854,Network Security,DE,Reporter 6,159,IT,1,34700.86548216692,High,FR,2025-04-21 19:12:00,50.78085385724042,data_modification
