Issue ID,Issue Key,Issue Name,Category,Status,Reporters,Assignees,Date Reported,Date Resolved,Issue Age Days,Impact Score,Risk Level,Department Affected,Remediation Steps,Cost,KPI/KRI,User ID,Timestamps,Activity Type,User Location,IP Location,Severity,Num Files Accessed,Login Attempts,Session Duration in Second,Data Transfer MB
ISSUE-0023,KEY-0023,Newly Discovered Vulnerabilities in Core Systems,System Vulnerability,Open,Reporter 2,Assignee 12,2023-01-20,2024-11-07 19:53:43.863851,657,167.51,Critical,Operations,Steps to resolve Newly Discovered Vulnerabilities in Core Systems,3999665.0,KPI,User_56,2023-01-20 00:05:00,file_access,['CN'],CN,Medium,26,9,900,2225.0
ISSUE-0024,KEY-0024,Unusual Data Access from External Locations,Data Leak,In Progress,Reporter 2,Assignee 4,2024-08-10,2024-11-07 19:53:43.863851,89,81.49,Critical,IT,Steps to resolve Unusual Data Access from External Locations,1374805.0,KRI,User_13,2024-08-10 01:31:00,file_access,['DE'],UK,High,26,10,1385,2081.0
ISSUE-0025,KEY-0025,Sudden Increase in Unfiltered Traffic,Network Security,In Progress,Reporter 1,Assignee 7,2023-03-16,2024-11-07 19:53:43.863851,602,128.86,Critical,IT,Steps to resolve Sudden Increase in Unfiltered Traffic,324615.0,KPI,User_4,2023-03-16 12:45:00,login,['DE'],EU,Low,26,15,1928,3727.5
ISSUE-0026,KEY-0026,Significant Number of Untracked Devices,Asset Inventory Accuracy,Closed,Reporter 4,Assignee 16,2024-08-10,2024-08-13 00:00:00.000000,3,24.65,Critical,Legal,Steps to resolve Significant Number of Untracked Devices,1098015.0,KPI,User_53,2024-08-10 12:01:00,file_access,['Unknown'],FR,Critical,26,17,1645,2435.0
ISSUE-0027,KEY-0027,Spike in Unauthorized Access Attempts,Unauthorized Access,Resolved,Reporter 5,Assignee 2,2024-02-09,2024-02-15 00:00:00.000000,6,132.71,Critical,Operations,Steps to resolve Spike in Unauthorized Access Attempts,778936.0,KRI,User_95,2024-02-09 01:21:00,file_access,['Unknown'],FR,Medium,26,12,900,2257.5
ISSUE-0028,KEY-0028,Sudden Increase in Unfiltered Traffic,Network Security,Resolved,Reporter 6,Assignee 4,2024-05-07,2024-05-17 00:00:00.000000,10,228.57,Critical,Legal,Steps to resolve Sudden Increase in Unfiltered Traffic,4861360.0,KPI,User_76,2024-05-07 07:06:00,file_access,['DE'],EU,High,26,6,1822,9179.0
ISSUE-0029,KEY-0029,Potential Non-Compliance Detected in Sensitive Data Handling,Legal Compliance,Closed,Reporter 10,Assignee 12,2023-02-10,2023-02-14 00:00:00.000000,4,85.25,Critical,Legal,Steps to resolve Potential Non-Compliance Detected in Sensitive Data Handling,2716402.0,KRI,User_39,2023-02-10 10:38:00,data_modification,['EU'],FR,Medium,26,12,1008,2045.0
ISSUE-0030,KEY-0030,Lack of Updated Risk Management Procedures,Risk Management Maturity,Resolved,Reporter 1,Assignee 16,2024-03-30,2024-04-07 00:00:00.000000,8,0.0,Low,Legal,Steps to resolve Lack of Updated Risk Management Procedures,1939275.0,KPI,User_83,2024-03-30 05:04:00,login,['AU'],Unknown,Medium,26,6,2038,7097.5
ISSUE-0031,KEY-0031,Unanticipated Increase in Risk Exposure,Risk Exposure,In Progress,Reporter 4,Assignee 20,2023-01-26,2024-11-07 19:53:43.863851,651,262.69,Critical,Finance,Steps to resolve Unanticipated Increase in Risk Exposure,5628316.0,KRI,User_64,2023-01-26 22:25:00,login,['USA'],Unknown,High,28,24,2221,1211.0
ISSUE-0032,KEY-0032,Spike in Unauthorized Access Attempts,Unauthorized Access,In Progress,Reporter 4,Assignee 3,2024-04-23,2024-11-07 19:53:43.863851,198,0.0,Low,HR,Steps to resolve Spike in Unauthorized Access Attempts,3289936.0,KRI,User_81,2024-04-23 22:01:00,login,['DE'],CN,High,26,17,1604,5897.0
ISSUE-0033,KEY-0033,Malware Detected in Core System Components,Malware,Closed,Reporter 4,Assignee 20,2024-01-11,2024-01-21 00:00:00.000000,10,80.47,Critical,Operations,Steps to resolve Malware Detected in Core System Components,3724055.0,KRI,User_94,2024-01-11 08:15:00,file_access,['Unknown'],IN,Low,26,12,900,1752.5
ISSUE-0034,KEY-0034,Targeted Phishing Campaign Against Executives,Phishing Attack,In Progress,Reporter 4,Assignee 4,2023-08-05,2024-11-07 19:53:43.863851,460,180.87,Critical,Legal,Steps to resolve Targeted Phishing Campaign Against Executives,5270242.0,KRI,User_71,2023-08-05 09:19:00,login,['FR'],CANADA,High,26,17,900,4172.0
ISSUE-0035,KEY-0035,Critical Issues Not Detected in Last Penetration Test,Penetration Testing Effectiveness,Resolved,Reporter 10,Assignee 16,2023-10-03,2023-10-04 00:00:00.000000,1,43.88,Critical,Operations,Steps to resolve Critical Issues Not Detected in Last Penetration Test,4381396.0,KPI,User_28,2023-10-03 13:59:00,file_access,['IN'],UK,High,31,10,973,1835.0
ISSUE-0036,KEY-0036,Potential Non-Compliance Detected in Sensitive Data Handling,Legal Compliance,Open,Reporter 7,Assignee 4,2023-07-11,2024-11-07 19:53:43.863851,485,137.22,Critical,HR,Steps to resolve Potential Non-Compliance Detected in Sensitive Data Handling,1674045.0,KRI,User_26,2023-07-11 22:46:00,file_access,['IN'],Unknown,Critical,26,28,900,2243.0
ISSUE-0037,KEY-0037,Significant Number of Untracked Devices,Asset Inventory Accuracy,Closed,Reporter 3,Assignee 10,2023-12-16,2023-12-25 00:00:00.000000,9,23.8,Critical,IT,Steps to resolve Significant Number of Untracked Devices,3884730.0,KPI,User_5,2023-12-16 07:24:00,data_modification,['DE'],USA,Critical,26,10,2795,2072.0
ISSUE-0038,KEY-0038,Critical Issues Not Detected in Last Penetration Test,Penetration Testing Effectiveness,Closed,Reporter 7,Assignee 5,2023-02-21,2023-02-22 00:00:00.000000,1,161.27,Critical,Operations,Steps to resolve Critical Issues Not Detected in Last Penetration Test,712285.0,KPI,User_91,2023-02-21 04:26:00,data_modification,['DE'],Unknown,High,26,10,1168,6731.0
ISSUE-0039,KEY-0039,Significant Number of Untracked Devices,Asset Inventory Accuracy,Closed,Reporter 9,Assignee 15,2024-08-07,2024-08-14 00:00:00.000000,7,145.83,Critical,Finance,Steps to resolve Significant Number of Untracked Devices,4414275.0,KPI,User_8,2024-08-07 03:18:00,login,['CANADA'],Unknown,Low,26,3,900,5415.0
ISSUE-0040,KEY-0040,Unusual Data Access from External Locations,Data Leak,Resolved,Reporter 10,Assignee 15,2023-11-26,2023-12-03 00:00:00.000000,7,223.09,Critical,Finance,Steps to resolve Unusual Data Access from External Locations,555550.0,KRI,User_41,2023-11-26 14:33:00,login,['FR'],['FR'],Critical,26,10,1242,2669.0
ISSUE-0041,KEY-0041,Lack of Updated Risk Management Procedures,Risk Management Maturity,In Progress,Reporter 9,Assignee 18,2023-05-21,2024-11-07 19:53:43.863851,536,22.05,Critical,Operations,Steps to resolve Lack of Updated Risk Management Procedures,2174660.0,KPI,User_11,2023-05-21 17:06:00,file_access,['AU'],DE,Critical,26,13,1249,5072.0
ISSUE-0042,KEY-0042,Potential Non-Compliance Detected in Sensitive Data Handling,Legal Compliance,Closed,Reporter 7,Assignee 18,2024-05-28,2024-06-07 00:00:00.000000,10,185.54,Critical,IT,Steps to resolve Potential Non-Compliance Detected in Sensitive Data Handling,1592415.0,KRI,User_50,2024-05-28 00:41:00,login,['EU'],JP,Medium,26,18,900,1220.0
ISSUE-0043,KEY-0043,High Frequency of Policy Violations,Management Oversight,In Progress,Reporter 3,Assignee 15,2024-08-31,2024-11-07 19:53:43.863851,68,145.45,Critical,Sales,Steps to resolve High Frequency of Policy Violations,5405404.0,KPI,User_6,2024-08-31 09:35:00,login,['EU'],AU,Low,26,6,900,775.0
ISSUE-0044,KEY-0044,Newly Discovered Vulnerabilities in Core Systems,System Vulnerability,Resolved,Reporter 2,Assignee 14,2023-02-12,2023-02-17 00:00:00.000000,5,65.08,Critical,IT,Steps to resolve Newly Discovered Vulnerabilities in Core Systems,835462.0,KPI,User_82,2023-02-12 06:04:00,file_access,['CN'],AU,Medium,26,9,900,2175.0
ISSUE-0045,KEY-0045,Supplier Network Breach Exposure,Procurement Security,In Progress,Reporter 10,Assignee 4,2023-09-17,2024-11-07 19:53:43.863851,417,97.11,Critical,Legal,Steps to resolve Supplier Network Breach Exposure,3530625.0,KPI,User_53,2023-09-17 09:30:00,file_access,['CANADA'],USA,Medium,26,18,900,2462.5
ISSUE-0046,KEY-0046,High Frequency of Policy Violations,Management Oversight,In Progress,Reporter 2,Assignee 19,2023-02-24,2024-11-07 19:53:43.863851,622,133.24,Critical,Legal,Steps to resolve High Frequency of Policy Violations,1628265.0,KPI,User_46,2023-02-24 18:59:00,file_access,['DE'],CN,High,35,3,900,4061.0
ISSUE-0047,KEY-0047,Ineffective Access Controls in High-Sensitivity Areas,Control Effectiveness,Resolved,Reporter 1,Assignee 16,2023-01-01,2023-01-10 00:00:00.000000,9,81.5,Critical,Operations,Steps to resolve Ineffective Access Controls in High-Sensitivity Areas,4034026.0,KPI,User_26,2023-01-01 09:24:00,file_access,['DE'],['DE'],Critical,39,17,900,5444.0
ISSUE-0048,KEY-0048,Multiple Unauthorized Access Attempts Detected,Access Control,Open,Reporter 3,Assignee 4,2024-03-22,2024-11-07 19:53:43.863851,230,10.29,Critical,Sales,Steps to resolve Multiple Unauthorized Access Attempts Detected,5644426.0,KPI,User_79,2024-03-22 04:34:00,file_access,['FR'],Unknown,High,26,10,1862,6668.0
ISSUE-0049,KEY-0049,Unusual Data Access from External Locations,Data Leak,Open,Reporter 1,Assignee 6,2024-04-20,2024-11-07 19:53:43.863851,201,0.0,Low,Legal,Steps to resolve Unusual Data Access from External Locations,1424092.0,KRI,User_55,2024-04-20 01:43:00,file_access,['JP'],DE,Medium,26,12,900,11405.0
ISSUE-0050,KEY-0050,Supplier Network Breach Exposure,Procurement Security,Resolved,Reporter 2,Assignee 17,2023-09-12,2023-09-22 00:00:00.000000,10,82.34,Critical,Finance,Steps to resolve Supplier Network Breach Exposure,3301510.0,KPI,User_32,2023-09-12 21:02:00,file_access,['UK'],AU,Medium,27,12,900,1177.5
ISSUE-0051,KEY-0051,Unusual Data Access from External Locations,Data Leak,In Progress,Reporter 6,Assignee 4,2023-09-22,2024-11-07 19:53:43.863851,412,85.16,Critical,HR,Steps to resolve Unusual Data Access from External Locations,4781380.0,KRI,User_2,2023-09-22 07:15:00,file_access,['JP'],UK,Low,26,18,1771,1492.5
ISSUE-0052,KEY-0052,Unusual Data Transfer Volumes Detected,Data Breach,Closed,Reporter 3,Assignee 16,2023-09-03,2023-09-09 00:00:00.000000,6,57.16,Critical,Sales,Steps to resolve Unusual Data Transfer Volumes Detected,4503670.0,KRI,User_62,2023-09-03 09:23:00,data_modification,['EU'],['EU'],Low,26,15,900,1895.0
ISSUE-0053,KEY-0053,Unassessed High-Risk Areas,Risk Assessment Coverage,Open,Reporter 1,Assignee 8,2024-05-30,2024-11-07 19:53:43.863851,161,68.86,Critical,HR,Steps to resolve Unassessed High-Risk Areas,568335.0,KPI,User_14,2024-05-30 13:39:00,login,['CANADA'],EU,Critical,26,24,1485,1115.0
ISSUE-0054,KEY-0054,Targeted Phishing Campaign Against Executives,Phishing Attack,Open,Reporter 8,Assignee 6,2024-06-23,2024-11-07 19:53:43.863851,137,126.89,Critical,Operations,Steps to resolve Targeted Phishing Campaign Against Executives,2056525.0,KRI,User_27,2024-06-23 15:21:00,data_modification,['FR'],FR,Critical,26,6,1327,3227.0
ISSUE-0055,KEY-0055,Targeted Phishing Campaign Against Executives,Phishing Attack,Open,Reporter 7,Assignee 4,2024-01-10,2024-11-07 19:53:43.863851,302,151.86,Critical,Finance,Steps to resolve Targeted Phishing Campaign Against Executives,4605250.0,KRI,User_94,2024-01-10 02:54:00,login,['EU'],CN,Critical,39,6,900,8060.0
ISSUE-0056,KEY-0056,Significant Number of Untracked Devices,Asset Inventory Accuracy,Open,Reporter 10,Assignee 14,2024-01-23,2024-11-07 19:53:43.863851,289,181.24,Critical,Operations,Steps to resolve Significant Number of Untracked Devices,4998928.0,KPI,User_98,2024-01-23 05:12:00,data_modification,['AU'],CANADA,High,26,6,900,1442.0
ISSUE-0057,KEY-0057,Unusual Data Access from External Locations,Data Leak,Closed,Reporter 3,Assignee 17,2023-09-17,2023-09-27 00:00:00.000000,10,83.63,Critical,Operations,Steps to resolve Unusual Data Access from External Locations,2571860.0,KRI,User_76,2023-09-17 21:00:00,data_modification,['EU'],AU,Critical,26,13,900,1595.0
ISSUE-0058,KEY-0058,Sudden Increase in Unfiltered Traffic,Network Security,Resolved,Reporter 5,Assignee 10,2024-08-22,2024-08-30 00:00:00.000000,8,21.73,Critical,Operations,Steps to resolve Sudden Increase in Unfiltered Traffic,2187000.0,KPI,User_100,2024-08-22 10:22:00,file_access,['DE'],['DE'],High,26,21,1729,1820.0
ISSUE-0059,KEY-0059,Unusual Data Transfer Volumes Detected,Data Breach,In Progress,Reporter 7,Assignee 2,2023-06-01,2024-11-07 19:53:43.863851,525,91.19,Critical,IT,Steps to resolve Unusual Data Transfer Volumes Detected,3785945.0,KRI,User_33,2023-06-01 04:38:00,data_modification,['IN'],EU,High,26,17,1054,4289.0
ISSUE-0060,KEY-0060,Ineffective Access Controls in High-Sensitivity Areas,Control Effectiveness,In Progress,Reporter 9,Assignee 16,2024-01-31,2024-11-07 19:53:43.863851,281,116.03,Critical,Sales,Steps to resolve Ineffective Access Controls in High-Sensitivity Areas,4272430.0,KPI,User_78,2024-01-31 12:23:00,data_modification,['USA'],IN,Critical,26,6,900,1808.0
ISSUE-0061,KEY-0061,Unassessed High-Risk Areas,Risk Assessment Coverage,Open,Reporter 3,Assignee 2,2023-04-24,2024-11-07 19:53:43.863851,563,114.02,Critical,Sales,Steps to resolve Unassessed High-Risk Areas,3445282.0,KPI,User_11,2023-04-24 17:42:00,data_modification,['EU'],AU,Critical,26,3,1746,701.0
ISSUE-0062,KEY-0062,Lack of Updated Risk Management Procedures,Risk Management Maturity,Open,Reporter 6,Assignee 14,2023-06-03,2024-11-07 19:53:43.863851,523,194.74,Critical,Operations,Steps to resolve Lack of Updated Risk Management Procedures,4958430.0,KPI,User_89,2023-06-03 18:54:00,login,['EU'],USA,Low,26,12,1341,935.0
ISSUE-0063,KEY-0063,Unassessed High-Risk Areas,Risk Assessment Coverage,Open,Reporter 7,Assignee 6,2024-08-21,2024-11-07 19:53:43.863851,78,75.72,Critical,Finance,Steps to resolve Unassessed High-Risk Areas,3109120.0,KPI,User_74,2024-08-21 08:04:00,login,['JP'],USA,Critical,26,13,2806,3596.0
ISSUE-0064,KEY-0064,Weak Access Controls on Critical Cloud Resources,Cloud Security Posture,Resolved,Reporter 8,Assignee 2,2024-06-01,2024-06-08 00:00:00.000000,7,141.13,Critical,HR,Steps to resolve Weak Access Controls on Critical Cloud Resources,3260930.0,KRI,User_4,2024-06-01 06:55:00,file_access,['CN'],CN,Medium,26,15,2077,670.0
ISSUE-0065,KEY-0065,Significant Number of Untracked Devices,Asset Inventory Accuracy,Closed,Reporter 4,Assignee 8,2023-12-17,2023-12-22 00:00:00.000000,5,102.53,Critical,Sales,Steps to resolve Significant Number of Untracked Devices,1940780.0,KPI,User_29,2023-12-17 13:33:00,file_access,['IN'],JP,High,26,6,1198,1514.0
ISSUE-0066,KEY-0066,Multiple Unauthorized Access Attempts Detected,Access Control,In Progress,Reporter 8,Assignee 20,2024-08-08,2024-11-07 19:53:43.863851,91,76.53,Critical,Legal,Steps to resolve Multiple Unauthorized Access Attempts Detected,4212124.0,KPI,User_77,2024-08-08 01:03:00,data_modification,['UK'],EU,Medium,26,6,900,997.5
ISSUE-0067,KEY-0067,Targeted Phishing Campaign Against Executives,Phishing Attack,Open,Reporter 3,Assignee 4,2024-03-24,2024-11-07 19:53:43.863851,228,69.17,Critical,Sales,Steps to resolve Targeted Phishing Campaign Against Executives,2863714.0,KRI,User_59,2024-03-24 00:00:00,file_access,['DE'],FR,Low,26,9,900,907.5
ISSUE-0068,KEY-0068,Unusual Data Access from External Locations,Data Leak,Resolved,Reporter 2,Assignee 9,2024-07-20,2024-07-25 00:00:00.000000,5,45.2,Critical,Sales,Steps to resolve Unusual Data Access from External Locations,3496595.0,KRI,User_94,2024-07-20 15:28:00,data_modification,['CN'],AU,Critical,26,10,2034,3842.0
ISSUE-0069,KEY-0069,Ineffective Access Controls in High-Sensitivity Areas,Control Effectiveness,Open,Reporter 2,Assignee 7,2024-02-02,2024-11-07 19:53:43.863851,279,118.91,Critical,Finance,Steps to resolve Ineffective Access Controls in High-Sensitivity Areas,4851130.0,KPI,User_16,2024-02-02 00:01:00,login,['CANADA'],UK,High,28,13,997,1958.0
ISSUE-0070,KEY-0070,Ineffective Access Controls in High-Sensitivity Areas,Control Effectiveness,Closed,Reporter 7,Assignee 9,2024-02-28,2024-03-03 00:00:00.000000,4,4.76,Medium,Finance,Steps to resolve Ineffective Access Controls in High-Sensitivity Areas,4703880.0,KPI,User_38,2024-02-28 05:34:00,login,['USA'],USA,Low,26,15,2150,2737.5
ISSUE-0071,KEY-0071,High-Volume Distributed Denial-of-Service Attack from Multiple Sources,DDOS,In Progress,Reporter 9,Assignee 10,2023-06-23,2024-11-07 19:53:43.863851,503,55.59,Critical,Legal,Steps to resolve High-Volume Distributed Denial-of-Service Attack from Multiple Sources,372590.0,KRI,User_37,2023-06-23 20:59:00,login,['FR'],['FR'],Critical,26,28,934,1097.0
ISSUE-0072,KEY-0072,Critical Issues Not Detected in Last Penetration Test,Penetration Testing Effectiveness,Closed,Reporter 4,Assignee 13,2023-06-02,2023-06-11 00:00:00.000000,9,70.24,Critical,Finance,Steps to resolve Critical Issues Not Detected in Last Penetration Test,468035.0,KPI,User_49,2023-06-02 02:04:00,file_access,['USA'],EU,Medium,26,18,900,3897.5
ISSUE-0073,KEY-0073,Newly Discovered Vulnerabilities in Core Systems,System Vulnerability,Resolved,Reporter 6,Assignee 8,2023-07-18,2023-07-22 00:00:00.000000,4,42.68,Critical,HR,Steps to resolve Newly Discovered Vulnerabilities in Core Systems,4955570.0,KPI,User_61,2023-07-18 01:43:00,login,['AU'],Unknown,Critical,26,6,900,7616.0
ISSUE-0074,KEY-0074,Significant Number of Untracked Devices,Asset Inventory Accuracy,Closed,Reporter 5,Assignee 18,2024-10-05,2024-10-07 00:00:00.000000,2,173.85,Critical,IT,Steps to resolve Significant Number of Untracked Devices,3837675.0,KPI,User_9,2024-10-05 04:47:00,data_modification,['Unknown'],FR,Medium,26,9,1140,942.5
ISSUE-0075,KEY-0075,Unanticipated Increase in Risk Exposure,Risk Exposure,In Progress,Reporter 1,Assignee 17,2024-07-14,2024-11-07 19:53:43.863851,116,216.89,Critical,HR,Steps to resolve Unanticipated Increase in Risk Exposure,3241205.0,KRI,User_17,2024-07-14 17:04:00,login,['CN'],['CN'],Medium,26,15,1318,640.0
ISSUE-0076,KEY-0076,Multiple Unauthorized Access Attempts Detected,Access Control,Resolved,Reporter 4,Assignee 12,2023-04-02,2023-04-04 00:00:00.000000,2,73.09,Critical,Sales,Steps to resolve Multiple Unauthorized Access Attempts Detected,2563680.0,KPI,User_94,2023-04-02 12:56:00,file_access,['CN'],['CN'],Critical,26,21,900,1151.0
