Issue ID,Issue Key,Issue Name,Issue Volume,Category,Severity,Status,Reporters,Assignees,Date Reported,Date Resolved,Issue Response Time Days,Impact Score,Risk Level,Department Affected,Remediation Steps,Cost,KPI/KRI,User ID,Timestamps,Activity Type,User Location,IP Location,Session Duration in Second,Num Files Accessed,Login Attempts,Data Transfer MB,Threat Score,Threat Level,Defense Action
ISSUE-0024,KEY-0024,Unauthorized Access Leading to Data Exposure,1,Data Breach,Medium,Resolved,Reporter 9,Assignee 6,2023-07-30,2023-08-02 00:00:00.000000,3,56.94,Critical,Operations,Steps to resolve Unauthorized Access Leading to Data Exposure,1583627.5,KRI,User_44,2023-07-30 19:59:00,data_modification,DE,DE,900,26,15,4432.5,15.988,Critical,Immediate Response
ISSUE-0025,KEY-0025,Inadequate Firewall Configurations,1,Network Security,High,Resolved,Reporter 4,Assignee 6,2023-07-14,2023-07-20 00:00:00.000000,6,42.07,Critical,Finance,Steps to resolve Inadequate Firewall Configurations,1234148.0,KPI,User_42,2023-07-14 15:12:00,login,Unknown,Unknown,900,26,21,2495.0,14.114,Critical,Immediate Response
ISSUE-0026,KEY-0026,Delayed Patching of Known Vulnerabilities,1,Vulnerability Remediation,Medium,Resolved,Reporter 1,Assignee 9,2023-12-15,2023-12-25 00:00:00.000000,10,42.81,Critical,Sales,Steps to resolve Delayed Patching of Known Vulnerabilities,646242.5,KPI,User_28,2023-12-15 23:36:00,login,AU,EU,1076,27,6,2447.5,13.562000000000001,Critical,Immediate Response
ISSUE-0027,KEY-0027,Detected Malware Infiltration in Internal Systems,1,Malware,High,Closed,Reporter 10,Assignee 16,2023-09-06,2023-09-12 00:00:00.000000,6,74.13,Critical,Finance,Steps to resolve Detected Malware Infiltration in Internal Systems,2735951.0,KRI,User_99,2023-09-06 13:39:00,file_access,USA,USA,900,39,21,2507.0,20.526,Critical,Immediate Response
ISSUE-0028,KEY-0028,Insufficient Access Control Measures,1,Control Effectiveness,High,Closed,Reporter 7,Assignee 10,2024-08-09,2024-08-11 00:00:00.000000,2,35.78,Critical,Legal,Steps to resolve Insufficient Access Control Measures,2632301.0,KPI,User_99,2024-08-09 18:05:00,login,JP,JP,900,26,13,6458.0,12.656,Critical,Immediate Response
ISSUE-0029,KEY-0029,Outdated Operating System Components,1,System Vulnerability,Critical,In Progress,Reporter 10,Assignee 12,2023-08-14,2024-11-20 10:01:53.785164,464,48.91,Critical,Finance,Steps to resolve Outdated Operating System Components,1547699.0,KPI,User_63,2023-08-14 17:42:00,data_modification,JP,JP,900,26,35,569.0,16.282,Critical,Immediate Response
ISSUE-0030,KEY-0030,Missing or Inaccurate Asset Records,1,Asset Inventory Accuracy,High,Resolved,Reporter 3,Assignee 20,2023-11-03,2023-11-12 00:00:00.000000,9,50.88,Critical,Operations,Steps to resolve Missing or Inaccurate Asset Records,2506664.0,KPI,User_72,2023-11-03 06:50:00,file_access,DE,DE,1312,31,17,1352.0,16.076,Critical,Immediate Response
ISSUE-0031,KEY-0031,Outdated Operating System Components,1,System Vulnerability,Critical,In Progress,Reporter 10,Assignee 10,2023-01-18,2024-11-20 10:01:53.785164,672,18.79,Critical,Sales,Steps to resolve Outdated Operating System Components,181637.0,KPI,User_10,2023-01-18 13:02:00,login,AU,AU,900,26,21,1598.0,10.258,Critical,Immediate Response
ISSUE-0032,KEY-0032,Increased Exposure due to Insufficient Data Encryption,1,Risk Exposure,Critical,In Progress,Reporter 6,Assignee 9,2023-02-28,2024-11-20 10:01:53.785164,631,2.0,Low,Finance,Steps to resolve Increased Exposure due to Insufficient Data Encryption,2034224.0,KRI,User_2,2023-02-28 14:15:00,login,USA,IN,970,35,17,1817.0,5.3,Medium,Increase Monitoring
ISSUE-0033,KEY-0033,Incomplete Risk Management Framework,1,Risk Management Maturity,High,Open,Reporter 6,Assignee 6,2024-05-22,2024-11-20 10:01:53.785164,182,51.46,Critical,Sales,Steps to resolve Incomplete Risk Management Framework,538805.0,KPI,User_85,2024-05-22 18:22:00,file_access,JP,JP,900,26,10,5951.0,16.192,Critical,Immediate Response
ISSUE-0034,KEY-0034,Detected Malware Infiltration in Internal Systems,1,Malware,Low,In Progress,Reporter 10,Assignee 13,2023-05-01,2024-11-20 10:01:53.785164,569,51.7,Critical,Sales,Steps to resolve Detected Malware Infiltration in Internal Systems,1843755.0,KRI,User_17,2023-05-01 17:13:00,data_modification,UK,UK,1974,27,21,2240.0,14.440000000000001,Critical,Immediate Response
ISSUE-0035,KEY-0035,Increased Exposure due to Insufficient Data Encryption,1,Risk Exposure,Critical,Open,Reporter 3,Assignee 13,2023-04-22,2024-11-20 10:01:53.785164,578,58.65,Critical,HR,Steps to resolve Increased Exposure due to Insufficient Data Encryption,660611.0,KRI,User_57,2023-04-22 12:08:00,data_modification,DE,DE,1911,26,13,3878.0,18.23,Critical,Immediate Response
ISSUE-0036,KEY-0036,High-Volume Distributed Denial-of-Service Attack,1,DDOS,Critical,Resolved,Reporter 6,Assignee 19,2023-04-16,2023-04-20 00:00:00.000000,4,37.66,Critical,IT,Steps to resolve High-Volume Distributed Denial-of-Service Attack,332087.0,KRI,User_64,2023-04-16 11:51:00,data_modification,USA,USA,900,26,3,1154.0,13.432,Critical,Immediate Response
ISSUE-0037,KEY-0037,Delayed Patching of Known Vulnerabilities,1,Vulnerability Remediation,Low,Resolved,Reporter 9,Assignee 9,2023-06-07,2023-06-11 00:00:00.000000,4,44.65,Critical,Finance,Steps to resolve Delayed Patching of Known Vulnerabilities,1748360.0,KPI,User_47,2023-06-07 07:59:00,data_modification,Unknown,Unknown,900,26,12,4847.5,12.83,Critical,Immediate Response
ISSUE-0038,KEY-0038,Weak Cloud Storage Access Controls,1,Cloud Security Posture,Low,Closed,Reporter 3,Assignee 1,2024-05-17,2024-05-19 00:00:00.000000,2,58.75,Critical,Legal,Steps to resolve Weak Cloud Storage Access Controls,902047.5,KRI,User_85,2024-05-17 13:48:00,data_modification,DE,DE,1204,26,12,827.5,15.45,Critical,Immediate Response
ISSUE-0039,KEY-0039,High-Volume Distributed Denial-of-Service Attack,1,DDOS,Medium,Open,Reporter 5,Assignee 1,2023-02-23,2024-11-20 10:01:53.785164,636,37.32,Critical,Finance,Steps to resolve High-Volume Distributed Denial-of-Service Attack,1131740.0,KRI,User_52,2023-02-23 04:34:00,data_modification,EU,EU,1206,26,9,4017.5,12.464,Critical,Immediate Response
ISSUE-0040,KEY-0040,Insufficient Coverage in Annual Risk Assessment,1,Risk Assessment Coverage,Medium,Resolved,Reporter 8,Assignee 16,2023-01-22,2023-01-27 00:00:00.000000,5,78.19,Critical,Operations,Steps to resolve Insufficient Coverage in Annual Risk Assessment,1972042.5,KPI,User_16,2023-01-22 09:06:00,data_modification,UK,UK,900,33,21,1095.0,20.438,Critical,Immediate Response
ISSUE-0041,KEY-0041,Access by Unauthorized Personnel Detected,1,Unauthorized Access,High,Resolved,Reporter 10,Assignee 15,2023-10-24,2023-11-01 00:00:00.000000,8,69.55,Critical,Legal,Steps to resolve Access by Unauthorized Personnel Detected,2465819.0,KRI,User_24,2023-10-24 20:27:00,data_modification,USA,USA,1177,26,21,1817.0,19.81,Critical,Immediate Response
ISSUE-0042,KEY-0042,Non-Compliance with Data Protection Regulations,1,Legal Compliance,Low,Open,Reporter 5,Assignee 13,2023-09-03,2024-11-20 10:01:53.785164,444,52.98,Critical,Operations,Steps to resolve Non-Compliance with Data Protection Regulations,1197922.5,KRI,User_31,2023-09-03 14:33:00,data_modification,CANADA,UK,900,26,18,1252.5,14.696,Critical,Immediate Response
ISSUE-0043,KEY-0043,Inconsistent Review of Security Policies,1,Management Oversight,Critical,Closed,Reporter 6,Assignee 4,2023-07-14,2023-07-22 00:00:00.000000,8,82.12,Critical,Finance,Steps to resolve Inconsistent Review of Security Policies,1887554.0,KPI,User_21,2023-07-14 05:38:00,data_modification,CN,CN,911,28,10,1493.0,22.924000000000003,Critical,Immediate Response
ISSUE-0044,KEY-0044,Unresolved Vulnerabilities from Latest Penetration Test,1,Penetration Testing Effectiveness,Critical,Closed,Reporter 10,Assignee 19,2023-05-08,2023-05-10 00:00:00.000000,2,9.66,High,IT,Steps to resolve Unresolved Vulnerabilities from Latest Penetration Test,2691935.0,KPI,User_92,2023-05-08 01:05:00,login,CN,CN,1212,28,6,2543.0,7.632,High,Lock Account & Alert
ISSUE-0045,KEY-0045,Unauthorized Access Leading to Data Exposure,1,Data Breach,Critical,Open,Reporter 1,Assignee 8,2024-02-07,2024-11-20 10:01:53.785164,287,48.35,Critical,Operations,Steps to resolve Unauthorized Access Leading to Data Exposure,1372469.0,KRI,User_3,2024-02-07 04:05:00,data_modification,Unknown,EU,1978,42,13,5360.0,16.17,Critical,Immediate Response
ISSUE-0046,KEY-0046,Insufficient Coverage in Annual Risk Assessment,1,Risk Assessment Coverage,Low,In Progress,Reporter 3,Assignee 5,2024-07-20,2024-11-20 10:01:53.785164,123,2.0,Low,HR,Steps to resolve Insufficient Coverage in Annual Risk Assessment,1304252.5,KPI,User_40,2024-07-20 14:02:00,file_access,CANADA,CANADA,1884,26,18,2925.0,2.9,Low,Limit Data Transfer
ISSUE-0047,KEY-0047,Insufficient Access Control Measures,1,Control Effectiveness,Low,In Progress,Reporter 8,Assignee 10,2023-09-02,2024-11-20 10:01:53.785164,445,29.71,Critical,IT,Steps to resolve Insufficient Access Control Measures,1544862.5,KPI,User_24,2023-09-02 20:10:00,file_access,USA,USA,900,26,9,2270.0,10.042,Critical,Immediate Response
ISSUE-0048,KEY-0048,Unresolved Vulnerabilities from Latest Penetration Test,1,Penetration Testing Effectiveness,Low,Closed,Reporter 1,Assignee 5,2023-01-15,2023-01-17 00:00:00.000000,2,25.67,Critical,Operations,Steps to resolve Unresolved Vulnerabilities from Latest Penetration Test,855827.5,KPI,User_9,2023-01-15 11:20:00,file_access,CANADA,JP,2297,26,15,2615.0,8.834,High,Lock Account & Alert
ISSUE-0049,KEY-0049,Weak Authentication Protocols,1,Access Control,High,Resolved,Reporter 6,Assignee 1,2023-11-20,2023-11-29 00:00:00.000000,9,34.34,Critical,Finance,Steps to resolve Weak Authentication Protocols,2112437.0,KPI,User_26,2023-11-20 22:48:00,data_modification,FR,FR,2250,26,24,1991.0,12.768,Critical,Immediate Response
ISSUE-0050,KEY-0050,Weak Cloud Storage Access Controls,1,Cloud Security Posture,High,In Progress,Reporter 1,Assignee 3,2024-02-29,2024-11-20 10:01:53.785164,265,103.42,Critical,Sales,Steps to resolve Weak Cloud Storage Access Controls,1487798.0,KRI,User_29,2024-02-29 15:55:00,file_access,JP,USA,900,26,3,6782.0,26.184,Critical,Immediate Response
ISSUE-0051,KEY-0051,Incomplete Risk Management Framework,1,Risk Management Maturity,Medium,Open,Reporter 2,Assignee 15,2024-07-26,2024-11-20 10:01:53.785164,117,87.65,Critical,Legal,Steps to resolve Incomplete Risk Management Framework,1563055.0,KPI,User_31,2024-07-26 08:55:00,data_modification,CANADA,CANADA,900,26,15,5475.0,22.53,Critical,Immediate Response
ISSUE-0052,KEY-0052,Inconsistent Review of Security Policies,1,Management Oversight,Medium,Open,Reporter 8,Assignee 13,2023-11-13,2024-11-20 10:01:53.785164,373,57.73,Critical,Operations,Steps to resolve Inconsistent Review of Security Policies,890432.5,KPI,User_66,2023-11-13 12:59:00,file_access,UK,UK,1253,26,15,3407.5,16.546,Critical,Immediate Response
ISSUE-0053,KEY-0053,Insufficient Access Control Measures,1,Control Effectiveness,Critical,In Progress,Reporter 4,Assignee 3,2023-10-11,2024-11-20 10:01:53.785164,406,2.0,Low,HR,Steps to resolve Insufficient Access Control Measures,2015564.0,KPI,User_1,2023-10-11 14:58:00,file_access,CN,CN,2031,26,17,2930.0,5.3,Medium,Increase Monitoring
ISSUE-0054,KEY-0054,Supplier Security Compliance Gaps,1,Procurement Security,Low,Resolved,Reporter 5,Assignee 11,2023-07-21,2023-07-25 00:00:00.000000,4,73.53,Critical,IT,Steps to resolve Supplier Security Compliance Gaps,126337.5,KPI,User_44,2023-07-21 08:04:00,login,JP,JP,1661,26,6,2782.5,18.606,Critical,Immediate Response
ISSUE-0055,KEY-0055,Inconsistent Review of Security Policies,1,Management Oversight,Low,Resolved,Reporter 1,Assignee 13,2023-09-30,2023-10-03 00:00:00.000000,3,51.18,Critical,Finance,Steps to resolve Inconsistent Review of Security Policies,1739855.0,KPI,User_17,2023-09-30 12:56:00,file_access,UK,UK,1211,26,9,8680.0,13.936,Critical,Immediate Response
ISSUE-0056,KEY-0056,Outdated Operating System Components,1,System Vulnerability,Medium,Resolved,Reporter 3,Assignee 14,2023-04-23,2023-04-24 00:00:00.000000,1,70.93,Critical,Legal,Steps to resolve Outdated Operating System Components,853787.5,KPI,User_77,2023-04-23 15:00:00,data_modification,FR,USA,2675,26,15,2985.0,18.786,Critical,Immediate Response
ISSUE-0057,KEY-0057,Weak Cloud Storage Access Controls,1,Cloud Security Posture,High,Resolved,Reporter 1,Assignee 18,2023-11-11,2023-11-18 00:00:00.000000,7,99.79,Critical,Sales,Steps to resolve Weak Cloud Storage Access Controls,290702.0,KRI,User_4,2023-11-11 04:56:00,data_modification,UK,UK,900,26,10,1628.0,25.658,Critical,Immediate Response
ISSUE-0058,KEY-0058,Inconsistent Review of Security Policies,1,Management Oversight,Low,Open,Reporter 3,Assignee 9,2023-08-14,2024-11-20 10:01:53.785164,464,49.25,Critical,Finance,Steps to resolve Inconsistent Review of Security Policies,754980.0,KPI,User_97,2023-08-14 13:07:00,login,UK,UK,900,26,9,1345.0,13.950000000000001,Critical,Immediate Response
ISSUE-0059,KEY-0059,Unauthorized Access Leading to Data Exposure,1,Data Breach,High,Closed,Reporter 8,Assignee 18,2023-08-30,2023-09-03 00:00:00.000000,4,63.8,Critical,Legal,Steps to resolve Unauthorized Access Leading to Data Exposure,2433776.0,KRI,User_24,2023-08-30 03:45:00,file_access,USA,USA,1157,26,3,524.0,18.060000000000002,Critical,Immediate Response
ISSUE-0060,KEY-0060,Insufficient Coverage in Annual Risk Assessment,1,Risk Assessment Coverage,Critical,Resolved,Reporter 8,Assignee 11,2023-06-19,2023-06-21 00:00:00.000000,2,64.81,Critical,Sales,Steps to resolve Insufficient Coverage in Annual Risk Assessment,2811965.0,KPI,User_2,2023-06-19 10:57:00,login,FR,FR,900,28,17,1280.0,19.062000000000005,Critical,Immediate Response
ISSUE-0061,KEY-0061,Inconsistent Review of Security Policies,1,Management Oversight,High,In Progress,Reporter 9,Assignee 12,2024-05-11,2024-11-20 10:01:53.785164,193,29.65,Critical,Legal,Steps to resolve Inconsistent Review of Security Policies,985862.0,KPI,User_28,2024-05-11 12:47:00,login,IN,IN,900,28,17,2123.0,11.83,Critical,Immediate Response
ISSUE-0062,KEY-0062,Detected Malware Infiltration in Internal Systems,1,Malware,Critical,Open,Reporter 9,Assignee 7,2024-09-29,2024-11-20 10:01:53.785164,52,30.98,Critical,Finance,Steps to resolve Detected Malware Infiltration in Internal Systems,1288067.0,KRI,User_22,2024-09-29 16:49:00,file_access,JP,JP,1712,26,6,5447.0,12.696000000000002,Critical,Immediate Response
ISSUE-0063,KEY-0063,Missing or Inaccurate Asset Records,1,Asset Inventory Accuracy,Medium,Closed,Reporter 9,Assignee 4,2023-02-25,2023-03-01 00:00:00.000000,4,74.82,Critical,Finance,Steps to resolve Missing or Inaccurate Asset Records,2149200.0,KPI,User_72,2023-02-25 23:17:00,login,UK,UK,900,26,15,910.0,19.764,Critical,Immediate Response
ISSUE-0064,KEY-0064,Inadequate Firewall Configurations,1,Network Security,Medium,Resolved,Reporter 4,Assignee 5,2024-10-17,2024-10-26 00:00:00.000000,9,45.79,Critical,Legal,Steps to resolve Inadequate Firewall Configurations,1464845.0,KPI,User_34,2024-10-17 05:17:00,data_modification,JP,Unknown,900,26,12,1675.0,14.158,Critical,Immediate Response
ISSUE-0065,KEY-0065,Detected Malware Infiltration in Internal Systems,1,Malware,High,Resolved,Reporter 3,Assignee 20,2024-05-18,2024-05-23 00:00:00.000000,5,80.16,Critical,Sales,Steps to resolve Detected Malware Infiltration in Internal Systems,341264.0,KRI,User_91,2024-05-18 20:36:00,data_modification,USA,Unknown,900,26,3,3554.0,21.332,Critical,Immediate Response
ISSUE-0066,KEY-0066,Unresolved Vulnerabilities from Latest Penetration Test,1,Penetration Testing Effectiveness,High,Closed,Reporter 9,Assignee 18,2023-01-18,2023-01-27 00:00:00.000000,9,55.13,Critical,Finance,Steps to resolve Unresolved Vulnerabilities from Latest Penetration Test,398051.0,KPI,User_44,2023-01-18 00:26:00,data_modification,JP,JP,900,26,13,3194.0,16.926000000000002,Critical,Immediate Response
ISSUE-0067,KEY-0067,Unauthorized Access Leading to Data Exposure,1,Data Breach,High,Closed,Reporter 6,Assignee 14,2023-12-19,2023-12-29 00:00:00.000000,10,61.72,Critical,IT,Steps to resolve Unauthorized Access Leading to Data Exposure,1134362.0,KRI,User_73,2023-12-19 23:57:00,data_modification,CANADA,JP,1671,26,28,3719.0,18.244,Critical,Immediate Response
ISSUE-0068,KEY-0068,Successful Phishing Attempt Targeting Executives,1,Phishing Attack,High,Open,Reporter 3,Assignee 20,2023-09-24,2024-11-20 10:01:53.785164,423,51.1,Critical,HR,Steps to resolve Successful Phishing Attempt Targeting Executives,2617226.0,KRI,User_64,2023-09-24 10:48:00,login,EU,EU,1013,28,3,15155.0,15.72,Critical,Immediate Response
ISSUE-0069,KEY-0069,Weak Cloud Storage Access Controls,1,Cloud Security Posture,Medium,In Progress,Reporter 5,Assignee 17,2024-09-23,2024-11-20 10:01:53.785164,58,85.15,Critical,HR,Steps to resolve Weak Cloud Storage Access Controls,969805.0,KRI,User_20,2024-09-23 12:48:00,login,JP,CANADA,900,26,18,1510.0,22.03,Critical,Immediate Response
ISSUE-0070,KEY-0070,Delayed Patching of Known Vulnerabilities,1,Vulnerability Remediation,Critical,In Progress,Reporter 9,Assignee 15,2023-09-20,2024-11-20 10:01:53.785164,427,58.62,Critical,Finance,Steps to resolve Delayed Patching of Known Vulnerabilities,773765.0,KPI,User_54,2023-09-20 19:19:00,file_access,UK,UK,1238,26,10,1043.0,18.224,Critical,Immediate Response
ISSUE-0071,KEY-0071,Incomplete Risk Management Framework,1,Risk Management Maturity,High,In Progress,Reporter 10,Assignee 11,2023-02-08,2024-11-20 10:01:53.785164,651,35.15,Critical,Finance,Steps to resolve Incomplete Risk Management Framework,1712150.0,KPI,User_98,2023-02-08 08:09:00,data_modification,EU,EU,900,26,10,1034.0,12.93,Critical,Immediate Response
